experiment,author,stock,genotype,embryo,view,xres,yres,zres,slices,timestep,frames,zygosity
2019-04-25_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slp-CTGap_1_t45s_z3_G1,lateral,0.2859011,0.2859011,3.0000000,,45,330,heterozygote
2019-04-25_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slp-CTGap_1_t45s_z3_G2,lateral,0.2859011,0.2859011,3.0000000,,45,330,heterozygote
2019-04-25_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slp-CTGap_1_t45s_z3_G3,lateral,0.2859011,0.2859011,3.0000000,,45,330,heterozygote
2019-04-25_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slp-CTGap_1_t45s_z3_G4,lateral,0.2859011,0.2859011,3.0000000,,45,330,homozygote
2019-04-25_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slp-CTGap_1_t45s_z3_G5,lateral,0.2859011,0.2859011,3.0000000,,45,330,heterozygote
2019-06-27_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t45_z3_E1,lateral,0.2853696,0.2853696,3.0000000,,45,200,heterozygote
2019-06-27_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t45_z3_E3,lateral,0.2853696,0.2853696,3.0000000,,45,200,heterozygote
2019-06-27_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t45_z3_E4,lateral,0.2853696,0.2853696,3.0000000,,45,200,heterozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E1,lateral,0.2853696,0.2853696,3.0000000,,50,360,homozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E2,lateral,0.2853696,0.2853696,3.0000000,,50,360,heterozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E3,lateral,0.2853696,0.2853696,3.0000000,,50,360,heterozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E4,lateral,0.2853696,0.2853696,3.0000000,,50,360,homozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E5,lateral,0.2853696,0.2853696,3.0000000,,50,360,heterozygote
2019-07-03_slpGap,bruno,slp,"Df(2L)ed1/CyO,twi-GFP;TM6B,Tb/Gap43-mCherry",slpGap_t50s_z3_E7,lateral,0.2853696,0.2853696,3.0000000,,50,360,homozygote
