priority	gene name	gene id	expression	type	mutant	interactions	flybase	image link	fosmid	gfp	antibody	EST	probe	btd -/-	eve -/-	screen
1	buttonhead	btd		anterior border	no invagination		http://flybase.org/reports/FBgn0000233.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_75/insitu75731.jpe	https://transgeneome.mpi-cbg.de/transgeneomics/public/clone.html?wellId=59886749	yes	no	no	yes	no change	no change	
1	even skipped	eve		boundary	delayed, no invagination, abnormal fold		http://flybase.org/reports/FBgn0000606.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_114/insitu114445.jpe	-	http://flystocks.bio.indiana.edu/Reports/30871.html	yes	yes	no	stripe 1 gone	?	
1	paired	prd		anterior border	delayed, wider ininitiator row, disrupted invagination, abnormal fold		http://flybase.org/reports/FBgn0003145	http://insitu.fruitfly.org/insitu_image_storage/img_dir_14/insitu14495.jpe	no	no		yes		?	?	
1	sloppy paired 1	slp1		anterior border	slightly delayed, anterior shift		http://flybase.org/reports/FBgn0003430.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_60/insitu60277.jpe	https://transgeneome.mpi-cbg.de/transgeneomics/public/clone.html?wellId=59880947	no / voted	yes	yes	yes	anterior stripe smaller and fused anteriorly, stripe 2 thicker, and distance between stripe 2-3 wider than wild type	simply wider stripes	
1	sloppy paired 2	slp2		anterior border	slightly delayed, anterior shift		http://flybase.org/reports/FBgn0004567.html	http://www.flyexpress.net/fx_images/BDGP/standardized/insitu26929_s.bmp	-	https://cbglist.mpi-cbg.de/itemFly.html?labCode=tomancak&id=8a8182da515e57110151684e98690727	no	yes	yes	?	simply wider stripes	
1	cap-n-collar	cnc		anterior	affected		http://flybase.org/reports/FBgn0262975	http://insitu.fruitfly.org/insitu_image_storage/img_dir_20/insitu20974.jpe				yes		?	?	
1	giant	gt		anterior border	disrupted invagination		http://flybase.org/reports/FBgn0001150.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_106/insitu106083.jpe				yes		?	?	
1	roadkill	rdx		anterior	affected		http://flybase.org/reports/FBgn0264493	http://insitu.fruitfly.org/insitu_image_storage/img_dir_20/insitu20681.jpe				yes		?	?	
1	runt	run		posterior border	increased number of initiator cells (Eritano et al. 2020)		http://flybase.org/reports/FBgn0003300.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_16/insitu16315.jpe	-	http://flystocks.bio.indiana.edu/Reports/64827.html	yes	yes	no	?	?	
2	knirps	kni		anterior border	ventral does not move forward		http://flybase.org/reports/FBgn0001320.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_101/insitu101331.jpe	-	http://flystocks.bio.indiana.edu/Reports/66588.html	yes	yes	yes	?	?	
2	knirps-like	knrl		anterior border	ventral does not move forward		http://flybase.org/reports/FBgn0001323.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_69/insitu69957.jpe	-	https://cbglist.mpi-cbg.de/itemFly.html?labCode=tomancak&id=8a8182da515e57110151684dfec9040d	no	yes	yes	anterior stripe gone?	anterior stripe gone; before or after expected CF formation?	
2	Delta	Dl		anterior	perhaps minor defects	eve	http://flybase.org/reports/FBgn0000463.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_18/insitu18879.jpe						?	?	
2	twisted gastrulation	tsg			abnormally deep CF and ectopic posterior furrows		http://flybase.org/reports/FBgn0003865.html					no	yes	?	?	
2	rau	rau		boundary	perhaps minor defects		http://flybase.org/reports/FBgn0031745.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_65/insitu65093.jpe						?	?	
2	Epidermal growth factor receptor	Egfr		boundary	perhaps minor defects		http://flybase.org/reports/FBgn0003731	https://insitu.fruitfly.org/insitu_image_storage/img_dir_14/insitu14145.jpe								
3	phyllopod	phyl					http://flybase.org/reports/FBgn0013725.html	https://insitu.fruitfly.org/insitu_image_storage/img_dir_40/insitu40432.jpe								
3	Notch	N		boundary			http://flybase.org/reports/FBgn0004647	https://insitu.fruitfly.org/insitu_image_storage/img_dir_100/insitu100381.jpe								
3	Suppressor of Hairless	Su(H)		peryphery			http://flybase.org/reports/FBgn0004837	http://insitu.fruitfly.org/insitu_image_storage/img_dir_71/insitu71141.jpe						?	?	
3	Drop	Dr		peryphery			http://flybase.org/reports/FBgn0000492	https://insitu.fruitfly.org/insitu_image_storage/img_dir_20/insitu20793.jpe								
3	retained	retn		anterior border	ectopic CF (maternal+zygotic null)		http://flybase.org/reports/FBgn0004795.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_101/insitu101666.jpe	https://transgeneome.mpi-cbg.de/transgeneomics/public/clone.html?wellId=59881155	no / voted	yes	yes	no	?	?	
3	distal antenna-related	danr		posterior border			http://flybase.org/reports/FBgn0039283.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_49/insitu49178.jpe				yes		?	?	
3	grindelwald	grnd		posterior border			http://flybase.org/reports/FBgn0032682.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_32/insitu32268.jpe				yes		?	?	
3	toucan	toc		boundary			http://flybase.org/reports/FBgn0015600.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_63/insitu63254.jpe	-	http://flystocks.bio.indiana.edu/Reports/64465.html	yes	yes	yes	no change?	no change	
3	CG43394	CG43394					http://flybase.org/reports/FBgn0263256	http://insitu.fruitfly.org/insitu_image_storage/img_dir_32/insitu32073.jpe						?	?	
3	prospero	pros					http://flybase.org/reports/FBgn0004595	http://insitu.fruitfly.org/insitu_image_storage/img_dir_115/insitu115295.jpe						?	?	
3	Partner of paired	Ppa					http://flybase.org/reports/FBgn0020257	http://insitu.fruitfly.org/insitu_image_storage/img_dir_24/insitu24390.jpe						?	?	
3	string	stg		anterior border			http://flybase.org/reports/FBgn0003525.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_62/insitu62002.jpe	-	http://flystocks.bio.indiana.edu/Reports/50879.html	no	yes	yes	?	?	
3	CG10479	CG10479		boundary			http://flybase.org/reports/FBgn0035656.html	http://insitu.fruitfly.org/insitu_image_storage/img_dir_62/insitu62428.jpe		no	no	yes	yes	anterior stripe gone?	no change	
