experiment,dataset,microscope,comment
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position1,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position2,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position3,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position4,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position5,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position6,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position7,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position8,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position9,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position10,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position11,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_2_60s_Position12,W4,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos1,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos2,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos3,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos4,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos5,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos6,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos7,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos8,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos9,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos10,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos11,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos12,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos13,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos14,L2,"heterozygote cross, expected 3/16 proportion"
