experiment,dataset,microscope,comment
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-451,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-452,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-453,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-454,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-455,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-456,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-457,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-458,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-459,W8,
III-ECF transgenic line,2024-07-16_III-ECF_W8_Zoom10x_Trans_GFP_Snap-460,W8,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos1,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos2,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos3,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos4,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos5,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos6,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos7,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos8,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos9,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos10,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos11,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos12,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos13,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos14,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos15,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos16,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos17,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos18,L2,
III-ECF Flp-out progeny (heterozygote),2024-05-20_Flipase_III-ECF_1_2_3_Pos19,L2,
