Date,Name,Embryo,Stage,Position,Distance,Kymograph,Velocity,Error
2020-07-07,ANERIORE9,anterior_2020-07-07_E9_S6c,S6c,anterior,-15,K1,0.612783248399269,0.0592017722853764
2020-07-03,anterioirEmbryo13-sk1,anterior_2020-07-03_E13_S6b,S6b,anterior,-20,K1,0.0899975248834626,0.000152899421213605
2020-07-03,anterioirEmbryo13-sk2,anterior_2020-07-03_E13_S6b,S6b,anterior,-20,K2,0.0847136744429703,0.000997860888949259
2020-07-03,anterioirEmbryo7,anterior_2020-07-03_E7_S6b,S6b,anterior,-15,K1,-0.00122411409292333,0.00004
2020-07-07,anterior2E2,anterior_2020-07-07_E2_S6b,S6b,anterior,-30,K1,0.00317396472617208,0.000285396294940833
2020-07-07,anterior2E4,anterior_2020-07-07_E4_S6c,S6c,anterior,-40,K1,0.00578376654076462,0.00003
2020-07-08,anterior2E5-SK1,anterior_2020-07-08_E5_S6c,S6c,anterior,-30,K1,0.135926824688699,0.00242566671812451
2020-07-08,anterior2E5-SK2,anterior_2020-07-08_E5_S6c,S6c,anterior,-30,K2,0.080336725714581,0.000307372415155407
2020-07-03,anterior3Embryo14,anterior_2020-07-03_E14_S6b,S6b,anterior,-25,K1,0.00657284610069755,0.00005
2020-07-08,anteriorE1,anterior_2020-07-08_E1_S6b,S6b,anterior,-15,K1,-0.00479959015917478,0.00007
2020-07-07,anteriorE10,anterior_2020-07-07_E10_S6c,S6c,anterior,-15,K1,-0.00345998302419193,0.00008
2020-07-08,anteriorE10,anterior_2020-07-08_E10_S6b,S6b,anterior,-25,K1,0.0925331246665407,0.000864776687998352
2020-07-07,anteriorE12,anterior_2020-07-07_E12_S6c,S6c,anterior,-15,K1,0.149117742744883,0.00141075572463554
2020-07-08,anteriorE12,anterior_2020-07-08_E12_S6c,S6c,anterior,-20,K1,0.00442975831430368,0.00001
2020-07-07,anteriorE13,anterior_2020-07-07_E13_S6b,S6b,anterior,-10,K1,0.205989266932287,0.00240086394443779
2020-07-07,anteriorE15,anterior_2020-07-07_E15_S6c,S6c,anterior,-20,K1,0.12896136465748,0.000238985048978466
2020-07-08,anteriorE2-SK1,anterior_2020-07-08_E2_S6b,S6b,anterior,-15,K1,0.110548636148467,0.00190774932564227
2020-07-08,anteriorE2-SK2,anterior_2020-07-08_E2_S6b,S6b,anterior,-15,K2,0.125135724347212,0.000519273719930985
2020-07-08,anteriorE3,anterior_2020-07-08_E3_S6a,S6a,anterior,-15,K1,-0.00148093647209454,0.00004
2020-07-07,anteriorE4-Sk1,anterior_2020-07-07_E4_S6b,S6b,anterior,-10,K1,0.0428645904577066,0.00205085631846477
2020-07-07,anteriorE4-Sk2,anterior_2020-07-07_E4_S6b,S6b,anterior,-10,K2,0.146923531273214,0.00141075572463554
2020-07-07,anteriorE5,anterior_2020-07-07_E5_S6c,S6c,anterior,-30,K1,-0.00816794305674208,0.000643256929968962
2020-07-08,anteriorE6,anterior_2020-07-08_E6_S6b,S6b,anterior,-15,K1,0.00485458390179169,0.00007
2020-07-03,anteriorEmbryo16,anterior_2020-07-03_E16_S6a,S6a,anterior,-40,K1,-0.000513066388629263,0.000906414815848441
2020-07-03,anteriorEmbryo17,anterior_2020-07-03_E17_S6c,S6c,anterior,-15,K1,-0.00011967393255187,0.000126610667989124
2020-07-03,anteriorEmbryo20,anterior_2020-07-03_E20_S6b,S6b,anterior,-25,K1,0.00655998301589997,0.00001
2020-07-03,anteriorEmbryo21,anterior_2020-07-03_E21_S6b,S6b,anterior,-10,K1,-0.00500573790890102,0.000134540776388446
2020-07-03,anteriorEmbryo4,anterior_2020-07-03_E4_S6c,S6c,anterior,-25,K1,0.0635911982361743,0.000630886024952448
2020-06-24,cephalicF_anterior2_K1,anterior_2020-06-24_E2_S6a,S6a,anterior,-10,K1,0.046035570223981,0.000556700676449822
2020-06-24,cephalicF_anterior2_KE,anterior_2020-06-24_E2_S6a,S6a,anterior,-10,K2,0.0608091337496386,0.0019731926028327
2020-06-24,cephalicF_anterior2posterior_K1,posterior_2020-06-24_E2_S6a,S6a,posterior,15,K1,0.0666427509052321,0.00217810896132049
2020-06-24,cephalicF_anterior2posterior_K2,posterior_2020-06-24_E2_S6a,S6a,posterior,15,K2,0.0704736386157351,0.00114561647329996
2020-06-24,cephalicF_posterior1anterior,anterior_2020-06-24_E1_S6a,S6a,anterior,-15,K2,0.0619405503059838,0.000210584940921429
2020-06-24,cephalicF_posterior1bis_K1,posterior_2020-06-24_E1_S6a,S6a,posterior,15,K1,0.0949800703001944,0.000246078715739669
2020-06-24,cephalicF_posterior1bis_K2,posterior_2020-06-24_E1_S6a,S6a,posterior,15,K2,0.0713507011142974,0.00130491342736476
2020-06-26,cutanteriorEmbryo111_K1,anterior_2020-06-26_E111_S6c,S6c,anterior,-15,K1,0.109393381935538,0.000963488192908789
2020-06-26,cutanteriorEmbryo111_K2,anterior_2020-06-26_E111_S6c,S6c,anterior,-15,K2,0.200463244986052,0.00312500417941598
2020-06-26,cutanteriorrEmbryo2_K1,anterior_2020-06-26_E2_S6c,S6c,anterior,-20,K1,0.097660818901665,0.000146845151616843
2020-06-26,cutanteriorrEmbryo2_K2,anterior_2020-06-26_E2_S6c,S6c,anterior,-20,K2,0.0963294223974112,0.00136887299249712
2020-06-26,cutposteriorEmbryo1,posterior_2020-06-26_E1_S6b,S6b,posterior,20,K1,0.15572066452923,0.00137448072261443
2020-06-26,cutposteriorEmbryo11_K1,posterior_2020-06-26_E11_S6b,S6b,posterior,25,K1,0.0675067364068729,0.000321084817718669
2020-06-26,cutposteriorEmbryo11_K2,posterior_2020-06-26_E11_S6b,S6b,posterior,20,K2,0.0758864787667561,0.000313501831135249
2020-06-26,posteriorEmbryo15,posterior_2020-06-26_E15_S6a,S6a,posterior,15,K1,-0.00722024615981894,0.00009
2020-06-26,cutposteriorEmbryo3,posterior_2020-06-26_E3_S6a,S6a,posterior,10,K1,0.00463776613780529,0.000483225773828529
2020-09-18,E1poserior4,posterior_2020-09-18_E1pos4_S6b,S6b,posterior,15,K1,0.113423129736932,0.00290236835914062
2020-09-18,E1poserior4-Sk2,posterior_2020-09-18_E1pos4_S6b,S6b,posterior,15,K2,0.231195992861581,0.00851859882600164
2020-09-18,E1posterior1,posterior_2020-09-18_E1pos1_S6b,S6b,posterior,30,K1,0.207708841969538,0.000643100780067825
2020-09-18,E3anterior1,anterior_2020-09-18_E3ant1_S6a,S6a,anterior,-20,K1,-0.00183057225920373,0.000004
2020-09-18,E3posterior,posterior_2020-09-18_E3_S6a,S6a,posterior,20,K1,-0.0040015203868139,0.00009
2020-09-18,E4anterior,anterior_2020-09-18_E4_S6b,S6b,anterior,-20,K1,0.417572839570132,0.0113093053816432
2020-09-17,E4posterior2,posterior_2020-09-17_E4post2_S6b,S6b,posterior,30,K1,0.0989994821525373,0.00190720990648839
2020-09-17,E4posterior2-Sk2,posterior_2020-09-17_E4post2_S6b,S6b,posterior,30,K2,0.0262912188663442,0.000443581066838942
2020-09-17,E4posterior3,posterior_2020-09-17_E4post3_S6b,S6b,posterior,20,K1,0.00190666127348683,0.00005
2020-09-17,E5anterior1,anterior_2020-09-17_E5ant1_S6a,S6a,anterior,-15,K1,0.0038734127303107,0.00003
2020-09-17,E5anterior2,anterior_2020-09-17_E5ant2_S6a,S6a,anterior,-30,K1,0.0199065449912426,0.00005
2020-09-17,E5anterior21,anterior_2020-09-17_E5ant21_S6a,S6a,anterior,-20,K1,0.00158245240175593,0.00003
2020-09-17,E5posterior1,posterior_2020-09-17_E5pos1_S6a,S6a,posterior,10,K1,0.115825957587236,0.00290236835914062
2020-09-18,E5posterior2,posterior_2020-09-18_E5pos2_S6b,S6b,posterior,40,K1,0.00668229390241143,0.000488989898144257
2020-09-18,E6anterior,anterior_2020-09-18_E6ant_S6a,S6a,anterior,-10,K1,0.000253912439965232,0.00003
2020-09-18,E6anterior1,anterior_2020-09-18_E6ant1_S6a,S6a,anterior,-25,K1,0.00745150595002451,0.000278463482647356
2020-09-18,E7anterior,anterior_2020-09-18_E7ant_S6a,S6a,anterior,-20,K1,0.00140789359780725,0.000280788488896773
2020-07-03,posterio2rEmbryo16,posterior_2020-07-03_E16_S6c,S6c,posterior,30,K1,0.0442705690612829,0.000182515360597088
