"Embryo","Stage","Position","Distance","Velocity","SD"
"anterior_2020-06-24_E1_S6a","early","anterior","-20",0.0619405503059838,NA
"anterior_2020-06-24_E2_S6a","early","anterior","-20",0.0534223519868098,0.0104464869512827
"anterior_2020-06-26_E111_S6c","late","anterior","-20",0.154928313460795,0.0643961177247487
"anterior_2020-06-26_E2_S6c","late","anterior","-20",0.0969951206495381,0.000941439496605929
"anterior_2020-07-03_E13_S6b","mid","anterior","-20",0.0873555996632165,0.00373624647724763
"anterior_2020-07-03_E14_S6b","mid","anterior","-40",0.00657284610069755,NA
"anterior_2020-07-03_E16_S6a","early","anterior","-40",-0.000513066388629263,NA
"anterior_2020-07-03_E17_S6c","late","anterior","-20",-0.00011967393255187,NA
"anterior_2020-07-03_E20_S6b","mid","anterior","-40",0.00655998301589997,NA
"anterior_2020-07-03_E21_S6b","mid","anterior","-20",-0.00500573790890102,NA
"anterior_2020-07-03_E4_S6c","late","anterior","-40",0.0635911982361743,NA
"anterior_2020-07-03_E7_S6b","mid","anterior","-20",-0.00122411409292333,NA
"anterior_2020-07-07_E10_S6c","late","anterior","-20",-0.00345998302419193,NA
"anterior_2020-07-07_E12_S6c","late","anterior","-20",0.149117742744883,NA
"anterior_2020-07-07_E13_S6b","mid","anterior","-20",0.205989266932287,NA
"anterior_2020-07-07_E15_S6c","late","anterior","-20",0.12896136465748,NA
"anterior_2020-07-07_E2_S6b","mid","anterior","-40",0.00317396472617208,NA
"anterior_2020-07-07_E4_S6b","mid","anterior","-20",0.0948940608654603,0.0735807826937349
"anterior_2020-07-07_E4_S6c","late","anterior","-40",0.00578376654076462,NA
"anterior_2020-07-07_E5_S6c","late","anterior","-40",-0.00816794305674208,NA
"anterior_2020-07-07_E9_S6c","late","anterior","-20",0.612783248399269,NA
"anterior_2020-07-08_E1_S6b","mid","anterior","-20",-0.00479959015917478,NA
"anterior_2020-07-08_E10_S6b","mid","anterior","-40",0.0925331246665407,NA
"anterior_2020-07-08_E12_S6c","late","anterior","-20",0.00442975831430368,NA
"anterior_2020-07-08_E2_S6b","mid","anterior","-20",0.11784218024784,0.0103146289830989
"anterior_2020-07-08_E3_S6a","early","anterior","-20",-0.00148093647209454,NA
"anterior_2020-07-08_E5_S6c","late","anterior","-40",0.10813177520164,0.0393081359514302
"anterior_2020-07-08_E6_S6b","mid","anterior","-20",0.00485458390179169,NA
"anterior_2020-09-17_E5ant1_S6a","early","anterior","-20",0.0038734127303107,NA
"anterior_2020-09-17_E5ant2_S6a","early","anterior","-40",0.0199065449912426,NA
"anterior_2020-09-17_E5ant21_S6a","early","anterior","-20",0.00158245240175593,NA
"anterior_2020-09-18_E3ant1_S6a","early","anterior","-20",-0.00183057225920373,NA
"anterior_2020-09-18_E4_S6b","mid","anterior","-20",0.417572839570132,NA
"anterior_2020-09-18_E6ant_S6a","early","anterior","-20",0.000253912439965232,NA
"anterior_2020-09-18_E6ant1_S6a","early","anterior","-40",0.00745150595002451,NA
"anterior_2020-09-18_E7ant_S6a","early","anterior","-20",0.00140789359780725,NA
"posterior_2020-06-24_E1_S6a","early","posterior","20",0.0831653857072459,0.0167084871865082
"posterior_2020-06-24_E2_S6a","early","posterior","20",0.0685581947604836,0.00270884667806089
"posterior_2020-06-26_E1_S6b","mid","posterior","20",0.15572066452923,NA
"posterior_2020-06-26_E11_S6b","mid","posterior","40",0.0716966075868145,0.00592537264726957
"posterior_2020-06-26_E11_S6b","mid","posterior","20",0.0716966075868145,0.00592537264726957
"posterior_2020-06-26_E15_S6a","early","posterior","20",-0.00722024615981894,NA
"posterior_2020-06-26_E3_S6a","early","posterior","20",0.00463776613780529,NA
"posterior_2020-07-03_2E16_S6c","late","posterior","40",0.000125283980942761,NA
"posterior_2020-07-03_E11_S6b","mid","posterior","20",0.182820355734054,NA
"posterior_2020-07-03_E14_S6b","mid","posterior","20",0.052796689205476,NA
"posterior_2020-07-03_E16_S6c","late","posterior","40",0.0442705690612829,NA
"posterior_2020-07-03_E3_S6a","early","posterior","20",-0.00356585042979302,NA
"posterior_2020-07-03_E4_S6b","mid","posterior","20",0.14008314034585,NA
"posterior_2020-07-03_E4_S6c","late","posterior","20",0.0593193383257742,NA
"posterior_2020-07-03_E6_S6c","late","posterior","40",0.0858810457128536,NA
"posterior_2020-07-07_E11_S6c","late","posterior","20",0.164331273136351,NA
"posterior_2020-07-07_E12_S6b","mid","posterior","20",0.081892919762271,0.0221568263995186
"posterior_2020-07-07_E51_S6c","late","posterior","20",0.0835036838348112,0.0409393750320557
"posterior_2020-07-08_E11_S6c","late","posterior","20",0.0759441586712404,NA
"posterior_2020-07-08_E12_S6c","late","posterior","20",0.123574647493977,NA
"posterior_2020-07-08_E2e7_S6b","mid","posterior","20",0.108839892948133,NA
"posterior_2020-07-08_E5_S6c","late","posterior","20",-0.00459125325925145,NA
"posterior_2020-07-08_E7_S6b","mid","posterior","20",0.0738096772868834,0.0210057054145318
"posterior_2020-07-08_E9_S6c","late","posterior","20",0.252431690015724,NA
"posterior_2020-09-17_E4post2_S6b","mid","posterior","40",0.0626453505094408,0.051412506017964
"posterior_2020-09-17_E4post3_S6b","mid","posterior","20",0.00190666127348683,NA
"posterior_2020-09-17_E5pos1_S6a","early","posterior","20",0.115825957587236,NA
"posterior_2020-09-18_E1pos1_S6b","mid","posterior","40",0.207708841969538,NA
"posterior_2020-09-18_E1pos4_S6b","mid","posterior","20",0.172309561299257,0.0832779901551944
"posterior_2020-09-18_E3_S6a","early","posterior","20",-0.0040015203868139,NA
"posterior_2020-09-18_E5pos2_S6b","mid","posterior","40",0.00668229390241143,NA
