stage	position	distance	mean	sd	n_cuts	n_embryos
early	anterior	-40	0.0089483282	0.0102917681	 3	 3
early	anterior	-20	0.0148961331	0.0265666803	 8	 8
early	posterior	20	0.0367713839	0.0511041183	 7	 7
early	posterior	40	         NaN	          NA	 0	 0
mid	anterior	-40	0.0272099796	0.0435781173	 4	 4
mid	anterior	-20	0.1019421210	0.1386834129	 9	 9
mid	posterior	20	0.1041876170	0.0580875335	10	10
mid	posterior	40	0.0871832735	0.0853400392	 4	 4
late	anterior	-40	0.0423346992	0.0537512217	 4	 4
late	anterior	-20	0.1429544864	0.2015387262	 8	 8
late	posterior	20	0.1077876483	0.0826137832	 7	 7
late	posterior	40	0.0434256329	0.0428841242	 3	 3
