 	Label	Area	Perim.	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t1:1	778	110.820	0.796	41.976	359.000	339.000	102.381	24.749	1.590	0.629	1.003
2	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t2:25	1662	153.913	0.882	57.078	467.667	394.333	110.869	38.968	1.407	0.711	1.007
3	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t3_a:35	408	79.281	0.816	29.017	488.000	431.000	91.975	20.524	1.350	0.741	1.000
4	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1_t3_b:35	501	87.853	0.816	35.128	497.000	485.000	85.101	21.473	1.631	0.613	0.988
5	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t1:1	723	103.164	0.854	39.661	377.000	358.000	56.310	26.346	1.400	0.714	1.004
6	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t2:24	1592	150.275	0.886	52.873	491.667	379.667	113.009	42.488	1.192	0.839	1.003
7	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t3_a:34	496	90.269	0.765	36.000	531.000	459.000	90.000	17.000	1.965	0.509	1.000
8	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2_t3_b:34	419	81.143	0.800	31.145	522.000	436.000	95.528	16.840	1.714	0.583	1.001
9	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t1:1	668	103.631	0.782	38.000	350.000	371.000	90.000	21.561	1.616	0.619	0.999
10	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t2:26	1451	142.784	0.894	51.887	461.500	471.750	57.995	36.987	1.349	0.741	1.005
11	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t3_a:36	453	82.948	0.827	33.061	474.000	516.000	86.532	19.914	1.472	0.680	0.992
12	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3_t3_b:36	473	84.157	0.839	31.785	467.000	490.000	87.295	20.053	1.437	0.696	1.005
13	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t1:1	658	97.720	0.866	35.693	334.000	437.000	78.690	22.921	1.416	0.706	1.001
14	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t2:29	1548	149.548	0.870	57.891	466.250	427.500	111.801	38.808	1.352	0.740	1.007
15	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t3_a:36	500	88.011	0.811	35.014	456.000	480.000	91.637	20.302	1.651	0.606	0.998
16	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4_t3_b:36	516	87.648	0.844	32.249	438.000	506.000	82.875	23.672	1.302	0.768	1.002
17	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t1:1	724	103.239	0.854	40.817	383.000	327.000	59.036	24.883	1.511	0.662	1.002
18	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t2:24	1957	177.657	0.779	68.007	498.333	327.000	107.103	39.712	1.540	0.649	0.996
19	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t3_a:34	406	78.976	0.818	29.012	525.167	437.333	148.867	19.804	1.389	0.720	0.996
20	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5_t3_b:34	467	81.377	0.886	29.236	522.000	435.833	43.614	22.752	1.216	0.823	1.009
21	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t1:1	693	99.805	0.874	35.355	343.000	468.000	81.870	24.989	1.287	0.777	1.000
22	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t2:27	1634	151.902	0.890	56.777	448.250	481.500	100.914	37.472	1.497	0.668	1.005
23	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t3_a:37	438	81.715	0.824	31.158	424.500	566.500	51.843	19.520	1.507	0.664	0.998
24	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell6_t3_b:37	507	88.692	0.810	34.205	427.000	546.000	74.745	19.728	1.573	0.636	1.009
25	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t1:1	649	96.863	0.869	33.287	348.000	433.000	32.735	26.408	1.209	0.827	1.000
26	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t2:26	1528	149.616	0.858	54.409	461.500	471.750	111.850	34.127	1.503	0.665	1.014
27	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t3_a:36	478	81.617	0.902	29.155	466.000	559.000	84.094	22.071	1.176	0.851	1.007
28	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell7_t3_b:36	322	71.560	0.790	28.792	456.000	535.000	69.677	16.346	1.654	0.605	1.013
29	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t1:1	706	102.311	0.848	37.054	374.000	378.000	93.094	24.839	1.431	0.699	0.999
30	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t2:26	1752	160.488	0.855	62.155	496.000	447.750	98.326	37.502	1.640	0.610	0.987
31	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t3_a:36	473	83.965	0.843	30.017	491.000	528.000	91.909	22.615	1.201	0.833	0.999
32	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell8_t3_b:36	442	81.952	0.827	32.280	477.000	538.000	73.811	19.800	1.546	0.647	0.994
33	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t1:1	662	101.718	0.804	38.897	374.000	378.000	46.042	26.464	1.405	0.712	0.994
34	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t2:26	1589	154.111	0.841	59.120	523.500	476.250	75.552	41.789	1.340	0.746	0.998
35	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t3_a:36	491	83.987	0.875	29.614	501.000	541.000	78.311	22.000	1.256	0.796	1.004
36	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell9_t3_b:36	474	83.629	0.852	30.594	493.000	516.000	78.690	20.763	1.345	0.744	1.000
