 ,Label,Area,Perim,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Lineage,Cell,Division,PctArea,PctPerim,TotalArea,TotalPerim,IncArea
1,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1:1,778,110.82,0.796,41.976,359,339,102.381,24.749,1.59,0.629,1.003,track1,cell1,before,1,1,778,110.82,0
2,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1a:35,408,79.281,0.816,29.017,488,431,91.975,20.524,1.35,0.741,1,track1,cell1a,deafter,0.524421593830334,0.715403356794803,909,167.134,0.168380462724936
3,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell1b:35,501,87.853,0.816,35.128,497,485,85.101,21.473,1.631,0.613,0.988,track1,cell1b,deafter,0.643958868894601,0.792754015520664,909,167.134,0.168380462724936
4,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2:1,723,103.164,0.854,39.661,377,358,56.31,26.346,1.4,0.714,1.004,track2,cell2,before,1,1,723,103.164,0
5,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2a:35,499,88.316,0.804,35.014,523,504,88.363,18,1.771,0.565,1,track2,cell2a,deafter,0.690179806362379,0.856073824202241,965,174.01,0.311053984575835
6,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell2b:35,466,85.694,0.797,34.059,515,444,93.366,16.771,1.854,0.539,1.003,track2,cell2b,deafter,0.644536652835408,0.830657981466403,965,174.01,0.311053984575835
7,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3:1,668,103.631,0.782,38,350,371,90,21.561,1.616,0.619,0.999,track3,cell3,before,1,1,668,103.631,0
8,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3a:35,487,84.54,0.856,31.145,483,506,84.472,20.358,1.388,0.721,1,track3,cell3a,deafter,0.729041916167665,0.815779062249713,867,161.965,0.255784061696658
9,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell3b:35,380,77.425,0.797,28.018,476,449,92.045,18.787,1.334,0.749,1.004,track3,cell3b,deafter,0.568862275449102,0.747122000173693,867,161.965,0.255784061696658
10,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4:1,658,97.72,0.866,35.693,334,437,78.69,22.921,1.416,0.706,1.001,track4,cell4,before,1,1,658,97.72,0
11,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4a:36,500,88.011,0.811,35.014,456,480,91.637,20.302,1.651,0.606,0.998,track4,cell4a,deafter,0.759878419452888,0.900644699140401,1016,175.659,0.460154241645244
12,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell4b:36,516,87.648,0.844,32.249,438,506,82.875,23.672,1.302,0.768,1.002,track4,cell4b,deafter,0.78419452887538,0.896930004093328,1016,175.659,0.460154241645244
13,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5:1,763,107.637,0.828,41.146,308,468,64.058,23.269,1.713,0.584,0.998,track5,cell5,before,1,1,763,107.637,0
14,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn.tif:cell5a:36,518,90.196,0.8,34.205,425,494,105.255,21.705,1.476,0.678,1,track5,cell5a,deafter,0.678899082568807,0.837964640411754,1183,194.879,0.539845758354756
