,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
0,Btd,1,1,1,-8.762550014961882,0.8058035714285714
1,Btd,1,1,2,-13.333803230891323,0.6891651865008881
2,Btd,1,1,3,-15.93897053338359,0.559850374064838
3,Btd,1,1,4,-15.842106871038633,0.7541984732824427
4,Btd,1,1,5,-18.509207048325152,0.7712230215827338
5,Btd,1,1,6,-19.340779091780828,0.7520891364902507
6,Btd,1,1,7,-19.21625090995641,0.6466257668711657
7,Btd,1,1,8,-17.25216698603694,0.7716129032258064
8,Btd,1,1,9,-6.202385093568514,0.6103522645578721
9,Btd,1,1,9,-19.598089439333698,0.7321225879682179
10,Btd,1,1,10,-4.463932907685796,0.49713093375065204
11,Btd,1,1,10,-20.831937961150672,0.5567010309278351
12,Btd,1,1,11,-7.2594590852791985,0.5773346303501945
13,Btd,1,1,11,-38.34041704039945,0.5563598759048604
14,Btd,1,1,11,-23.119806574238716,0.573103448275862
15,Btd,1,1,12,-9.889997181309363,0.3909306461173681
16,Btd,1,1,12,-36.32296970255666,0.28212953543574093
17,Btd,1,1,12,-22.717955454114406,0.5368543238537434
18,Btd,1,1,13,-36.08482545026203,0.6977152899824253
19,Btd,1,1,13,-10.582028217081918,0.26763990267639903
20,Btd,1,1,13,-43.466926657216135,0.2720214190093708
21,Btd,1,1,13,-23.86809696504956,0.6398648648648648
22,Btd,1,1,14,-39.04832149372761,0.6963434022257552
23,Btd,1,1,14,-11.813884693667575,0.20901544846668205
24,Btd,1,1,14,-44.69363197666879,0.24793729372937293
25,Btd,1,1,14,-27.581860340167506,0.6095297029702971
26,Btd,1,1,15,-45.746034334528154,0.7630331753554502
27,Btd,1,1,15,-13.734255448508765,0.224283305227656
28,Btd,1,1,15,-48.699378692462126,0.18892999040964514
29,Btd,1,1,15,-29.223122956787886,0.5403181568842568
30,Btd,1,1,16,-46.65383608033723,0.6744548286604362
31,Btd,1,1,16,-15.167115756460904,0.18583899127061107
32,Btd,1,1,16,-49.81210437594313,0.1659489549417078
33,Btd,1,1,16,-30.00586921273837,0.6831976313841599
34,Btd,1,1,17,-45.276133446585405,0.5285815102328864
35,Btd,1,1,17,-15.288599608983532,0.18644846924703504
36,Btd,1,1,17,-48.10793247580723,0.169392523364486
37,Btd,1,1,17,-34.376664684185585,0.6057422969187675
38,Btd,1,1,18,-50.07890710914,0.3921023359288098
39,Btd,1,1,18,-15.265828818196859,0.18699846722567848
40,Btd,1,1,18,-46.3021019158891,0.1504826334460853
41,Btd,1,1,18,-34.795342494613834,0.5587614356087263
42,Btd,1,1,19,-51.98057598157407,0.49127906976744184
43,Btd,1,1,19,-15.297890467002691,0.20165639445300462
44,Btd,1,1,19,-46.720158748000514,0.1549646529562982
45,Btd,1,1,19,-34.46833886861361,0.6511415525114155
46,Btd,1,1,20,-54.26443860374867,0.6509388541165142
47,Btd,1,1,20,-14.301423968184427,0.29839667458432306
48,Btd,1,1,20,-46.63819354787952,0.18542444736045222
49,Btd,1,1,20,-32.16258417696011,0.6398406374501993
50,Btd,1,1,21,-55.27935226111356,0.5818337617823479
51,Btd,1,1,21,-14.408737419695278,0.2933576531387749
52,Btd,1,1,21,-47.68113188824508,0.2002922333370799
53,Btd,1,1,21,-30.7880789794047,0.67591763652641
54,Btd,1,1,22,-56.814013113261026,0.4705661792275965
55,Btd,1,1,22,-14.12972155668663,0.2602739726027397
56,Btd,1,1,22,-46.38512847721693,0.1964876268673737
57,Btd,1,1,22,-31.610991573949825,0.6914132379248659
58,Btd,1,1,23,-57.98400290804722,0.4893882646691635
59,Btd,1,1,23,-14.490487688857357,0.22062159709618875
60,Btd,1,1,23,-46.08009005704353,0.221947087188844
61,Btd,1,1,23,-29.27294596599175,0.689275893675527
62,Btd,1,1,24,-57.05119339590543,0.37646272149782684
63,Btd,1,1,24,-13.969610210874512,0.23709798055347794
64,Btd,1,1,24,-45.29470036587728,0.21395705521472394
65,Btd,1,1,24,-22.358183896507178,0.8481481481481481
66,Btd,1,1,25,-58.63414759893154,0.3923444976076555
67,Btd,1,1,25,-9.923745548437385,0.24610461880912632
68,Btd,1,1,25,-45.31053113397942,0.2587501997762506
69,Btd,1,1,26,-58.798902237110056,0.5198107628622117
70,Btd,1,1,26,-9.475342940018496,0.2235334555453712
71,Btd,1,1,26,-43.00793600773883,0.2543145555193748
72,Btd,1,1,27,-59.202548996074114,0.554789800137836
73,Btd,1,1,27,-8.392286986956465,0.21530782029950082
74,Btd,1,1,27,-41.819616607264926,0.23968784838350055
75,Btd,1,1,28,-54.209582167858535,0.5694330320460148
76,Btd,1,1,28,-6.89499700510332,0.2293049467752035
77,Btd,1,1,28,-37.10083364146496,0.30767236910316226
78,Btd,1,1,29,-54.101333788498096,0.653475935828877
79,Btd,1,1,29,-5.8019400667543835,0.17632668423033496
80,Btd,1,1,29,-33.328667735185235,0.45323356493853556
81,Btd,1,1,30,-53.058096202465556,0.6441717791411042
82,Btd,1,1,30,-3.4788982231348418,0.17276190476190476
83,Btd,1,1,30,-30.9768834385051,0.4301929625425653
84,Btd,1,1,31,-0.9650341363009236,0.17079966564502647
85,Btd,1,1,31,-27.204970159889463,0.5181467181467182
86,Btd,1,1,32,0.290699497042652,0.17435549525101765
87,Btd,1,1,32,-21.24284343244125,0.7092882991556092
88,Btd,1,1,33,3.768337338962034,0.19630688063310617
89,Btd,1,1,33,-7.791056939141332,0.7206896551724138
