,Unnamed: 0,Time,Angle,Tortuosity,Angle Diference,Label
0,0,0,85.26353952264112,1.029029833230288,0.0,WT
1,1,1,82.7283508876508,1.046385386179225,-2.53518863499032,WT
2,2,2,77.45181118776252,1.06667058191693,-7.811728334878609,WT
3,3,3,76.85819261680754,1.068140160940379,-8.405346905833582,WT
4,4,4,74.29051277193548,1.073984085899107,-10.973026750705642,WT
5,5,5,72.01827275961232,1.078020137073502,-13.245266763028807,WT
6,6,6,70.72521549689135,1.078234899952625,-14.538324025749771,WT
7,7,7,69.39423702389848,1.08003027979934,-15.86930249874264,WT
8,8,8,68.28865479351603,1.080709694666532,-16.974884729125094,WT
9,9,9,66.25213826982835,1.080686717387507,-19.01140125281277,WT
10,10,10,65.83061314520101,1.080013883988028,-19.43292637744011,WT
11,11,11,64.48514784097854,1.082711019736392,-20.778391681662583,WT
12,12,12,62.85923496943534,1.086919753863607,-22.404304553205783,WT
13,13,13,60.72758074079855,1.085211648383435,-24.535958781842574,WT
14,14,14,60.20123270297903,1.09110481651764,-25.062306819662098,WT
15,15,15,60.22638145950302,1.083707882550316,-25.037158063138108,WT
16,16,16,59.10320466181861,1.081662188849329,-26.16033486082252,WT
17,17,17,58.06785043648223,1.088458301222017,-27.1956890861589,WT
18,18,18,57.694512296449325,1.083041677101471,-27.5690272261918,WT
0,0,0,82.82932840434027,1.050318034369398,0.0,WT
1,1,1,83.4151947105873,1.036377981753553,0.5858663062470271,WT
2,2,2,83.25002707607804,1.03850342938242,0.4206986717377674,WT
3,3,3,83.47225411091358,1.032722399999463,0.6429257065733083,WT
4,4,4,84.71718586074263,1.046270811599692,1.887857456402358,WT
5,5,5,82.43802003660107,1.047136630121495,-0.3913083677391995,WT
6,6,6,81.81466965218904,1.057935020125582,-1.0146587521512345,WT
7,7,7,80.67287375882718,1.058550911393519,-2.1564546455130937,WT
8,8,8,79.39440578017336,1.063624488754812,-3.434922624166916,WT
9,9,9,75.89784069874707,1.071160108881371,-6.931487705593199,WT
10,10,10,74.66357087421241,1.074764241655227,-8.165757530127863,WT
11,11,11,73.04752762601989,1.078780412189819,-9.781800778320388,WT
12,12,12,71.56182487775871,1.079366690709632,-11.267503526581564,WT
13,13,13,70.725843874295,1.079973813359892,-12.10348453004528,WT
14,14,14,69.47563921842669,1.080910998305942,-13.35368918591358,WT
15,15,15,68.97913227709095,1.080605213377348,-13.85019612724932,WT
16,16,16,67.44286563840417,1.080495160709095,-15.386462765936102,WT
17,17,17,66.65352116659331,1.079505380119091,-16.175807237746966,WT
18,18,18,65.269936576613,1.077655378793349,-17.559391827727268,WT
19,19,19,63.67687691497756,1.0772409915462031,-19.15245148936271,WT
20,20,20,62.36171032991327,1.073471809097697,-20.467618074427,WT
21,21,21,61.64489563689877,1.08667886115225,-21.1844327674415,WT
22,22,22,61.19908235958287,1.098954985870354,-21.630246044757406,WT
23,23,23,61.91027580691045,1.090609990904786,-20.919052597429825,WT
24,24,24,61.00146449632689,1.1059492622344,-21.827863908013384,WT
25,25,25,59.59146756482614,1.111655421183,-23.23786083951413,WT
26,26,26,60.27480067052923,1.098520452071155,-22.55452773381104,WT
27,27,27,61.0204592524087,1.095070533106306,-21.80886915193157,WT
28,28,28,60.80169512348236,1.097977671076593,-22.027633280857916,WT
29,29,29,61.64143273098958,1.098984099725542,-21.187895673350692,WT
30,30,30,62.567995703226,1.08923700629458,-20.26133270111428,WT
31,31,31,61.87032603045504,1.109294832776968,-20.959002373885237,WT
32,32,32,62.45920445012603,1.1086500969633,-20.370123954214243,WT
33,33,33,62.76135152843989,1.117799570673755,-20.067976875900385,WT
34,34,34,63.71700427635139,1.115563923576889,-19.112324127988884,WT
0,0,0,74.81755748905034,1.065182885611778,0.0,WT
1,1,1,70.87274758296363,1.074919247923836,-3.944809906086718,WT
2,2,2,73.07799026971814,1.072763478238435,-1.7395672193322014,WT
3,3,3,73.705390956308,1.07318438946754,-1.11216653274235,WT
4,4,4,73.02712585096906,1.073862922630723,-1.7904316380812872,WT
5,5,5,75.05845143088753,1.069210669677888,0.2408939418371858,WT
6,6,6,73.40040251929942,1.075619866573369,-1.417154969750925,WT
7,7,7,70.16684070205365,1.079313981261455,-4.650716786996696,WT
8,8,8,67.7274591305511,1.08038943862161,-7.090098358499247,WT
9,9,9,65.49596802681623,1.080878226680385,-9.321589462234115,WT
10,10,10,63.919082253135386,1.080238069757862,-10.898475235914958,WT
11,11,11,63.77063492171433,1.079244358251486,-11.046922567336011,WT
12,12,12,62.69617103319045,1.078756679528505,-12.121386455859891,WT
13,13,13,62.2920970418925,1.076153708418676,-12.52546044715784,WT
14,14,14,61.079192049081634,1.075039258080891,-13.73836543996871,WT
15,15,15,58.908032006285495,1.06261407418887,-15.909525482764847,WT
16,16,16,57.59837055369223,1.059466268361286,-17.219186935358117,WT
17,17,17,56.54228328913028,1.058668394396761,-18.27527419992007,WT
18,18,18,54.517401992693706,1.052552609754206,-20.30015549635664,WT
19,19,19,54.41503794760273,1.051439264721904,-20.402519541447617,WT
20,20,20,55.21988011864035,1.052653738269354,-19.59767737041,WT
21,21,21,56.31838627304267,1.059796258430101,-18.499171216007674,WT
22,22,22,57.82145819236318,1.061885493774381,-16.996099296687163,WT
23,23,23,59.096360812270255,1.066143018547547,-15.721196676780089,WT
24,24,24,59.160072816848135,1.069269810481273,-15.657484672202209,WT
25,25,25,59.66220100387079,1.067959161431958,-15.155356485179553,WT
26,26,26,60.56222869118171,1.070992081780134,-14.255328797868636,WT
27,27,27,61.61162578545164,1.072803438691642,-13.2059317035987,WT
28,28,28,61.82176338545625,1.072726593682549,-12.995794103594092,WT
29,29,29,61.968557811098165,1.071742684798383,-12.84899967795218,WT
30,30,30,60.766963611552846,1.07300862344401,-14.050593877497498,WT
31,31,31,60.25750663155076,1.06736090806564,-14.560050857499585,WT
32,32,32,61.31324214137047,1.070383936943979,-13.504315347679878,WT
33,33,33,60.32649154216789,1.06857221908673,-14.49106594688245,WT
0,0,0,80.69631496805866,1.044928741621589,0.0,WT
1,1,1,80.69852794934974,1.051749889141059,0.0022129812910804,WT
2,2,2,79.193318180819,1.053160228342191,-1.5029967872396526,WT
3,3,3,78.28969098381549,1.057672237502903,-2.4066239842431685,WT
4,4,4,76.22249325037612,1.065565502975701,-4.47382171768254,WT
5,5,5,74.06880483147687,1.071020342582954,-6.62751013658179,WT
6,6,6,73.61515732718296,1.070988338865866,-7.081157640875702,WT
7,7,7,70.59023729851356,1.078006976459988,-10.1060776695451,WT
8,8,8,70.27099425670717,1.078032491170653,-10.425320711351487,WT
9,9,9,68.59135511715264,1.080461638293282,-12.104959850906011,WT
10,10,10,66.90683922253075,1.080845276741873,-13.78947574552791,WT
11,11,11,66.04527916062534,1.080610616647115,-14.651035807433315,WT
12,12,12,64.5848959236174,1.080862330309316,-16.111419044441263,WT
13,13,13,63.01543456556436,1.081666798060214,-17.680880402494296,WT
14,14,14,61.16961009331426,1.088159585692364,-19.5267048747444,WT
15,15,15,59.99787065063106,1.078025469701166,-20.698444317427597,WT
16,16,16,58.92081129022259,1.078968491068782,-21.77550367783607,WT
17,17,17,58.37072834503727,1.071601027567835,-22.325586623021387,WT
18,18,18,57.43267699461689,1.065245702803341,-23.263637973441767,WT
19,19,19,57.26913153003552,1.070310135308748,-23.427183438023143,WT
20,20,20,57.38656638753013,1.067882866865384,-23.309748580528527,WT
21,21,21,58.07776104096792,1.073789759615216,-22.618553927090744,WT
22,22,22,58.83792694464448,1.072404509459959,-21.85838802341418,WT
0,0,0,81.9100669043266,1.046303986256581,0.0,WT
1,1,1,82.30031659274445,1.047829419723992,0.3902496884178532,WT
2,2,2,81.23027183661358,1.052278962350863,-0.679795067713016,WT
3,3,3,80.96103260972085,1.053713382929157,-0.9490342946057524,WT
4,4,4,78.7028422965204,1.064567152263755,-3.207224607806197,WT
5,5,5,74.55192460203938,1.072092878735146,-7.35814230228722,WT
6,6,6,72.81967251530826,1.075853729019326,-9.090394389018345,WT
7,7,7,72.13451574909676,1.077338392245103,-9.775551155229834,WT
8,8,8,72.04780649758345,1.078062740676852,-9.862260406743149,WT
9,9,9,71.0340151794568,1.07939908590472,-10.876051724869797,WT
10,10,10,67.96601031750296,1.084709807584083,-13.944056586823637,WT
11,11,11,66.136783204936,1.080473870931137,-15.773283699390603,WT
12,12,12,62.74774579161322,1.082572276697666,-19.16232111271338,WT
13,13,13,60.13476130197646,1.081380289256496,-21.775305602350137,WT
14,14,14,59.44620310155831,1.094530340831049,-22.463863802768287,WT
