,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
0,WT,1,0,0,-21.56157261123877,0.6773752563226247
1,WT,1,0,1,-18.70302427574287,0.4040435458786936
2,WT,1,0,2,-18.037429268486903,0.5437452033768227
3,WT,1,0,3,-17.71873395880312,0.5155257586450247
4,WT,1,0,4,-18.127832903638044,0.39577187807276304
5,WT,1,0,5,-17.534759254846715,0.42423512406649
6,WT,1,0,6,-18.10198318380023,0.37323811313662847
7,WT,1,0,7,-18.924587380830612,0.3285108870378489
8,WT,1,0,8,-20.13805797808695,0.304404996712689
9,WT,1,0,9,-20.508015170933728,0.2742843454305905
10,WT,1,0,10,-22.418683318498857,0.28989394124100937
11,WT,1,0,11,-22.939700817132117,0.2676041219407471
12,WT,1,0,12,-25.57655920193836,0.22283546050362193
13,WT,1,0,13,-26.111105104896673,0.15402995512559006
14,WT,1,0,14,-28.344139648077,0.12616907291382912
15,WT,1,0,15,-30.055600361097735,0.12317666126418152
16,WT,1,0,16,-30.570347438381962,0.11246617488972087
17,WT,1,0,17,-32.418146894502954,0.08876246237123367
18,WT,2,0,0,-7.615606948555603,0.8179611650485437
19,WT,2,0,1,-9.890951154310175,0.5861571737563086
20,WT,2,0,2,-9.6419962287544,0.6282051282051282
21,WT,2,0,3,-13.214376829957795,0.4746175243393602
22,WT,2,0,4,-14.527898235862104,0.5923026744944553
23,WT,2,0,5,-15.072522305715042,0.4044368600682594
24,WT,2,0,6,-16.462239470405454,0.44718821332226605
25,WT,2,0,7,-16.762872791273153,0.4044051272792923
26,WT,2,0,8,-18.949208217770945,0.3325985119867732
27,WT,2,0,9,-19.864047768235125,0.2905656256824634
28,WT,2,0,10,-21.373394607821453,0.2691753863876356
29,WT,2,0,11,-23.084828397574913,0.21440447400241838
30,WT,2,0,12,-24.282897463230565,0.1654554967734434
31,WT,2,0,13,-24.344746328259223,0.14333447987813866
32,WT,2,0,14,-25.69667700893794,0.136735154662452
33,WT,2,0,15,-26.137020483501583,0.1193887661001448
34,WT,2,0,16,-28.490845273339904,0.1356469543898212
35,WT,2,0,17,-29.58843102450244,0.15032927464822096
36,WT,2,0,18,-30.9946954468096,0.144072036018009
37,WT,2,0,19,-32.091249041386035,0.1398404930215697
38,WT,2,0,20,-33.07100935158893,0.15149204412587058
39,WT,2,0,21,-33.11349668736719,0.17098568216779078
40,WT,2,0,22,-33.723814568939254,0.1757846968360015
41,WT,2,0,23,-32.71806691953254,0.17616346525718707
42,WT,3,0,0,-19.6775791386312,0.6887755102040817
43,WT,3,0,1,-18.999645356760052,0.6603518267929634
44,WT,3,0,2,-18.87444620891302,0.36792452830188677
45,WT,3,0,3,-19.483646924685843,0.39901986071704926
46,WT,3,0,4,-20.786728281584583,0.3538402011994583
47,WT,3,0,5,-21.68106152975338,0.3268214571657326
48,WT,3,0,6,-22.219968513839035,0.3435724159115343
49,WT,3,0,7,-23.758752432693125,0.3771502293577982
50,WT,3,0,8,-25.209507730884972,0.311228813559322
51,WT,3,0,9,-26.816662857520644,0.24964827262779427
52,WT,3,0,10,-27.704152095665865,0.19605744860602647
53,WT,3,0,11,-28.39219610417104,0.19581379389225667
54,WT,3,0,12,-29.74616227985382,0.20592060444664645
55,WT,3,0,13,-30.473241129026544,0.1887942936033134
56,WT,3,0,14,-30.594432141227784,0.15774620474892956
57,WT,3,0,15,-30.307649590000622,0.21163881366008322
58,WT,3,0,16,-31.41551963538438,0.22050223598211213
59,WT,3,0,17,-31.670395003802444,0.22521943909227146
60,WT,3,0,18,-30.757551830986458,0.28160029162489747
61,WT,4,0,0,-14.146661237011077,0.6972477064220184
62,WT,4,0,1,-15.484346170403194,0.6722838137472283
63,WT,4,0,2,-16.295373669125627,0.4783233532934132
64,WT,4,0,3,-17.795379060662537,0.5446623093681917
65,WT,4,0,4,-18.762029964103757,0.4604343025395657
66,WT,4,0,5,-21.47985362917119,0.6156432093231735
67,WT,4,0,6,-22.235261260787844,0.5129581636430951
68,WT,4,0,7,-23.785095929250136,0.4999123882950762
69,WT,4,0,8,-24.831230206243344,0.31633986928104574
70,WT,4,0,9,-26.10528535878186,0.2195835364579706
71,WT,4,0,10,-25.665436459353003,0.1417482579165564
72,WT,4,0,11,-25.676265393819673,0.15285754637039828
73,WT,4,0,12,-27.930630086545904,0.18302119546932824
74,WT,4,0,13,-29.13380455107255,0.15689100254599606
75,WT,4,0,14,-29.35453192218769,0.15700577695094486
76,WT,4,0,15,-29.436513709003325,0.14370546318289787
77,WT,4,0,16,-29.752794399131947,0.15934237995824635
78,WT,4,0,17,-28.89449722751274,0.14393687312829775
79,WT,4,0,18,-29.000198010108953,0.14470508736364515
80,WT,5,0,0,-16.524150507242272,0.5913915094339622
81,WT,5,0,1,-16.364803860874908,0.5696564885496184
82,WT,5,0,2,-16.6157158351714,0.44479199249296214
83,WT,5,0,3,-18.672511266761813,0.3577023498694517
84,WT,5,0,4,-20.610426435374727,0.2765957446808511
85,WT,5,0,5,-22.349424661892343,0.290368722186904
86,WT,5,0,6,-22.919043234952643,0.27626901748898053
87,WT,5,0,7,-22.396300125125883,0.240680622411284
88,WT,5,0,8,-24.336063292838336,0.232939763858315
89,WT,5,0,9,-25.41822203215745,0.21230932954948564
90,WT,5,0,10,-25.517175269732874,0.24085835257890686
91,WT,5,0,11,-27.633032567147325,0.25346437346437345
92,WT,5,0,12,-28.872486326019267,0.21146028767979988
93,WT,5,0,13,-31.20903071813296,0.23809112875388333
94,WT,5,0,14,-32.97009005737112,0.19792995888274492
95,WT,5,0,15,-34.22588026479629,0.19845526711006223
96,WT,5,0,16,-35.58028108609727,0.1662742789876398
97,WT,5,0,17,-37.29629416805412,0.12003712072304713
98,WT,5,0,18,-39.18341497912214,0.10656740414525882
99,WT,5,0,19,-40.68299024842649,0.11582809224318659
100,WT,5,0,20,-39.83812156154315,0.11349715619075397
101,WT,5,0,21,-38.804441638666,0.12636786717538048
102,WT,5,0,22,-37.52043276687443,0.12947211504735182
103,WT,5,0,23,-36.16916939461701,0.12489211116865181
104,WT,5,0,24,-35.75739991638154,0.11879932932564512
105,WT,5,0,25,-35.109770559898884,0.1272678039534254
106,WT,5,0,26,-34.45711082922086,0.12024471155917453
107,WT,5,0,27,-34.53881428920836,0.11289866203161
108,WT,5,0,28,-33.07286185806706,0.10927981462794782
109,WT,5,0,29,-34.559481367295916,0.10408272419326083
110,WT,5,0,30,-34.11502798698952,0.10160409078173158
111,WT,5,0,31,-35.034861471711466,0.11003646133179812
112,WT,5,0,32,-34.21441164198667,0.10811113182920007
113,WT,5,0,33,-35.254276854786106,0.10091248742635436
114,WT,5,0,34,-33.38594269031343,0.09772302830053153
115,WT,5,0,35,-32.5243867112022,0.09940933482608193
116,WT,5,0,36,-29.93252983509734,0.10368788982376827
117,WT,6,0,0,-8.017342247017767,0.5148514851485149
118,WT,6,0,1,-7.7200593064966005,0.6167247386759582
119,WT,6,0,2,-8.79718497236668,0.6432777232580962
120,WT,6,0,3,-9.048840337883064,0.5753579502637528
121,WT,6,0,4,-11.36422614798858,0.46030405405405406
122,WT,6,0,5,-15.417820456769691,0.5646169023347583
123,WT,6,0,6,-17.151945953509284,0.5046728971962616
124,WT,6,0,7,-17.844282653708184,0.4270535349407438
125,WT,6,0,8,-18.05655315833554,0.25455150976909413
126,WT,6,0,9,-19.04415221707793,0.24637246072250577
127,WT,6,0,10,-22.030094589243387,0.21971878705742842
128,WT,6,0,11,-23.97533462565252,0.24613510728005247
129,WT,6,0,12,-27.40105595572421,0.20928289273776968
130,WT,6,0,13,-30.04151245252845,0.17662504002561638
131,WT,6,0,14,-30.641939201163694,0.16007174083622913
132,WT,6,0,15,-30.993197526080486,0.16298763619940157
133,WT,6,0,16,-30.82935091208985,0.18617533718689788
134,WT,6,0,17,-29.261804684717912,0.17534215197846875
135,WT,6,0,18,-29.222484591307197,0.16387054876068838
136,WT,6,0,19,-29.05752490853042,0.2059407344392457
137,WT,6,0,20,-29.09434269439386,0.2056670773244438
138,WT,6,0,21,-28.04847987112859,0.2032555773562968
139,WT,6,0,22,-29.062460364298214,0.22151546473721873
140,WT,6,0,23,-28.324532132394364,0.20176848874598072
141,WT,6,0,24,-27.936283531743708,0.2058509827822642
142,WT,6,0,25,-27.313915029725383,0.19825263924281034
143,WT,6,0,26,-26.603460434719345,0.21751960205716211
144,WT,6,0,27,-26.291358099178893,0.2430562229697261
