Unnamed: 0,Type,Sample,Fold,Time [min],Angle [degrees],Solidity,Angle Corr
0,WT,1,0,0,-21.56157261123877,0.6773752563226247,68.43842738876123
1,WT,1,0,1,-18.70302427574287,0.4040435458786936,71.29697572425712
2,WT,1,0,2,-18.037429268486903,0.5437452033768227,71.9625707315131
3,WT,1,0,3,-17.71873395880312,0.5155257586450247,72.28126604119689
4,WT,1,0,4,-18.127832903638044,0.395771878072763,71.87216709636195
5,WT,1,0,5,-17.534759254846715,0.42423512406649,72.46524074515328
6,WT,1,0,6,-18.10198318380023,0.3732381131366284,71.89801681619977
7,WT,1,0,7,-18.92458738083061,0.3285108870378489,71.07541261916938
8,WT,1,0,8,-20.13805797808695,0.304404996712689,69.86194202191305
9,WT,1,0,9,-20.508015170933728,0.2742843454305905,69.49198482906627
10,WT,1,0,10,-22.418683318498857,0.2898939412410093,67.58131668150114
11,WT,1,0,11,-22.93970081713212,0.2676041219407471,67.06029918286788
12,WT,1,0,12,-25.57655920193836,0.2228354605036219,64.42344079806165
13,WT,1,0,13,-26.111105104896676,0.15402995512559,63.88889489510332
14,WT,1,0,14,-28.344139648077,0.1261690729138291,61.655860351922996
15,WT,1,0,15,-30.05560036109773,0.1231766612641815,59.94439963890227
16,WT,1,0,16,-30.57034743838196,0.1124661748897208,59.42965256161804
17,WT,1,0,17,-32.418146894502954,0.0887624623712336,57.581853105497046
18,WT,2,0,0,-7.615606948555603,0.8179611650485437,82.38439305144439
19,WT,2,0,1,-9.890951154310176,0.5861571737563086,80.10904884568983
20,WT,2,0,2,-9.6419962287544,0.6282051282051282,80.3580037712456
21,WT,2,0,3,-13.214376829957796,0.4746175243393602,76.7856231700422
22,WT,2,0,4,-14.527898235862104,0.5923026744944553,75.4721017641379
23,WT,2,0,5,-15.072522305715042,0.4044368600682594,74.92747769428496
24,WT,2,0,6,-16.462239470405454,0.447188213322266,73.53776052959455
25,WT,2,0,7,-16.762872791273153,0.4044051272792923,73.23712720872685
26,WT,2,0,8,-18.949208217770945,0.3325985119867732,71.05079178222906
27,WT,2,0,9,-19.864047768235125,0.2905656256824634,70.13595223176488
28,WT,2,0,10,-21.373394607821453,0.2691753863876356,68.62660539217855
29,WT,2,0,11,-23.084828397574917,0.2144044740024183,66.91517160242509
30,WT,2,0,12,-24.282897463230565,0.1654554967734434,65.71710253676943
31,WT,2,0,13,-24.344746328259223,0.1433344798781386,65.65525367174078
32,WT,2,0,14,-25.69667700893794,0.136735154662452,64.30332299106206
33,WT,2,0,15,-26.137020483501583,0.1193887661001448,63.86297951649841
34,WT,2,0,16,-28.490845273339904,0.1356469543898212,61.5091547266601
35,WT,2,0,17,-29.58843102450244,0.1503292746482209,60.41156897549756
36,WT,2,0,18,-30.9946954468096,0.144072036018009,59.0053045531904
37,WT,2,0,19,-32.091249041386035,0.1398404930215697,57.908750958613965
38,WT,2,0,20,-33.07100935158893,0.1514920441258705,56.92899064841107
39,WT,2,0,21,-33.11349668736719,0.1709856821677907,56.88650331263281
40,WT,2,0,22,-33.723814568939254,0.1757846968360015,56.276185431060746
41,WT,2,0,23,-32.71806691953254,0.176163465257187,57.28193308046746
42,WT,3,0,0,-19.6775791386312,0.6887755102040817,70.3224208613688
43,WT,3,0,1,-18.99964535676005,0.6603518267929634,71.00035464323994
44,WT,3,0,2,-18.87444620891302,0.3679245283018867,71.12555379108699
45,WT,3,0,3,-19.483646924685843,0.3990198607170492,70.51635307531416
46,WT,3,0,4,-20.786728281584583,0.3538402011994583,69.21327171841541
47,WT,3,0,5,-21.68106152975338,0.3268214571657326,68.31893847024662
48,WT,3,0,6,-22.219968513839035,0.3435724159115343,67.78003148616096
49,WT,3,0,7,-23.758752432693125,0.3771502293577982,66.24124756730687
50,WT,3,0,8,-25.20950773088497,0.311228813559322,64.79049226911503
51,WT,3,0,9,-26.816662857520644,0.2496482726277942,63.18333714247936
52,WT,3,0,10,-27.704152095665865,0.1960574486060264,62.29584790433414
53,WT,3,0,11,-28.39219610417104,0.1958137938922566,61.607803895828965
54,WT,3,0,12,-29.74616227985382,0.2059206044466464,60.25383772014618
55,WT,3,0,13,-30.473241129026544,0.1887942936033134,59.52675887097345
56,WT,3,0,14,-30.594432141227784,0.1577462047489295,59.405567858772216
57,WT,3,0,15,-30.307649590000626,0.2116388136600832,59.69235040999938
58,WT,3,0,16,-31.41551963538438,0.2205022359821121,58.584480364615615
59,WT,3,0,17,-31.670395003802444,0.2252194390922714,58.32960499619756
60,WT,3,0,18,-30.757551830986458,0.2816002916248974,59.24244816901354
61,WT,4,0,0,-14.146661237011076,0.6972477064220184,75.85333876298893
62,WT,4,0,1,-15.484346170403194,0.6722838137472283,74.5156538295968
63,WT,4,0,2,-16.295373669125627,0.4783233532934132,73.70462633087438
64,WT,4,0,3,-17.795379060662537,0.5446623093681917,72.20462093933746
65,WT,4,0,4,-18.76202996410376,0.4604343025395657,71.23797003589624
66,WT,4,0,5,-21.47985362917119,0.6156432093231735,68.52014637082881
67,WT,4,0,6,-22.235261260787844,0.5129581636430951,67.76473873921216
68,WT,4,0,7,-23.785095929250136,0.4999123882950762,66.21490407074987
69,WT,4,0,8,-24.831230206243344,0.3163398692810457,65.16876979375665
70,WT,4,0,9,-26.10528535878186,0.2195835364579706,63.894714641218144
71,WT,4,0,10,-25.665436459353003,0.1417482579165564,64.334563540647
72,WT,4,0,11,-25.676265393819676,0.1528575463703982,64.32373460618032
73,WT,4,0,12,-27.930630086545904,0.1830211954693282,62.069369913454096
74,WT,4,0,13,-29.13380455107255,0.156891002545996,60.86619544892745
75,WT,4,0,14,-29.35453192218769,0.1570057769509448,60.64546807781231
76,WT,4,0,15,-29.436513709003325,0.1437054631828978,60.56348629099668
77,WT,4,0,16,-29.752794399131947,0.1593423799582463,60.24720560086806
78,WT,4,0,17,-28.89449722751274,0.1439368731282977,61.105502772487256
79,WT,4,0,18,-29.000198010108956,0.1447050873636451,60.99980198989104
80,WT,5,0,0,-16.524150507242272,0.5913915094339622,73.47584949275773
81,WT,5,0,1,-16.364803860874908,0.5696564885496184,73.6351961391251
82,WT,5,0,2,-16.6157158351714,0.4447919924929621,73.3842841648286
83,WT,5,0,3,-18.672511266761813,0.3577023498694517,71.32748873323818
84,WT,5,0,4,-20.610426435374727,0.2765957446808511,69.38957356462527
85,WT,5,0,5,-22.349424661892343,0.290368722186904,67.65057533810766
86,WT,5,0,6,-22.919043234952643,0.2762690174889805,67.08095676504736
87,WT,5,0,7,-22.396300125125883,0.240680622411284,67.60369987487411
88,WT,5,0,8,-24.336063292838336,0.232939763858315,65.66393670716167
89,WT,5,0,9,-25.41822203215745,0.2123093295494856,64.58177796784256
90,WT,5,0,10,-25.517175269732878,0.2408583525789068,64.48282473026713
91,WT,5,0,11,-27.633032567147325,0.2534643734643734,62.366967432852675
92,WT,5,0,12,-28.872486326019267,0.2114602876797998,61.12751367398073
93,WT,5,0,13,-31.20903071813296,0.2380911287538833,58.790969281867035
94,WT,5,0,14,-32.97009005737112,0.1979299588827449,57.02990994262888
95,WT,5,0,15,-34.22588026479629,0.1984552671100622,55.77411973520371
96,WT,5,0,16,-35.58028108609727,0.1662742789876398,54.41971891390273
97,WT,5,0,17,-37.29629416805412,0.1200371207230471,52.70370583194588
98,WT,5,0,18,-39.18341497912214,0.1065674041452588,50.81658502087786
99,WT,5,0,19,-40.68299024842649,0.1158280922431865,49.31700975157351
100,WT,5,0,20,-39.83812156154315,0.1134971561907539,50.16187843845685
101,WT,5,0,21,-38.804441638666,0.1263678671753804,51.195558361334
102,WT,5,0,22,-37.52043276687443,0.1294721150473518,52.47956723312557
103,WT,5,0,23,-36.16916939461701,0.1248921111686518,53.83083060538299
104,WT,5,0,24,-35.75739991638154,0.1187993293256451,54.24260008361846
105,WT,5,0,25,-35.109770559898884,0.1272678039534254,54.890229440101116
106,WT,5,0,26,-34.45711082922086,0.1202447115591745,55.54288917077914
107,WT,5,0,27,-34.53881428920836,0.11289866203161,55.46118571079164
108,WT,5,0,28,-33.07286185806706,0.1092798146279478,56.92713814193294
109,WT,5,0,29,-34.55948136729592,0.1040827241932608,55.44051863270408
110,WT,5,0,30,-34.11502798698952,0.1016040907817315,55.88497201301048
117,WT,6,0,0,-8.017342247017767,0.5148514851485149,81.98265775298223
118,WT,6,0,1,-7.7200593064966,0.6167247386759582,82.2799406935034
119,WT,6,0,2,-8.79718497236668,0.6432777232580962,81.20281502763332
120,WT,6,0,3,-9.048840337883064,0.5753579502637528,80.95115966211694
121,WT,6,0,4,-11.36422614798858,0.460304054054054,78.63577385201143
122,WT,6,0,5,-15.417820456769691,0.5646169023347583,74.58217954323031
123,WT,6,0,6,-17.151945953509284,0.5046728971962616,72.84805404649072
124,WT,6,0,7,-17.844282653708184,0.4270535349407438,72.15571734629182
125,WT,6,0,8,-18.05655315833554,0.2545515097690941,71.94344684166447
126,WT,6,0,9,-19.04415221707793,0.2463724607225057,70.95584778292206
127,WT,6,0,10,-22.030094589243387,0.2197187870574284,67.96990541075661
128,WT,6,0,11,-23.97533462565252,0.2461351072800524,66.02466537434748
129,WT,6,0,12,-27.40105595572421,0.2092828927377696,62.59894404427579
130,WT,6,0,13,-30.04151245252845,0.1766250400256163,59.95848754747155
131,WT,6,0,14,-30.64193920116369,0.1600717408362291,59.358060798836306
132,WT,6,0,15,-30.99319752608049,0.1629876361994015,59.00680247391951
133,WT,6,0,16,-30.82935091208985,0.1861753371868978,59.17064908791015
134,WT,6,0,17,-29.261804684717912,0.1753421519784687,60.738195315282084
135,WT,6,0,18,-29.2224845913072,0.1638705487606883,60.7775154086928
136,WT,6,0,19,-29.05752490853042,0.2059407344392457,60.942475091469575
137,WT,6,0,20,-29.09434269439386,0.2056670773244438,60.90565730560614
138,WT,6,0,21,-28.04847987112859,0.2032555773562968,61.95152012887141
139,WT,6,0,22,-29.06246036429821,0.2215154647372187,60.93753963570179
140,WT,6,0,23,-28.324532132394364,0.2017684887459807,61.67546786760563
141,WT,6,0,24,-27.936283531743708,0.2058509827822642,62.06371646825629
142,WT,6,0,25,-27.313915029725383,0.1982526392428103,62.68608497027462
143,WT,6,0,26,-26.603460434719345,0.2175196020571621,63.396539565280655
144,WT,6,0,27,-26.291358099178893,0.2430562229697261,63.70864190082111
145,WT,6,0,28,-27.18658970087884,0.2773128251526804,62.81341029912116
146,WT,6,0,29,-26.31498641354896,0.2724230254350736,63.685013586451035
147,WT,6,0,30,-25.515589005913306,0.2578420467185762,64.48441099408669
151,WT,7,0,0,-9.095084435813154,0.766295707472178,80.90491556418685
152,WT,7,0,1,-9.116419345389964,0.5241976566479878,80.88358065461003
153,WT,7,0,2,-10.734065001305332,0.6146464646464647,79.26593499869466
154,WT,7,0,3,-11.634279897094263,0.5547302580140735,78.36572010290574
155,WT,7,0,4,-13.718757280074453,0.5630725863284003,76.28124271992554
156,WT,7,0,5,-15.867097176318202,0.5019691002726446,74.1329028236818
157,WT,7,0,6,-16.316209265912022,0.4223502304147465,73.68379073408798
158,WT,7,0,7,-19.36897046736461,0.4968915496200783,70.6310295326354
159,WT,7,0,8,-19.6893037945681,0.3768906907843443,70.3106962054319
160,WT,7,0,9,-21.377987384126627,0.3865381719620539,68.62201261587337
161,WT,7,0,10,-23.10913314959906,0.4096622747236105,66.89086685040094
162,WT,7,0,11,-24.05888774503036,0.2356349206349206,65.94111225496964
163,WT,7,0,12,-25.60920595512578,0.1883351390393643,64.39079404487421
164,WT,7,0,13,-27.18677488435664,0.175888085507702,62.81322511564336
165,WT,7,0,14,-28.96911345306957,0.1575250058153058,61.03088654693043
166,WT,7,0,15,-30.14449496480811,0.1695909364347303,59.85550503519189
167,WT,7,0,16,-31.18689584508678,0.170686175580222,58.81310415491322
168,WT,7,0,17,-31.762745532207887,0.1963211678832117,58.23725446779211
169,WT,7,0,18,-32.68988541102235,0.1973488676217083,57.31011458897765
170,WT,7,0,19,-32.843498821063726,0.1928762658596205,57.156501178936274
171,WT,7,0,20,-32.720456664940265,0.2045683997980817,57.279543335059735
172,WT,7,0,21,-32.01863679420688,0.171716621253406,57.98136320579312
173,WT,7,0,22,-31.308626521239525,0.1753758453026323,58.691373478760475
174,WT,8,0,0,-13.93779374005032,0.5925542916235781,76.06220625994968
175,WT,8,0,1,-10.857330383172156,0.6895284751990202,79.14266961682785
176,WT,8,0,2,-11.823764151001074,0.634858812074002,78.17623584899893
177,WT,8,0,3,-13.224020377972096,0.5119354838709678,76.7759796220279
178,WT,8,0,4,-14.593304008145129,0.4370253993191935,75.40669599185487
179,WT,8,0,5,-15.260524069095812,0.4875595553202753,74.73947593090419
180,WT,8,0,6,-16.936898562728572,0.3164912280701754,73.06310143727143
181,WT,8,0,7,-17.76565359177989,0.2771905097486493,72.2343464082201
182,WT,8,0,8,-20.72524032422285,0.2521851410409217,69.27475967577715
183,WT,8,0,9,-21.68801019346293,0.1846335042261327,68.31198980653707
184,WT,8,0,10,-22.56150381654745,0.189247014976879,67.43849618345254
185,WT,8,0,11,-24.614330499070338,0.181137434639468,65.38566950092967
186,WT,8,0,12,-28.045599193914637,0.1444411444411444,61.95440080608536
187,WT,8,0,13,-28.578537889426176,0.1436957259981565,61.42146211057383
188,WT,8,0,14,-30.03580696267477,0.1265403037622303,59.96419303732523
189,WT,8,0,15,-32.034559451248064,0.1114505986428393,57.965440548751936
190,WT,8,0,16,-32.34318778784748,0.1059629063351725,57.65681221215252
191,WT,8,0,17,-32.75220199660478,0.1067361319841031,57.24779800339522
192,WT,9,0,0,-15.148024175850846,0.8436944937833037,74.85197582414915
193,WT,9,0,1,-18.871229549825436,0.5773615635179153,71.12877045017456
194,WT,9,0,2,-16.838656164283645,0.6259541984732825,73.16134383571635
195,WT,9,0,3,-16.2749788381977,0.708540218470705,73.7250211618023
196,WT,9,0,4,-16.93633297536527,0.6001443522194154,73.06366702463473
197,WT,9,0,5,-14.945519403083326,0.4433377600708278,75.05448059691668
198,WT,9,0,6,-16.655994440224827,0.489093771081628,73.34400555977517
199,WT,9,0,7,-19.828113475686887,0.5558569667077682,70.17188652431311
200,WT,9,0,8,-22.246893408749617,0.4188272141987124,67.75310659125039
201,WT,9,0,9,-24.49893623781689,0.3667980850464657,65.50106376218311
202,WT,9,0,10,-26.048832272822168,0.3609387644995953,63.95116772717783
203,WT,9,0,11,-26.21815222273355,0.459030241594864,63.78184777726645
204,WT,9,0,12,-27.2810259802813,0.4432102628285356,62.7189740197187
205,WT,9,0,13,-27.699105468619734,0.5355919299581271,62.300894531380266
