,Time,Angle,Tortuosity,Angle Diference
0,0,75.93568677693811,1.067531479728025,0.0
1,1,79.1249206664705,1.05860924348844,3.189233889532389
2,2,78.17029927712368,1.061249948473342,2.2346125001855626
3,3,76.75726291144227,1.067121230701537,0.8215761345041557
4,4,75.3553324333513,1.068601464100168,-0.5803543435868193
5,5,74.70366408464038,1.071705076036368,-1.2320226922977326
6,6,73.07556555256278,1.076353352616739,-2.860121224375334
7,7,72.28608447696851,1.077481590161625,-3.649602299969601
8,8,69.3753720414109,1.080611703422022,-6.560314735527214
9,9,68.58574753184406,1.080897828398475,-7.349939245094049
10,10,67.70619675166485,1.084431293459893,-8.229490025273265
11,11,65.60001229844303,1.087680499403751,-10.33567447849508
12,12,62.111554651561555,1.092237513709828,-13.824132125376558
13,13,61.56306314045285,1.094739417836773,-14.372623636485265
14,14,59.974245026291996,1.112639733516167,-15.961441750646117
15,15,57.921657067487274,1.118540330949968,-18.01402970945084
16,16,57.70122637240345,1.117004223246408,-18.234460404534666
17,17,57.32221917535944,1.115013933215841,-18.61346760157867
