"time","angle","tortuosity","angle_diff","type"
0,85.2635395226411,1.02902983323029,0,"control"
1,82.7283508876508,1.04638538617923,-2.53518863499032,"control"
2,77.4518111877625,1.06667058191693,-7.81172833487861,"control"
3,76.8581926168075,1.06814016094038,-8.40534690583358,"control"
4,74.2905127719355,1.07398408589911,-10.9730267507056,"control"
5,72.0182727596123,1.0780201370735,-13.2452667630288,"control"
6,70.7252154968914,1.07823489995263,-14.5383240257498,"control"
7,69.3942370238985,1.08003027979934,-15.8693024987426,"control"
8,68.288654793516,1.08070969466653,-16.9748847291251,"control"
9,66.2521382698284,1.08068671738751,-19.0114012528128,"control"
10,65.830613145201,1.08001388398803,-19.4329263774401,"control"
11,64.4851478409785,1.08271101973639,-20.7783916816626,"control"
12,62.8592349694353,1.08691975386361,-22.4043045532058,"control"
13,60.7275807407986,1.08521164838344,-24.5359587818426,"control"
14,60.201232702979,1.09110481651764,-25.0623068196621,"control"
15,60.226381459503,1.08370788255032,-25.0371580631381,"control"
16,59.1032046618186,1.08166218884933,-26.1603348608225,"control"
17,58.0678504364822,1.08845830122202,-27.1956890861589,"control"
18,57.6945122964493,1.08304167710147,-27.5690272261918,"control"
0,82.8293284043403,1.0503180343694,0,"control"
1,83.4151947105873,1.03637798175355,0.585866306247027,"control"
2,83.250027076078,1.03850342938242,0.420698671737767,"control"
3,83.4722541109136,1.03272239999946,0.642925706573308,"control"
4,84.7171858607426,1.04627081159969,1.88785745640236,"control"
5,82.4380200366011,1.0471366301215,-0.3913083677392,"control"
6,81.814669652189,1.05793502012558,-1.01465875215123,"control"
7,80.6728737588272,1.05855091139352,-2.15645464551309,"control"
8,79.3944057801734,1.06362448875481,-3.43492262416692,"control"
9,75.8978406987471,1.07116010888137,-6.9314877055932,"control"
10,74.6635708742124,1.07476424165523,-8.16575753012786,"control"
11,73.0475276260199,1.07878041218982,-9.78180077832039,"control"
12,71.5618248777587,1.07936669070963,-11.2675035265816,"control"
13,70.725843874295,1.07997381335989,-12.1034845300453,"control"
14,69.4756392184267,1.08091099830594,-13.3536891859136,"control"
15,68.979132277091,1.08060521337735,-13.8501961272493,"control"
16,67.4428656384042,1.0804951607091,-15.3864627659361,"control"
17,66.6535211665933,1.07950538011909,-16.175807237747,"control"
18,65.269936576613,1.07765537879335,-17.5593918277273,"control"
19,63.6768769149776,1.0772409915462,-19.1524514893627,"control"
20,62.3617103299133,1.0734718090977,-20.467618074427,"control"
21,61.6448956368988,1.08667886115225,-21.1844327674415,"control"
22,61.1990823595829,1.09895498587035,-21.6302460447574,"control"
23,61.9102758069105,1.09060999090479,-20.9190525974298,"control"
24,61.0014644963269,1.1059492622344,-21.8278639080134,"control"
25,59.5914675648261,1.111655421183,-23.2378608395141,"control"
26,60.2748006705292,1.09852045207116,-22.554527733811,"control"
27,61.0204592524087,1.09507053310631,-21.8088691519316,"control"
28,60.8016951234824,1.09797767107659,-22.0276332808579,"control"
29,61.6414327309896,1.09898409972554,-21.1878956733507,"control"
30,62.567995703226,1.08923700629458,-20.2613327011143,"control"
