"type","time","angle.count","angle.mean","angle.sd","tortuosity.count","tortuosity.mean","tortuosity.sd","angle_diff.count","angle_diff.mean","angle_diff.sd"
"control"," 0","11","77"," 5.5","11","1.1","0.0165","11","  0.000"," 0.0"
"control"," 1","11","77"," 5.1","11","1.1","0.0145","11"," -0.160"," 2.2"
"control"," 2","11","77"," 4.1","11","1.1","0.0130","11"," -0.784"," 2.9"
"control"," 3","11","76"," 4.2","11","1.1","0.0145","11"," -1.670"," 3.3"
"control"," 4","11","74"," 4.5","11","1.1","0.0095","11"," -2.910"," 4.0"
"control"," 5","11","73"," 4.2","11","1.1","0.0094","11"," -4.249"," 4.8"
"control"," 6","11","72"," 4.1","11","1.1","0.0065","11"," -5.265"," 5.0"
"control"," 7","11","71"," 4.0","11","1.1","0.0063","11"," -6.512"," 5.0"
"control"," 8","11","69"," 4.1","11","1.1","0.0049","11"," -7.964"," 4.8"
"control"," 9","11","68"," 3.7","11","1.1","0.0028","11"," -9.450"," 4.9"
"control","10","11","67"," 3.3","11","1.1","0.0027","11","-10.591"," 4.8"
"control","11","11","66"," 3.0","11","1.1","0.0039","11","-11.764"," 5.0"
"control","12","11","64"," 3.1","11","1.1","0.0048","11","-13.675"," 4.9"
"control","13","11","63"," 3.4","11","1.1","0.0067","11","-14.829"," 5.5"
"control","14","11","61"," 3.3","11","1.1","0.0110","11","-16.002"," 5.2"
"control","15","11","61"," 3.5","11","1.1","0.0169","11","-16.863"," 5.0"
"control","16","11","60"," 3.2","11","1.1","0.0204","11","-17.868"," 5.0"
"control","17","11","59"," 3.5","11","1.1","0.0235","11","-18.442"," 4.9"
"control","18"," 9","58"," 4.2"," 9","1.1","0.0157"," 9","-20.088"," 5.1"
"control","19"," 6","57"," 5.1"," 6","1.1","0.0162"," 6","-22.033"," 2.2"
"control","20"," 6","57"," 4.4"," 6","1.1","0.0151"," 6","-22.123"," 2.1"
"control","21"," 6","58"," 4.1"," 6","1.1","0.0118"," 6","-21.601"," 2.3"
"control","22"," 6","58"," 3.3"," 6","1.1","0.0154"," 6","-21.372"," 2.8"
"control","23"," 5","59"," 3.4"," 5","1.1","0.0169"," 5","-20.258"," 3.2"
"control","24"," 4","59"," 3.6"," 4","1.1","0.0223"," 4","-19.159"," 2.6"
"control","25"," 4","59"," 3.3"," 4","1.1","0.0212"," 4","-19.050"," 3.3"
"control","26"," 4","60"," 3.3"," 4","1.1","0.0195"," 4","-18.312"," 3.4"
"control","27"," 4","60"," 3.5"," 4","1.1","0.0231"," 4","-17.779"," 3.5"
"control","28"," 4","61"," 2.6"," 4","1.1","0.0253"," 4","-17.641"," 3.9"
"control","29"," 4","61"," 3.5"," 4","1.1","0.0259"," 4","-17.520"," 3.5"
"control","30"," 4","61"," 3.6"," 4","1.1","0.0287"," 4","-17.289"," 2.5"
"btd"," 0"," 6","66","12.0"," 6","1.1","0.0189"," 6","  1.087"," 2.7"
"btd"," 1"," 6","68","12.8"," 6","1.1","0.0298"," 6","  2.576"," 5.6"
"btd"," 2"," 6","65","11.6"," 6","1.1","0.0146"," 6"," -0.177"," 5.5"
"btd"," 3"," 6","64"," 9.2"," 6","1.1","0.0087"," 6"," -1.784"," 4.2"
"btd"," 4"," 7","66","10.1"," 7","1.1","0.0099"," 7","  1.227","10.8"
"btd"," 5"," 8","65","11.2"," 8","1.1","0.0123"," 8"," -0.065","14.4"
"btd"," 6"," 8","64","10.7"," 8","1.1","0.0167"," 8"," -0.728","14.1"
"btd"," 7"," 7","62","10.5"," 7","1.1","0.0247"," 7"," -4.487"," 9.5"
"btd"," 8"," 7","65","12.6"," 7","1.1","0.0283"," 7"," -5.096"," 8.9"
"btd"," 9"," 8","60","15.6"," 8","1.1","0.0261"," 8"," -8.368","11.2"
"btd","10"," 9","59","14.4"," 9","1.1","0.0259"," 9","-11.552","12.3"
"btd","11"," 9","58","15.5"," 9","1.1","0.0267"," 9","-12.195","13.1"
"btd","12"," 9","56","15.6"," 9","1.1","0.0224"," 9","-14.826","15.2"
"btd","13"," 9","56","15.5"," 9","1.1","0.0237"," 9","-15.619","15.9"
"btd","14"," 8","58","13.2"," 8","1.1","0.0353"," 8","-14.823","17.3"
"btd","15"," 8","58","12.8"," 8","1.1","0.0314"," 8","-14.705","17.6"
"btd","16"," 6","57","13.5"," 6","1.1","0.0236"," 6","-18.560","17.3"
"btd","17"," 6","55","13.2"," 6","1.1","0.0254"," 6","-20.285","16.8"
"btd","18"," 5","53","14.2"," 5","1.1","0.0244"," 5","-23.729","17.4"
"btd","19"," 5","53","15.2"," 5","1.1","0.0150"," 5","-23.665","18.1"
"btd","20"," 5","53","15.8"," 5","1.1","0.0125"," 5","-23.824","18.6"
"btd","21"," 5","53","16.1"," 5","1.1","0.0122"," 5","-23.998","18.9"
"btd","22"," 5","53","16.5"," 5","1.1","0.0106"," 5","-23.428","19.6"
"btd","23"," 5","55","17.4"," 5","1.1","0.0246"," 5","-21.611","19.8"
"btd","24"," 4","53","20.7"," 4","1.1","0.0176"," 4","-23.024","24.0"
"btd","25"," 4","53","20.7"," 4","1.1","0.0188"," 4","-22.859","23.3"
"btd","26"," 4","53","21.3"," 4","1.1","0.0209"," 4","-22.542","23.7"
"btd","27"," 4","56","19.7"," 4","1.1","0.0223"," 4","-19.521","21.5"
"btd","28"," 4","57","20.2"," 4","1.1","0.0244"," 4","-18.284","21.2"
"btd","29"," 4","59","21.1"," 4","1.1","0.0289"," 4","-16.799","21.5"
"btd","30"," 3","69","18.7"," 3","1.1","0.0367"," 3"," -5.143","13.2"
