experiment,dataset,date,scope,stock,medium,hypoxia,normoxia,position,condition,timestep,frame_experiment_start,frame_experiment_end,frame_hypoxia_start,frame_hypoxia_end,frame_gastrulation,frame_cf_folding_start,frame_gb_extension_start,frame_gb_extension_end,frame_clypeolabrum_start,frame_gb_retraction_start,frame_gb_retraction_end,frame_head_involution_start,frame_head_involution_end,frame_dorsal_closure_start,frame_dorsal_closure_end,frame_gut_partition_start,frame_gut_partition_end,frame_twitching_start,frame_tracheae_start,frame_hatching,time_plucking,bad_embryo,bad_twins,cephalic_furrow,hatched,discard,observations
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos1_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,1,control,3,1,449,-3,34,26,32,,,,,147,,,,,,,,,,17,FALSE,FALSE,TRUE,FALSE,FALSE,Frame of hypoxia start was estimated.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos2_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,2,evil_twins,3,1,449,-3,34,18,28,,,,,145,,,,,,,,,361,17,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos3_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,3,control,3,1,449,-3,34,24,25,,,,,142,,,,,,,,,356,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos4_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,4,evil_twins,3,1,449,-3,34,35,41,,,,,159,,,,,,,,,403,17,FALSE,FALSE,TRUE,TRUE,FALSE,Too early. Gastrulation happened during plucking.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos5_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,5,control,3,1,449,-3,34,21,20,,,,,138,,,,,,,,,345,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos6_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,6,evil_twins,3,1,449,-3,34,19,33,,,,,144,,,,,,,,,363,17,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos7_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,7,control,3,1,449,-3,34,28,31,,,,,146,,,,,,,,,354,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos8_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,8,evil_twins,3,1,449,-3,34,31,38,,,,,151,,,,,,,,,365,17,FALSE,FALSE,TRUE,TRUE,FALSE,Hard to say if normal CF or EF.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos9_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,9,control,3,1,449,-3,34,24,24,,,,,142,,,,,,,,,363,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos10_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,10,evil_twins,3,1,449,-3,34,13,22,,,,,140,,,,,,,,,342,17,FALSE,FALSE,FALSE,TRUE,FALSE,
