"experiment","dataset","date","scope","stock","medium","hypoxia","normoxia","position","condition","timestep","frame_experiment_start","frame_experiment_end","frame_hypoxia_start","frame_hypoxia_end","frame_gastrulation","frame_cf_folding_start","frame_gb_extension_start","frame_gb_extension_end","frame_clypeolabrum_start","frame_gb_retraction_start","frame_gb_retraction_end","frame_head_involution_start","frame_head_involution_end","frame_dorsal_closure_start","frame_dorsal_closure_end","frame_gut_partition_start","frame_gut_partition_end","frame_twitching_start","frame_tracheae_start","frame_hatching","time_plucking","bad_embryo","bad_twins","cephalic_furrow","hatched","discard","observations","time_experiment_start","time_experiment_end","time_experiment_total","time_hypoxia_start","time_hypoxia_end","time_hypoxia_total","time_cf_folding_start","time_gb_extension_start","time_gb_extension_end","time_gb_extension_total","time_clypeolabrum_start","time_gb_retraction_start","time_gb_retraction_end","time_gb_retraction_total","time_head_involution_start","time_head_involution_end","time_head_involution_total","time_dorsal_closure_start","time_dorsal_closure_end","time_dorsal_closure_total","time_gut_partition_start","time_gut_partition_end","time_gut_partition_total","time_twitching_start","time_tracheae_start","time_tracheae_to_hatching_total","time_hatching","time_cf_folding_start_norm","time_gb_extension_start_norm","time_gb_extension_end_norm","time_gb_extension_total_norm","time_clypeolabrum_start_norm","time_gb_retraction_start_norm","time_gb_retraction_end_norm","time_gb_retraction_total_norm","time_head_involution_start_norm","time_head_involution_end_norm","time_head_involution_total_norm","time_dorsal_closure_start_norm","time_dorsal_closure_end_norm","time_dorsal_closure_total_norm","time_gut_partition_start_norm","time_gut_partition_end_norm","time_gut_partition_total_norm","time_twitching_start_norm","time_tracheae_start_norm","time_tracheae_to_hatching_total_norm","time_hatching_norm","time_cf_folding_start_pct","time_gb_extension_start_pct","time_gb_extension_end_pct","time_gb_extension_total_pct","time_clypeolabrum_start_pct","time_gb_retraction_start_pct","time_gb_retraction_end_pct","time_gb_retraction_total_pct","time_head_involution_start_pct","time_head_involution_end_pct","time_head_involution_total_pct","time_dorsal_closure_start_pct","time_dorsal_closure_end_pct","time_dorsal_closure_total_pct","time_gut_partition_start_pct","time_gut_partition_end_pct","time_gut_partition_total_pct","time_twitching_start_pct","time_tracheae_start_pct","time_tracheae_to_hatching_total_pct","time_hatching_pct","coord_gb_start_depth","coord_gb_start_width","coord_subject_length","coord_subject_width","coord_gb_start_angle"
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos2_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,2,"evil_twins",3,1,449,-3,34,18,28,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,361,17,FALSE,FALSE,FALSE,TRUE,FALSE,"",-0.85,21.83,22.73,-1.05,0.8,1.85,0.5,NA,NA,NA,NA,NA,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,0.47,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699999999999999,2.86861732644865,NA,NA,NA,NA,NA,38.0378657487091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos3_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,3,"control",3,1,449,-3,34,24,25,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,356,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.15,21.53,22.73,-1.35,0.5,1.85,0.05,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.88,0.02,NA,NA,NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149999999999999,0.296208530805687,NA,NA,NA,NA,NA,36.6113744075829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos4_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,4,"evil_twins",3,1,449,-3,34,35,41,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,403,17,FALSE,FALSE,TRUE,TRUE,FALSE,"Too early. Gastrulation happened during plucking.",-1.7,20.98,22.73,-1.9,-0.05,1.85,0.58,NA,NA,NA,NA,NA,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.68,0.55,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,3.10492505353319,NA,NA,NA,NA,NA,34.6895074946467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos5_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,5,"control",3,1,449,-3,34,21,20,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,345,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1,21.68,22.73,-1.2,0.65,1.85,-0.05,NA,NA,NA,NA,NA,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.48,-0.08,NA,NA,NA,NA,NA,0.00999999999999979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25,-0.303398058252427,NA,NA,NA,NA,NA,37.1966019417476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos6_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,6,"evil_twins",3,1,449,-3,34,19,33,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,363,17,FALSE,FALSE,FALSE,TRUE,FALSE,"",-0.9,21.78,22.73,-1.1,0.75,1.85,0.7,NA,NA,NA,NA,NA,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.48,0.67,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,4.0045766590389,NA,NA,NA,NA,NA,37.3569794050343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos7_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,7,"control",3,1,449,-3,34,28,31,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,354,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.35,21.33,22.73,-1.55,0.3,1.85,0.15,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58,0.12,NA,NA,NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150000000000002,0.904704463208685,NA,NA,NA,NA,NA,37.2738238841978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos8_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,8,"evil_twins",3,1,449,-3,34,31,38,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,365,17,FALSE,FALSE,TRUE,TRUE,FALSE,"Hard to say if normal CF or EF.",-1.5,21.18,22.73,-1.7,0.15,1.85,0.63,NA,NA,NA,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.98,0.6,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,3.71024734982332,NA,NA,NA,NA,NA,36.9846878680801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos9_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,9,"control",3,1,449,-3,34,24,24,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,363,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.15,21.53,22.73,-1.35,0.5,1.85,0,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.23,-0.03,NA,NA,NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,NA,35.8676726639582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos10_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,10,"evil_twins",3,1,449,-3,34,13,22,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,342,17,FALSE,FALSE,FALSE,TRUE,FALSE,"",-0.6,22.08,22.73,-0.8,1.05,1.85,0.45,NA,NA,NA,NA,NA,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.73,0.42,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.68977884040646,NA,NA,NA,NA,NA,39.6294082486551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos11_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,11,"control",3,1,449,-3,34,28,29,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,355,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.35,21.33,22.73,-1.55,0.3,1.85,0.05,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63,0.02,NA,NA,NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100000000000001,0.300661455201443,NA,NA,NA,NA,NA,37.1617558628984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
