X	Y
0.000	0.159
0.417	1.406
0.834	2.662
1.250	4.087
1.667	5.382
2.084	6.498
2.501	8.159
2.917	10.430
3.334	14.314
3.751	14.758
4.168	14.845
4.585	15.662
5.001	15.986
5.418	17.367
5.835	19.029
6.252	21.039
6.668	22.401
7.085	24.546
7.502	25.232
7.919	26.411
8.336	27.536
8.752	29.773
9.169	30.725
9.586	31.841
10.003	34.367
10.419	35.594
10.836	36.000
11.253	36.531
11.670	38.570
12.087	39.628
12.503	41.145
12.920	42.589
13.337	44.000
13.754	45.773
14.171	47.087
14.587	49.580
15.004	50.599
15.421	54.556
15.838	59.043
16.254	58.357
16.671	59.314
17.088	59.217
17.505	59.594
17.922	61.411
18.338	62.155
18.755	65.300
19.172	69.546
19.589	78.459
20.005	90.275
20.422	101.841
20.839	130.101
21.256	164.981
21.673	184.329
22.089	198.594
22.506	193.198
22.923	177.275
23.340	147.179
23.756	153.841
24.173	186.435
24.590	202.106
25.007	201.396
25.424	215.193
25.840	249.889
26.257	277.145
26.674	261.744
27.091	252.039
27.507	264.870
27.924	296.473
28.341	276.068
28.758	252.493
29.175	231.498
29.591	240.043
30.008	241.889
30.425	232.618
30.842	246.783
31.258	270.217
31.675	322.246
32.092	385.628
32.509	425.580
32.926	440.251
33.342	417.691
33.759	383.628
34.176	351.908
34.593	320.517
35.010	324.894
35.426	348.469
35.843	334.710
36.260	294.546
36.677	254.836
37.093	221.242
37.510	207.280
37.927	213.386
38.344	231.266
38.761	237.295
39.177	239.217
39.594	243.845
40.011	249.884
40.428	244.995
40.844	234.589
41.261	217.527
41.678	221.053
42.095	228.691
42.512	240.130
42.928	258.106
43.345	264.444
43.762	270.928
44.179	281.469
44.595	316.256
45.012	349.831
45.429	349.324
45.846	309.208
46.263	286.058
46.679	287.261
47.096	310.362
47.513	329.691
47.930	317.744
48.346	300.913
48.763	294.372
49.180	291.787
49.597	272.879
50.014	274.391
50.430	288.348
50.847	288.401
51.264	293.923
51.681	300.261
52.097	294.652
52.514	284.213
52.931	267.758
53.348	258.971
53.765	245.415
