X	Y
0.000	0.140
0.417	1.280
0.834	2.324
1.250	3.377
1.667	4.850
2.084	6.164
2.501	6.739
2.917	8.203
3.334	8.816
3.751	10.816
4.168	11.425
4.585	12.430
5.001	13.995
5.418	14.971
5.835	16.053
6.252	17.029
6.668	18.594
7.085	20.068
7.502	21.333
7.919	22.242
8.336	23.700
8.752	24.072
9.169	24.348
9.586	26.169
10.003	27.836
10.419	28.783
10.836	30.705
11.253	31.686
11.670	32.599
12.087	33.043
12.503	34.111
12.920	34.773
13.337	36.787
13.754	38.546
14.171	40.348
14.587	41.280
15.004	41.870
15.421	43.082
15.838	44.971
16.254	46.435
16.671	46.816
17.088	47.382
17.505	49.203
17.922	50.565
18.338	52.386
18.755	54.343
19.172	54.899
19.589	61.512
20.005	69.594
20.422	78.464
20.839	88.483
21.256	104.328
21.673	123.527
22.089	134.565
22.506	134.874
22.923	123.565
23.340	108.845
23.756	108.014
24.173	121.353
24.590	134.285
25.007	136.396
25.424	134.396
25.840	152.657
26.257	161.754
26.674	154.304
27.091	159.203
27.507	187.029
27.924	208.222
28.341	198.478
28.758	167.019
29.175	154.512
29.591	161.473
30.008	167.614
30.425	177.874
30.842	181.710
31.258	179.928
31.675	181.000
32.092	200.411
32.509	218.551
32.926	240.541
33.342	251.667
33.759	242.957
34.176	236.845
34.593	208.546
35.010	197.459
35.426	193.188
35.843	199.256
36.260	198.077
36.677	186.783
37.093	170.734
37.510	168.546
37.927	167.449
38.344	164.377
38.761	163.101
39.177	159.261
39.594	161.618
40.011	176.937
40.428	194.300
40.844	200.710
41.261	187.580
41.678	171.894
42.095	174.643
42.512	183.169
42.928	188.415
43.345	189.942
43.762	192.304
44.179	193.063
44.595	200.662
45.012	205.343
45.429	203.391
45.846	198.377
46.263	201.493
46.679	213.541
47.096	239.976
47.513	258.836
47.930	243.256
48.346	218.884
48.763	207.449
49.180	207.179
49.597	207.261
50.014	207.266
50.430	220.029
50.847	237.884
51.264	243.179
51.681	236.072
52.097	235.266
52.514	253.715
52.931	273.725
53.348	273.836
53.765	261.077
54.181	250.889
54.598	245.821
55.015	239.126
55.432	232.990
55.849	224.831
56.265	222.256
56.682	225.464
57.099	229.522
57.516	235.024
57.932	229.560
58.349	225.942
58.766	222.386
59.183	217.932
59.600	209.831
60.016	210.894
60.433	219.899
60.850	219.155
61.267	219.435
61.683	238.585
62.100	254.150
62.517	256.072
62.934	254.522
63.351	260.319
63.767	263.478
64.184	247.841
64.601	232.580
65.018	241.063
65.434	277.821
65.851	325.614
66.268	359.672
66.685	338.749
67.102	291.333
67.518	257.638
67.935	242.662
68.352	240.444
68.769	243.831
69.185	260.575
69.602	284.440
70.019	290.604
70.436	275.116
70.853	258.319
71.269	242.150
71.686	239.855
72.103	243.449
72.520	252.899
72.936	257.372
73.353	267.092
73.770	261.082
74.187	255.304
74.604	245.203
75.020	233.783
75.437	232.845
75.854	241.942
76.271	245.787
76.688	256.527
77.104	263.155
77.521	261.981
77.938	246.749
78.355	227.527
78.771	211.812
79.188	226.565
79.605	243.826
80.022	247.947
80.439	245.295
80.855	238.995
81.272	238.565
81.689	221.512
82.106	216.671
82.522	218.749
82.939	224.874
83.356	240.512
83.773	259.415
84.190	269.396
84.606	263.623
85.023	243.749
85.440	227.913
85.857	244.000
86.273	259.406
86.690	265.469
87.107	267.749
87.524	270.802
87.941	264.797
88.357	257.420
88.774	244.947
89.191	222.546
89.608	216.845
90.024	227.000
90.441	245.271
90.858	269.396
91.275	275.502
91.692	277.367
92.108	288.502
92.525	296.585
92.942	293.604
93.359	282.990
93.775	271.884
94.192	261.585
94.609	253.488
95.026	261.237
95.443	305.488
95.859	333.507
96.276	330.638
96.693	298.430
97.110	268.638
97.526	242.734
97.943	237.739
98.360	246.309
98.777	272.300
99.194	297.101
99.610	293.575
100.027	269.121
100.444	253.527
100.861	248.874
101.278	244.720
101.694	252.628
102.111	254.758
102.528	241.966
102.945	233.459
103.361	222.101
103.778	224.415
104.195	236.512
104.612	246.700
105.029	241.502
105.445	256.700
105.862	260.986
106.279	266.348
106.696	266.338
107.112	257.227
107.529	251.879
107.946	261.222
108.363	271.768
108.780	269.720
109.196	253.357
109.613	241.816
110.030	228.821
110.447	230.604
110.863	231.816
111.280	235.961
111.697	245.551
112.114	266.469
112.531	264.435
112.947	254.594
113.364	239.440
113.781	237.304
114.198	245.614
114.614	260.570
115.031	298.179
115.448	325.744
115.865	319.473
116.282	297.860
116.698	288.981
117.115	280.391
117.532	270.266
117.949	275.242
118.365	266.667
118.782	256.406
119.199	261.280
119.616	270.077
120.033	265.469
120.449	264.551
120.866	283.058
121.283	313.536
121.700	323.768
122.117	309.420
122.533	279.816
122.950	260.304
123.367	249.502
123.784	264.657
124.200	297.976
124.617	343.899
125.034	372.333
125.451	373.266
125.868	311.667
126.284	289.319
126.701	295.106
127.118	307.000
127.535	299.502
127.951	305.889
128.368	319.729
128.785	319.725
129.202	303.126
129.619	277.957
130.035	274.106
130.452	287.957
130.869	305.894
131.286	333.357
131.702	345.464
132.119	373.203
132.536	373.411
132.953	362.860
133.370	342.643
133.786	316.357
134.203	311.628
134.620	318.019
135.037	348.126
135.453	375.126
135.870	370.773
136.287	339.657
136.704	290.217
137.121	281.203
137.537	302.672
137.954	348.560
138.371	369.217
138.788	351.947
139.204	339.763
139.621	329.309
140.038	336.787
140.455	335.478
140.872	340.889
141.288	323.899
141.705	302.778
142.122	289.319
142.539	297.681
142.956	332.198
143.372	361.415
143.789	335.459
144.206	314.758
144.623	316.536
145.039	288.705
145.456	274.966
145.873	286.039
146.290	313.604
146.707	333.126
147.123	324.222
147.540	330.386
147.957	352.676
148.374	364.043
148.790	370.435
149.207	363.314
149.624	316.667
150.041	290.676
150.458	290.773
150.874	300.382
151.291	302.681
151.708	331.106
152.125	347.005
152.541	357.589
152.958	344.841
153.375	320.464
153.792	323.986
154.209	339.749
154.625	346.947
155.042	359.386
155.459	380.184
155.876	387.710
156.292	389.203
156.709	394.082
157.126	394.449
157.543	401.227
157.960	420.589
158.376	428.522
158.793	432.126
159.210	410.449
159.627	380.961
160.043	364.783
160.460	369.517
160.877	381.063
161.294	402.758
161.711	433.111
162.127	462.705
162.544	450.034
162.961	409.000
163.378	396.870
163.794	404.024
164.211	390.570
164.628	391.343
165.045	405.986
165.462	444.106
165.878	464.440
166.295	468.826
166.712	489.126
167.129	496.585
167.546	481.937
167.962	461.565
168.379	477.411
168.796	494.043
169.213	529.483
169.629	572.087
170.046	590.237
170.463	584.908
170.880	599.633
171.297	651.787
171.713	665.763
172.130	653.237
172.547	631.647
172.964	624.604
173.380	638.319
173.797	645.643
174.214	665.908
174.631	705.894
175.048	702.652
175.464	700.324
175.881	696.222
176.298	723.643
176.715	768.386
177.131	811.957
177.548	841.493
177.965	853.348
178.382	839.111
178.799	835.710
179.215	855.628
179.632	876.435
180.049	901.353
180.466	929.570
180.882	909.464
181.299	892.266
181.716	861.981
182.133	882.560
182.550	930.483
182.966	1002.150
183.383	1040.899
183.800	1026.502
184.217	993.034
184.633	1014.444
185.050	1040.372
185.467	1077.628
185.884	1114.918
186.301	1134.198
186.717	1161.995
187.134	1164.000
187.551	1189.488
187.968	1265.720
188.385	1302.430
188.801	1340.063
189.218	1396.932
189.635	1451.705
190.052	1440.879
190.468	1430.797
190.885	1441.536
191.302	1500.565
191.719	1549.043
192.136	1529.715
192.552	1556.662
192.969	1615.348
193.386	1674.024
193.803	1730.101
194.219	1755.097
194.636	1758.367
195.053	1732.527
195.470	1728.010
195.887	1737.111
196.303	1787.391
196.720	1801.768
197.137	1840.594
197.554	1845.937
197.970	1880.338
198.387	1949.213
198.804	2038.894
199.221	2057.024
199.638	2107.087
200.054	2111.556
200.471	2105.256
200.888	2151.150
201.305	2211.029
201.721	2157.686
202.138	2122.435
202.555	2162.700
202.972	2169.058
203.389	2196.068
203.805	2217.787
204.222	2300.319
204.639	2382.623
205.056	2389.584
205.472	2384.367
205.889	2418.536
206.306	2463.073
206.723	2449.473
207.140	2453.807
207.556	2460.039
207.973	2518.850
208.390	2601.942
208.807	2657.875
209.224	2679.005
209.640	2656.855
210.057	2689.314
210.474	2745.749
210.891	2759.787
211.307	2788.744
211.724	2792.787
212.141	2823.164
212.558	2781.019
212.975	2729.870
213.391	2687.357
213.808	2634.995
214.225	2610.043
214.642	2621.396
215.058	2681.797
215.475	2725.043
215.892	2773.580
216.309	2783.618
216.726	2840.618
217.142	2921.043
217.559	2925.860
217.976	2936.367
218.393	2888.150
218.809	2863.000
219.226	2881.386
219.643	2921.990
220.060	2971.130
220.477	3018.010
220.893	3032.778
221.310	2985.584
221.727	2938.125
222.144	3018.329
222.560	3093.671
222.977	3118.754
223.394	3145.952
223.811	3140.150
224.228	3109.121
224.644	3073.208
225.061	2976.522
225.478	2972.058
225.895	2945.705
226.311	2988.382
226.728	3051.618
227.145	3148.845
227.562	3205.763
227.979	3256.111
228.395	3305.159
228.812	3359.449
229.229	3386.560
229.646	3402.589
230.062	3433.976
230.479	3448.444
230.896	3457.889
231.313	3366.261
231.730	3216.251
232.146	3157.261
232.563	3203.527
232.980	3246.609
233.397	3258.135
233.814	3274.879
234.230	3361.290
234.647	3443.681
235.064	3443.121
235.481	3350.058
235.897	3318.759
236.314	3273.261
236.731	3187.498
237.148	3190.014
237.565	3183.068
237.981	3157.812
238.398	3217.556
238.815	3211.898
239.232	3128.135
239.648	3173.353
240.065	3279.498
240.482	3293.986
240.899	3183.290
241.316	3031.087
241.732	2946.169
242.149	2946.256
242.566	3000.643
242.983	2972.710
243.399	2995.773
243.816	3089.256
244.233	3111.159
244.650	3029.478
245.067	2937.628
245.483	2922.522
245.900	2990.638
246.317	3007.860
246.734	2982.271
247.150	2814.121
247.567	2767.966
247.984	2658.792
248.401	2673.295
248.818	2731.710
249.234	2837.932
249.651	2897.232
250.068	2985.787
250.485	3069.043
250.901	3137.589
251.318	3128.768
251.735	3021.865
252.152	2948.976
252.569	2894.324
252.985	2843.541
253.402	2767.357
253.819	2786.145
254.236	2763.715
254.653	2758.102
255.069	2734.024
255.486	2772.638
255.903	2744.241
256.320	2694.401
256.736	2639.594
257.153	2580.159
257.570	2514.217
257.987	2512.483
258.404	2543.898
258.820	2501.676
259.237	2513.739
259.654	2575.246
260.071	2562.618
260.487	2529.609
260.904	2465.309
261.321	2484.261
261.738	2516.043
262.155	2516.754
262.571	2452.391
262.988	2376.614
263.405	2324.169
263.822	2275.150
264.238	2294.169
264.655	2363.836
265.072	2513.377
265.489	2546.773
265.906	2483.039
266.322	2406.923
266.739	2330.449
267.156	2264.971
267.573	2268.609
267.989	2307.464
268.406	2306.870
268.823	2257.275
269.240	2174.048
269.657	2143.696
270.073	2158.454
270.490	2153.155
270.907	2177.686
271.324	2194.937
271.740	2157.300
272.157	2153.976
272.574	2200.729
272.991	2197.174
273.408	2183.855
273.824	2137.628
274.241	2070.435
274.658	1991.174
275.075	1967.720
275.492	1957.261
275.908	1961.275
276.325	1965.531
276.742	2009.662
277.159	1997.073
277.575	1974.870
277.992	1993.048
278.409	2061.179
278.826	2152.918
279.243	2235.338
279.659	2199.860
280.076	2146.256
280.493	2084.662
280.910	2018.280
281.326	2008.855
281.743	2075.106
282.160	2081.416
282.577	2071.285
282.994	2035.077
283.410	1963.985
283.827	1943.754
284.244	1955.995
284.661	1995.111
285.077	1934.860
285.494	1900.792
285.911	1927.927
286.328	1896.024
286.745	1840.068
287.161	1853.348
287.578	1868.343
287.995	1863.010
288.412	1829.797
288.828	1822.063
289.245	1842.401
289.662	1882.275
290.079	1883.314
290.496	1846.039
290.912	1803.444
291.329	1793.560
291.746	1738.304
292.163	1687.251
292.579	1646.816
