X	Y
0.000	0.159
0.417	1.309
0.834	3.473
1.250	3.884
1.667	5.681
2.084	7.710
2.501	7.879
2.917	9.097
3.334	9.541
3.751	12.217
4.168	12.256
4.585	13.459
5.001	15.725
5.418	16.483
5.835	18.787
6.252	19.063
6.668	20.329
7.085	22.179
7.502	23.145
7.919	23.275
8.336	26.623
8.752	26.159
9.169	26.324
9.586	28.831
10.003	30.947
10.419	29.652
10.836	31.570
11.253	34.454
11.670	37.932
12.087	37.855
12.503	39.203
12.920	38.116
13.337	40.638
13.754	41.841
14.171	42.768
14.587	45.768
15.004	48.580
15.421	47.729
15.838	48.372
16.254	51.899
16.671	55.850
17.088	54.522
17.505	55.507
17.922	57.522
18.338	58.749
18.755	60.010
19.172	61.662
19.589	62.783
20.005	65.599
20.422	63.242
20.839	65.372
21.256	68.623
21.673	68.000
22.089	72.217
22.506	73.266
22.923	75.077
23.340	75.150
23.756	79.140
24.173	80.623
24.590	81.469
25.007	89.517
25.424	93.976
25.840	99.333
26.257	101.415
26.674	110.430
27.091	114.464
27.507	125.010
27.924	133.063
28.341	138.696
28.758	142.696
29.175	151.768
29.591	145.357
30.008	154.647
30.425	163.314
30.842	164.990
31.258	173.024
31.675	185.691
32.092	195.686
32.509	201.787
32.926	208.850
33.342	205.256
33.759	210.444
34.176	209.029
34.593	213.652
35.010	215.812
35.426	219.657
35.843	220.691
36.260	222.551
36.677	230.647
37.093	246.729
37.510	260.372
37.927	270.850
38.344	272.063
38.761	271.222
39.177	270.517
39.594	279.623
40.011	284.725
40.428	287.807
40.844	282.271
41.261	289.203
41.678	302.213
42.095	313.734
42.512	320.932
42.928	315.729
43.345	311.976
43.762	324.952
44.179	327.382
44.595	330.686
45.012	333.720
45.429	346.614
45.846	337.328
46.263	337.589
46.679	340.493
47.096	357.164
47.513	362.396
47.930	357.908
48.346	364.087
48.763	377.319
49.180	380.536
49.597	399.203
50.014	389.821
50.430	398.145
50.847	407.512
51.264	407.937
51.681	403.043
52.097	422.812
52.514	432.546
52.931	440.478
53.348	434.812
53.765	422.961
54.181	422.845
54.598	419.377
55.015	437.072
55.432	449.300
55.849	443.304
56.265	437.768
56.682	430.585
57.099	432.932
57.516	461.551
57.932	491.449
58.349	497.971
58.766	496.464
59.183	495.725
59.600	485.512
60.016	479.401
60.433	470.106
60.850	466.826
61.267	481.005
61.683	491.285
62.100	492.164
62.517	515.681
62.934	507.575
63.351	513.430
63.767	537.966
64.184	555.271
64.601	555.623
65.018	555.101
65.434	546.865
65.851	561.343
66.268	570.406
66.685	576.691
67.102	585.145
67.518	593.493
67.935	586.362
68.352	592.377
68.769	589.401
69.185	608.005
69.602	610.783
70.019	609.986
70.436	601.285
70.853	618.908
71.269	659.517
71.686	681.391
72.103	685.952
72.520	689.763
72.936	714.792
73.353	725.845
