pos	btd	eve	slp
0.000	518.390	1717.140	2610.200
0.447	572.180	1724.340	2613.270
0.893	552.560	1738.740	2831.180
1.340	543.870	1726.490	2935.330
1.786	561.580	1712.330	2914.960
2.233	628.970	1700.870	2733.090
2.679	709.180	1692.930	2740.690
3.126	780.280	1693.940	2816.910
3.572	723.420	1701.840	2808.640
4.019	625.120	1700.430	2754.300
4.465	592.970	1711.620	2717.020
4.912	629.270	1731.330	2879.680
5.359	670.980	1736.570	3104.660
5.805	730.560	1744.640	3268.130
6.252	832.600	1734.590	3323.000
6.698	891.680	1743.440	3407.070
7.145	882.460	1729.670	3315.570
7.591	852.150	1707.570	3240.330
8.038	867.090	1703.940	3170.800
8.484	904.970	1697.480	3254.400
8.931	885.520	1704.730	3215.710
9.378	895.500	1703.590	3142.840
9.824	939.780	1700.260	3109.230
10.271	1095.170	1698.160	3154.500
10.717	1148.660	1694.380	3291.580
11.164	1160.210	1696.810	3431.620
11.610	1210.600	1713.520	3439.580
12.057	1279.410	1731.780	3454.510
12.503	1491.480	1723.830	3453.580
12.950	1556.270	1726.210	3464.140
13.396	1643.310	1717.950	3490.880
13.843	1846.670	1709.540	3543.760
14.290	1992.940	1713.360	3480.540
14.736	2065.900	1717.700	3294.980
15.183	2108.640	1741.800	3228.540
15.629	2247.690	1728.460	3196.870
16.076	2474.040	1720.250	3123.580
16.522	2425.180	1710.800	3021.330
16.969	2318.310	1713.040	3128.400
17.415	2558.010	1737.830	3133.620
17.862	2853.050	1739.030	3165.770
18.309	2952.400	1713.090	3342.240
18.755	3022.170	1706.510	3372.290
19.202	3259.980	1706.580	3275.640
19.648	3462.120	1714.650	3239.360
20.095	3552.090	1722.260	3315.620
20.541	3770.300	1720.710	3325.810
20.988	3893.810	1724.950	3153.530
21.434	4036.540	1744.690	2988.180
21.881	4198.610	1749.450	3002.630
22.327	4377.130	1756.110	2964.270
22.774	4891.580	1771.370	3014.360
23.221	5214.900	1748.410	2922.010
23.667	5343.500	1749.840	2856.340
24.114	5520.830	1747.000	2854.770
24.560	5566.730	1731.650	2924.690
25.007	5624.940	1729.880	2967.090
25.453	5925.450	1733.570	2989.510
25.900	6416.300	1757.010	3081.010
26.346	6858.690	1768.350	3108.380
26.793	7211.680	1774.020	3208.760
27.240	7351.930	1762.640	3212.940
27.686	7542.980	1774.900	2928.730
28.133	7585.020	1786.300	2848.810
28.579	7233.670	1802.690	2859.680
29.026	7424.160	1799.350	2730.020
29.472	7895.330	1806.300	2706.920
29.919	8168.190	1819.180	2747.990
30.365	8165.980	1846.450	2698.910
30.812	8573.840	1894.500	2687.900
31.258	9162.990	1928.260	2772.400
31.705	9361.590	1931.120	2883.570
32.152	9373.790	1928.410	2839.720
32.598	9589.650	1945.980	2885.430
33.045	9771.370	1991.190	2932.380
33.491	9698.120	2041.440	3072.490
33.938	10153.310	2056.540	3126.370
34.384	9972.430	2069.560	3022.610
34.831	9697.300	2106.940	3023.270
35.277	9432.670	2188.220	2815.870
35.724	9225.420	2329.810	2653.220
36.171	9158.920	2542.720	2634.030
36.617	9807.470	2718.600	2670.750
37.064	10618.880	2825.410	2723.280
37.510	10941.280	2917.970	2785.160
37.957	10523.250	2984.680	2799.360
38.403	9982.340	3184.850	2779.190
38.850	10311.080	3337.830	2730.830
39.296	10680.350	3529.060	2672.870
39.743	10969.040	3783.030	2636.330
40.189	11060.670	3840.940	2640.780
40.636	11314.960	4001.540	2626.550
41.083	11639.850	4116.490	2567.370
41.529	11909.860	4315.890	2555.650
41.976	11838.170	4489.350	2738.880
42.422	11858.180	4758.450	2719.910
42.869	11815.500	5096.610	2652.070
43.315	11829.370	5468.470	2673.830
43.762	11461.140	5763.330	2686.580
44.208	10871.830	6050.760	2606.510
44.655	10957.630	6192.590	2438.060
45.102	11271.740	6260.150	2300.230
45.548	11246.890	6434.420	2342.340
45.995	10930.740	6737.970	2343.740
46.441	10736.320	7120.040	2291.260
46.888	10788.860	7292.560	2235.560
47.334	10422.640	7455.740	2211.800
47.781	10178.910	7191.070	2227.790
48.227	9908.030	7085.230	2210.770
48.674	9925.140	7133.880	2109.410
49.120	10128.060	7430.870	2064.150
49.567	10117.340	7822.330	2038.280
50.014	9668.270	8368.950	1962.590
50.460	9148.830	8593.820	1976.570
50.907	8738.740	8821.310	1989.820
51.353	8554.790	9055.750	1892.290
51.800	8704.710	9409.980	1810.880
52.246	8734.210	9605.660	1762.510
52.693	8504.730	9831.670	1765.260
53.139	8165.700	9958.900	1743.010
53.586	7984.820	10238.960	1792.620
54.033	7659.020	10115.590	1779.300
54.479	7335.530	9990.890	1650.670
54.926	6911.790	9939.950	1586.650
55.372	6505.800	10068.570	1536.340
55.819	6379.500	10207.380	1575.110
56.265	6417.930	10237.580	1518.640
56.712	5900.810	9918.960	1438.790
57.158	5711.380	9777.230	1353.530
57.605	5636.540	9900.180	1308.110
58.051	5464.320	9964.770	1220.790
58.498	5366.820	9857.380	1160.410
58.945	5323.660	9722.650	1117.880
59.391	5203.680	9549.960	1107.410
59.838	4949.670	9611.120	1054.610
60.284	4446.180	9794.100	1062.970
60.731	3908.800	9910.290	1058.670
61.177	3607.410	9826.590	1038.510
61.624	3449.530	9570.950	1002.270
62.070	3356.840	9400.130	991.030
62.517	3330.990	9101.250	1006.640
62.964	3303.120	8918.890	945.210
63.410	3129.160	8998.480	877.020
63.857	3018.100	8833.380	841.970
64.303	3069.450	8869.480	851.210
64.750	2992.280	8692.630	868.260
65.196	2690.770	8570.910	851.710
65.643	2590.880	8367.090	811.040
66.089	2273.380	8257.720	775.150
66.536	2049.990	7997.690	763.110
66.982	2138.810	7865.770	808.670
