X	Y
0.000	518.390
0.447	572.180
0.893	552.560
1.340	543.870
1.786	561.580
2.233	628.970
2.679	709.180
3.126	780.280
3.572	723.420
4.019	625.120
4.465	592.970
4.912	629.270
5.359	670.980
5.805	730.560
6.252	832.600
6.698	891.680
7.145	882.460
7.591	852.150
8.038	867.090
8.484	904.970
8.931	885.520
9.378	895.500
9.824	939.780
10.271	1095.170
10.717	1148.660
11.164	1160.210
11.610	1210.600
12.057	1279.410
12.503	1491.480
12.950	1556.270
13.396	1643.310
13.843	1846.670
14.290	1992.940
14.736	2065.900
15.183	2108.640
15.629	2247.690
16.076	2474.040
16.522	2425.180
16.969	2318.310
17.415	2558.010
17.862	2853.050
18.309	2952.400
18.755	3022.170
19.202	3259.980
19.648	3462.120
20.095	3552.090
20.541	3770.300
20.988	3893.810
21.434	4036.540
21.881	4198.610
22.327	4377.130
22.774	4891.580
23.221	5214.900
23.667	5343.500
24.114	5520.830
24.560	5566.730
25.007	5624.940
25.453	5925.450
25.900	6416.300
26.346	6858.690
26.793	7211.680
27.240	7351.930
27.686	7542.980
28.133	7585.020
28.579	7233.670
29.026	7424.160
29.472	7895.330
29.919	8168.190
30.365	8165.980
30.812	8573.840
31.258	9162.990
31.705	9361.590
32.152	9373.790
32.598	9589.650
33.045	9771.370
33.491	9698.120
33.938	10153.310
34.384	9972.430
34.831	9697.300
35.277	9432.670
35.724	9225.420
36.171	9158.920
36.617	9807.470
37.064	10618.880
37.510	10941.280
37.957	10523.250
38.403	9982.340
38.850	10311.080
39.296	10680.350
39.743	10969.040
40.189	11060.670
40.636	11314.960
41.083	11639.850
41.529	11909.860
41.976	11838.170
42.422	11858.180
42.869	11815.500
43.315	11829.370
43.762	11461.140
44.208	10871.830
44.655	10957.630
45.102	11271.740
45.548	11246.890
45.995	10930.740
46.441	10736.320
46.888	10788.860
47.334	10422.640
47.781	10178.910
48.227	9908.030
48.674	9925.140
49.120	10128.060
49.567	10117.340
50.014	9668.270
50.460	9148.830
50.907	8738.740
51.353	8554.790
51.800	8704.710
52.246	8734.210
52.693	8504.730
53.139	8165.700
53.586	7984.820
54.033	7659.020
54.479	7335.530
54.926	6911.790
55.372	6505.800
55.819	6379.500
56.265	6417.930
56.712	5900.810
57.158	5711.380
57.605	5636.540
58.051	5464.320
58.498	5366.820
58.945	5323.660
59.391	5203.680
59.838	4949.670
60.284	4446.180
60.731	3908.800
61.177	3607.410
61.624	3449.530
62.070	3356.840
62.517	3330.990
62.964	3303.120
63.410	3129.160
63.857	3018.100
64.303	3069.450
64.750	2992.280
65.196	2690.770
65.643	2590.880
66.089	2273.380
66.536	2049.990
66.982	2138.810
67.429	2095.570
67.876	2064.160
68.322	1953.030
68.769	1912.400
69.215	1754.630
69.662	1655.350
70.108	1536.080
70.555	1497.730
71.001	1455.290
71.448	1391.310
71.895	1294.470
72.341	1165.210
72.788	1162.790
73.234	1233.680
73.681	1189.220
74.127	1012.450
74.574	912.190
75.020	802.570
75.467	834.070
75.913	940.910
76.360	893.260
76.807	800.360
77.253	709.030
77.700	635.650
78.146	590.010
78.593	582.010
79.039	629.780
79.486	625.350
79.932	620.360
80.379	600.450
80.826	591.500
81.272	560.450
81.719	549.630
82.165	529.840
82.612	528.280
83.058	552.510
83.505	593.620
83.951	648.920
84.398	663.200
84.844	652.030
85.291	619.080
85.738	547.240
86.184	524.070
86.631	525.660
87.077	529.600
87.524	531.490
87.970	580.250
88.417	636.490
88.863	648.180
89.310	549.990
89.757	492.500
90.203	477.850
90.650	497.060
91.096	509.310
91.543	503.430
91.989	493.300
92.436	493.420
92.882	512.120
93.329	538.490
93.775	515.390
94.222	492.390
94.669	485.050
95.115	480.740
95.562	486.900
96.008	491.920
96.455	496.490
96.901	487.600
97.348	478.280
97.794	474.520
98.241	468.150
98.688	470.540
99.134	478.690
99.581	473.810
100.027	477.160
100.474	484.020
100.920	473.860
101.367	473.830
101.813	466.930
102.260	466.680
102.706	473.580
103.153	483.440
103.600	480.960
104.046	483.870
104.493	496.320
104.939	501.650
105.386	511.720
105.832	514.950
106.279	518.750
106.725	517.620
107.172	524.660
107.619	508.950
108.065	501.670
108.512	496.530
108.958	482.890
109.405	482.220
109.851	486.360
110.298	477.590
110.744	475.560
111.191	484.840
111.637	486.710
112.084	491.040
112.531	504.400
112.977	496.890
113.424	498.970
113.870	514.430
114.317	519.090
114.763	505.790
115.210	493.060
115.656	490.200
116.103	488.240
116.550	495.280
116.996	552.380
117.443	577.040
117.889	531.760
118.336	513.880
118.782	494.380
119.229	474.360
119.675	473.140
120.122	500.400
120.568	543.810
121.015	518.310
121.462	492.400
121.908	485.570
122.355	497.960
122.801	518.960
123.248	503.560
123.694	486.480
124.141	488.360
124.587	492.050
125.034	480.350
125.481	478.490
125.927	515.180
126.374	547.000
126.820	541.580
127.267	540.320
127.713	550.760
128.160	555.180
128.606	545.280
129.053	540.880
129.499	539.860
129.946	519.910
130.393	501.890
130.839	491.540
131.286	513.690
131.732	521.420
132.179	497.690
132.625	478.020
133.072	481.960
133.518	481.410
133.965	460.780
134.412	439.960
134.858	438.240
135.305	469.420
135.751	504.810
136.198	542.880
136.644	493.190
137.091	452.750
137.537	441.080
137.984	440.440
138.430	450.680
138.877	440.780
139.324	431.270
139.770	453.920
140.217	441.290
140.663	453.030
141.110	457.920
141.556	468.850
142.003	467.890
142.449	443.550
