X	Y
0.000	1717.140
0.447	1724.340
0.893	1738.740
1.340	1726.490
1.786	1712.330
2.233	1700.870
2.679	1692.930
3.126	1693.940
3.572	1701.840
4.019	1700.430
4.465	1711.620
4.912	1731.330
5.359	1736.570
5.805	1744.640
6.252	1734.590
6.698	1743.440
7.145	1729.670
7.591	1707.570
8.038	1703.940
8.484	1697.480
8.931	1704.730
9.378	1703.590
9.824	1700.260
10.271	1698.160
10.717	1694.380
11.164	1696.810
11.610	1713.520
12.057	1731.780
12.503	1723.830
12.950	1726.210
13.396	1717.950
13.843	1709.540
14.290	1713.360
14.736	1717.700
15.183	1741.800
15.629	1728.460
16.076	1720.250
16.522	1710.800
16.969	1713.040
17.415	1737.830
17.862	1739.030
18.309	1713.090
18.755	1706.510
19.202	1706.580
19.648	1714.650
20.095	1722.260
20.541	1720.710
20.988	1724.950
21.434	1744.690
21.881	1749.450
22.327	1756.110
22.774	1771.370
23.221	1748.410
23.667	1749.840
24.114	1747.000
24.560	1731.650
25.007	1729.880
25.453	1733.570
25.900	1757.010
26.346	1768.350
26.793	1774.020
27.240	1762.640
27.686	1774.900
28.133	1786.300
28.579	1802.690
29.026	1799.350
29.472	1806.300
29.919	1819.180
30.365	1846.450
30.812	1894.500
31.258	1928.260
31.705	1931.120
32.152	1928.410
32.598	1945.980
33.045	1991.190
33.491	2041.440
33.938	2056.540
34.384	2069.560
34.831	2106.940
35.277	2188.220
35.724	2329.810
36.171	2542.720
36.617	2718.600
37.064	2825.410
37.510	2917.970
37.957	2984.680
38.403	3184.850
38.850	3337.830
39.296	3529.060
39.743	3783.030
40.189	3840.940
40.636	4001.540
41.083	4116.490
41.529	4315.890
41.976	4489.350
42.422	4758.450
42.869	5096.610
43.315	5468.470
43.762	5763.330
44.208	6050.760
44.655	6192.590
45.102	6260.150
45.548	6434.420
45.995	6737.970
46.441	7120.040
46.888	7292.560
47.334	7455.740
47.781	7191.070
48.227	7085.230
48.674	7133.880
49.120	7430.870
49.567	7822.330
50.014	8368.950
50.460	8593.820
50.907	8821.310
51.353	9055.750
51.800	9409.980
52.246	9605.660
52.693	9831.670
53.139	9958.900
53.586	10238.960
54.033	10115.590
54.479	9990.890
54.926	9939.950
55.372	10068.570
55.819	10207.380
56.265	10237.580
56.712	9918.960
57.158	9777.230
57.605	9900.180
58.051	9964.770
58.498	9857.380
58.945	9722.650
59.391	9549.960
59.838	9611.120
60.284	9794.100
60.731	9910.290
61.177	9826.590
61.624	9570.950
62.070	9400.130
62.517	9101.250
62.964	8918.890
63.410	8998.480
63.857	8833.380
64.303	8869.480
64.750	8692.630
65.196	8570.910
65.643	8367.090
66.089	8257.720
66.536	7997.690
66.982	7865.770
67.429	7780.950
67.876	7414.130
68.322	7113.610
68.769	6981.850
69.215	6895.130
69.662	6790.120
70.108	6768.280
70.555	6509.700
71.001	6365.820
71.448	6060.780
71.895	5783.000
72.341	5588.610
72.788	5263.830
73.234	5136.650
73.681	4802.240
74.127	4559.240
74.574	4343.200
75.020	4129.530
75.467	4035.740
75.913	3992.430
76.360	3893.980
76.807	3867.470
77.253	3746.500
77.700	3630.950
78.146	3423.780
78.593	3314.070
79.039	3334.570
79.486	3277.510
79.932	3130.860
80.379	3039.410
80.826	3092.260
81.272	3073.660
81.719	3067.040
82.165	2956.190
82.612	2883.330
83.058	2860.570
83.505	2834.110
83.951	2841.600
84.398	2856.930
84.844	2830.750
85.291	2809.990
85.738	2747.930
86.184	2670.770
86.631	2653.710
87.077	2672.620
87.524	2618.980
87.970	2550.420
88.417	2534.910
88.863	2646.500
89.310	2736.350
89.757	2709.180
90.203	2740.160
90.650	2740.580
91.096	2858.860
91.543	2928.240
91.989	3104.540
92.436	3212.280
92.882	3300.530
93.329	3354.840
93.775	3448.760
94.222	3515.860
94.669	3598.990
95.115	3498.720
95.562	3415.370
96.008	3411.130
96.455	3407.090
96.901	3480.150
97.348	3525.560
97.794	3671.880
98.241	3932.910
98.688	4006.660
99.134	4146.020
99.581	4392.790
100.027	4620.570
100.474	4802.360
100.920	4924.580
101.367	5091.190
101.813	5243.780
102.260	5190.410
102.706	5309.490
103.153	5614.580
103.600	5862.610
104.046	6038.160
104.493	6264.620
104.939	6316.480
105.386	6333.560
105.832	6626.030
106.279	6917.690
106.725	7299.520
107.172	7423.610
107.619	7411.660
108.065	7242.610
108.512	7302.350
108.958	7129.380
109.405	6691.310
109.851	6567.260
110.298	6686.350
110.744	6904.720
111.191	6969.850
111.637	7048.750
112.084	7303.630
112.531	7481.270
112.977	7453.750
113.424	7258.320
113.870	7114.030
114.317	7015.560
114.763	7029.500
115.210	6906.860
115.656	6731.810
116.103	6611.280
116.550	6530.590
116.996	6516.870
117.443	6428.540
117.889	6343.210
118.336	6423.400
118.782	6498.420
119.229	6513.020
119.675	6357.470
120.122	6157.670
120.568	5834.870
121.015	5633.630
121.462	5563.920
121.908	5358.320
122.355	5268.450
122.801	5115.020
123.248	4964.690
123.694	4652.470
124.141	4399.160
124.587	4269.870
125.034	4210.430
125.481	4306.480
125.927	4130.130
126.374	3869.060
126.820	3710.330
127.267	3662.040
127.713	3400.620
128.160	3154.780
128.606	3055.360
129.053	3067.110
129.499	3026.620
129.946	2958.100
130.393	2952.370
130.839	2877.610
131.286	2684.760
131.732	2581.060
132.179	2578.560
132.625	2539.460
133.072	2442.880
133.518	2385.570
133.965	2357.610
134.412	2343.490
134.858	2361.410
135.305	2363.690
135.751	2308.300
136.198	2295.860
136.644	2289.330
137.091	2376.190
137.537	2396.910
137.984	2338.100
138.430	2266.600
138.877	2235.790
139.324	2297.810
139.770	2373.450
140.217	2445.630
140.663	2477.510
141.110	2432.100
141.556	2368.510
142.003	2435.550
142.449	2523.810
