X	Y
0.000	2610.200
0.447	2613.270
0.893	2831.180
1.340	2935.330
1.786	2914.960
2.233	2733.090
2.679	2740.690
3.126	2816.910
3.572	2808.640
4.019	2754.300
4.465	2717.020
4.912	2879.680
5.359	3104.660
5.805	3268.130
6.252	3323.000
6.698	3407.070
7.145	3315.570
7.591	3240.330
8.038	3170.800
8.484	3254.400
8.931	3215.710
9.378	3142.840
9.824	3109.230
10.271	3154.500
10.717	3291.580
11.164	3431.620
11.610	3439.580
12.057	3454.510
12.503	3453.580
12.950	3464.140
13.396	3490.880
13.843	3543.760
14.290	3480.540
14.736	3294.980
15.183	3228.540
15.629	3196.870
16.076	3123.580
16.522	3021.330
16.969	3128.400
17.415	3133.620
17.862	3165.770
18.309	3342.240
18.755	3372.290
19.202	3275.640
19.648	3239.360
20.095	3315.620
20.541	3325.810
20.988	3153.530
21.434	2988.180
21.881	3002.630
22.327	2964.270
22.774	3014.360
23.221	2922.010
23.667	2856.340
24.114	2854.770
24.560	2924.690
25.007	2967.090
25.453	2989.510
25.900	3081.010
26.346	3108.380
26.793	3208.760
27.240	3212.940
27.686	2928.730
28.133	2848.810
28.579	2859.680
29.026	2730.020
29.472	2706.920
29.919	2747.990
30.365	2698.910
30.812	2687.900
31.258	2772.400
31.705	2883.570
32.152	2839.720
32.598	2885.430
33.045	2932.380
33.491	3072.490
33.938	3126.370
34.384	3022.610
34.831	3023.270
35.277	2815.870
35.724	2653.220
36.171	2634.030
36.617	2670.750
37.064	2723.280
37.510	2785.160
37.957	2799.360
38.403	2779.190
38.850	2730.830
39.296	2672.870
39.743	2636.330
40.189	2640.780
40.636	2626.550
41.083	2567.370
41.529	2555.650
41.976	2738.880
42.422	2719.910
42.869	2652.070
43.315	2673.830
43.762	2686.580
44.208	2606.510
44.655	2438.060
45.102	2300.230
45.548	2342.340
45.995	2343.740
46.441	2291.260
46.888	2235.560
47.334	2211.800
47.781	2227.790
48.227	2210.770
48.674	2109.410
49.120	2064.150
49.567	2038.280
50.014	1962.590
50.460	1976.570
50.907	1989.820
51.353	1892.290
51.800	1810.880
52.246	1762.510
52.693	1765.260
53.139	1743.010
53.586	1792.620
54.033	1779.300
54.479	1650.670
54.926	1586.650
55.372	1536.340
55.819	1575.110
56.265	1518.640
56.712	1438.790
57.158	1353.530
57.605	1308.110
58.051	1220.790
58.498	1160.410
58.945	1117.880
59.391	1107.410
59.838	1054.610
60.284	1062.970
60.731	1058.670
61.177	1038.510
61.624	1002.270
62.070	991.030
62.517	1006.640
62.964	945.210
63.410	877.020
63.857	841.970
64.303	851.210
64.750	868.260
65.196	851.710
65.643	811.040
66.089	775.150
66.536	763.110
66.982	808.670
67.429	768.010
67.876	749.530
68.322	736.560
68.769	666.010
69.215	642.960
69.662	633.850
70.108	679.840
70.555	655.630
71.001	633.970
71.448	597.420
71.895	610.760
72.341	625.270
72.788	657.200
73.234	635.220
73.681	602.590
74.127	600.380
74.574	592.610
75.020	593.080
75.467	588.490
75.913	594.700
76.360	600.080
76.807	578.750
77.253	567.700
77.700	561.000
78.146	562.400
78.593	563.480
79.039	570.060
79.486	580.800
79.932	581.380
80.379	573.520
80.826	560.810
81.272	564.610
81.719	559.300
82.165	567.630
82.612	563.460
83.058	554.120
83.505	553.150
83.951	557.930
84.398	564.080
84.844	554.830
85.291	558.590
85.738	582.020
86.184	573.720
86.631	572.070
87.077	577.900
87.524	572.100
87.970	565.460
88.417	546.340
88.863	564.960
89.310	547.210
89.757	557.670
90.203	558.480
90.650	564.080
91.096	556.290
91.543	560.780
91.989	568.230
92.436	564.010
92.882	552.990
93.329	548.090
93.775	560.940
94.222	556.680
94.669	549.070
95.115	552.080
95.562	558.250
96.008	551.370
96.455	556.190
96.901	562.730
97.348	566.090
97.794	566.390
98.241	565.080
98.688	563.420
99.134	550.960
99.581	563.400
100.027	567.710
100.474	558.210
100.920	565.510
101.367	567.360
101.813	557.970
102.260	549.650
102.706	554.820
103.153	568.330
103.600	568.080
104.046	566.670
104.493	565.750
104.939	560.580
105.386	565.740
105.832	569.700
106.279	572.080
106.725	569.450
107.172	554.840
107.619	553.490
108.065	569.680
108.512	569.520
108.958	574.200
109.405	571.860
109.851	562.910
110.298	570.560
110.744	562.000
111.191	568.550
111.637	569.090
112.084	561.410
112.531	568.620
112.977	557.570
113.424	564.890
113.870	564.130
114.317	564.290
114.763	558.450
115.210	570.440
115.656	561.470
116.103	562.070
116.550	558.940
116.996	560.150
117.443	571.210
117.889	568.760
118.336	567.380
118.782	555.160
119.229	537.790
119.675	533.110
120.122	555.390
120.568	552.200
121.015	542.480
121.462	557.960
121.908	561.160
122.355	557.650
122.801	555.290
123.248	554.410
123.694	565.330
124.141	563.710
124.587	556.330
125.034	555.170
125.481	557.310
125.927	559.350
126.374	548.980
126.820	555.860
127.267	559.890
127.713	555.230
128.160	553.370
128.606	557.280
129.053	559.810
129.499	559.860
129.946	562.850
130.393	565.680
130.839	572.240
131.286	553.080
131.732	545.600
132.179	563.230
132.625	558.390
133.072	554.520
133.518	547.440
133.965	563.770
134.412	551.230
134.858	547.110
135.305	553.860
135.751	556.820
136.198	552.610
136.644	553.110
137.091	558.090
137.537	555.820
137.984	570.660
138.430	544.770
138.877	546.300
139.324	543.380
139.770	555.610
140.217	553.220
140.663	577.600
141.110	565.220
141.556	566.770
142.003	572.100
142.449	558.690
