X	Y
0.000	2113.404
0.417	2126.248
0.834	2152.449
1.250	2160.422
1.667	2265.229
2.084	2427.908
2.501	2436.422
2.917	2327.165
3.334	2253.147
3.751	2201.028
4.168	2160.551
4.585	2148.376
5.001	2118.440
5.418	2049.330
5.835	1960.872
6.252	1844.605
6.668	1698.000
7.085	1645.229
7.502	1570.963
7.919	1404.275
8.336	1271.688
8.752	1247.532
9.169	1263.193
9.586	1197.716
10.003	1087.486
10.419	963.642
10.836	878.138
11.253	810.587
11.670	748.000
12.087	694.459
12.503	684.578
12.920	688.092
13.337	654.266
13.754	589.037
14.171	548.193
14.587	510.239
15.004	450.853
15.421	378.679
15.838	329.000
16.254	310.844
16.671	312.165
17.088	299.165
17.505	279.239
17.922	256.963
18.338	248.835
18.755	256.514
19.172	264.312
19.589	264.633
20.005	278.872
20.422	306.459
20.839	343.945
21.256	424.945
21.673	499.431
22.089	497.826
22.506	449.917
22.923	355.239
23.340	300.266
23.756	269.495
24.173	258.220
24.590	251.780
25.007	254.853
25.424	277.028
25.840	322.092
26.257	327.165
26.674	302.743
27.091	273.422
27.507	260.119
27.924	262.771
28.341	283.596
28.758	331.404
29.175	385.220
29.591	422.119
30.008	415.156
30.425	378.468
30.842	351.587
31.258	359.890
31.675	360.138
32.092	342.440
32.509	342.202
32.926	368.064
33.342	387.872
33.759	416.156
34.176	494.174
34.593	587.798
35.010	653.633
35.426	693.826
35.843	701.982
36.260	726.486
36.677	744.009
37.093	776.890
37.510	800.477
37.927	850.550
38.344	936.578
38.761	1124.211
39.177	1243.239
39.594	1304.294
40.011	1509.899
40.428	1732.027
40.844	1795.156
41.261	1872.156
41.678	1983.248
42.095	2183.532
42.512	2338.165
42.928	2519.505
43.345	2757.679
43.762	3116.165
44.179	3250.257
44.595	3274.211
45.012	3366.037
45.429	3761.972
45.846	4071.431
46.263	4048.936
46.679	4172.009
47.096	4624.550
47.513	5059.642
47.930	5257.101
48.346	5198.385
48.763	5225.404
49.180	5433.073
49.597	5842.404
50.014	6261.862
50.430	6788.486
50.847	6975.239
51.264	6985.174
51.681	7008.165
52.097	6932.569
52.514	6850.468
52.931	7036.853
53.348	7353.954
53.765	7699.936
54.181	7984.440
54.598	8026.514
55.015	8081.275
55.432	8104.752
55.849	8104.184
56.265	8112.872
56.682	8298.449
57.099	8451.165
57.516	8449.156
57.932	8681.101
58.349	8881.844
58.766	8843.129
59.183	8626.101
59.600	8575.706
60.016	8448.165
60.433	8420.229
60.850	8556.248
61.267	8454.129
61.683	8427.688
62.100	8575.541
62.517	8612.220
62.934	8243.578
63.351	8091.073
63.767	8194.312
64.184	8229.367
64.601	8422.266
65.018	8316.238
65.434	8266.495
65.851	7945.321
66.268	7543.055
66.685	7264.853
67.102	7376.440
67.518	7618.679
67.935	7536.504
68.352	7463.624
68.769	7513.257
69.185	7405.504
69.602	6947.184
70.019	6345.450
70.436	5943.945
70.853	5690.743
71.269	5452.193
71.686	5143.752
72.103	4715.293
72.520	4546.761
72.936	4516.147
73.353	4435.661
73.770	4161.743
74.187	3761.679
74.604	3435.028
75.020	3176.505
75.437	2977.028
75.854	2759.835
76.271	2486.284
76.688	2267.248
77.104	2065.991
77.521	1865.174
77.938	1751.532
78.355	1736.541
78.771	1659.541
79.188	1527.367
79.605	1362.266
80.022	1228.183
80.439	1141.147
80.855	1068.183
81.272	1000.367
81.689	896.982
82.106	877.606
82.522	866.899
82.939	779.972
83.356	671.156
83.773	598.413
84.190	623.945
84.606	724.771
85.023	684.697
85.440	588.275
85.857	550.927
86.273	547.404
86.690	534.156
87.107	528.266
87.524	551.954
87.941	565.321
88.357	506.771
88.774	466.165
89.191	430.486
89.608	404.725
90.024	395.422
90.441	413.431
90.858	381.605
91.275	340.780
91.692	326.835
92.108	358.404
92.525	434.202
92.942	552.028
93.359	638.514
93.775	584.183
94.192	431.385
94.609	338.183
95.026	317.945
95.443	314.037
95.859	326.468
96.276	382.385
96.693	465.468
97.110	466.927
97.526	390.028
97.943	322.872
98.360	279.605
98.777	259.413
99.194	255.752
99.610	257.422
100.027	267.147
100.444	272.202
100.861	284.908
101.278	304.018
101.694	345.560
102.111	442.523
102.528	802.890
102.945	1391.862
103.361	1384.450
103.778	1034.725
104.195	611.450
104.612	413.028
105.029	344.413
105.445	317.413
105.862	326.972
106.279	378.908
106.696	446.000
107.112	522.009
107.529	598.945
107.946	598.835
108.363	557.789
108.780	525.872
109.196	501.642
109.613	492.395
110.030	498.505
110.447	541.092
110.863	585.083
111.280	583.523
111.697	534.275
112.114	498.358
112.531	523.835
112.947	599.229
113.364	672.147
113.781	613.578
114.198	552.945
114.614	542.431
115.031	522.431
115.448	475.450
