X	Y
0.000	161.982
0.417	182.872
0.834	206.275
1.250	244.119
1.667	313.936
2.084	351.807
2.501	313.092
2.917	260.642
3.334	217.367
3.751	204.046
4.168	215.505
4.585	249.092
5.001	281.605
5.418	271.064
5.835	229.734
6.252	184.000
6.668	160.009
7.085	152.138
7.502	152.055
7.919	158.239
8.336	174.450
8.752	187.899
9.169	192.899
9.586	188.688
10.003	168.037
10.419	151.890
10.836	146.541
11.253	147.083
11.670	150.651
12.087	157.339
12.503	173.615
12.920	194.899
13.337	197.367
13.754	184.651
14.171	163.101
14.587	148.560
15.004	145.963
15.421	150.064
15.838	156.780
16.254	161.018
16.671	159.596
17.088	168.761
17.505	169.028
17.922	157.303
18.338	150.605
18.755	150.670
19.172	154.615
19.589	160.596
20.005	165.807
20.422	176.220
20.839	181.578
21.256	191.844
21.673	228.000
22.089	288.413
22.506	348.780
22.923	337.055
23.340	266.624
23.756	216.477
24.173	182.037
24.590	174.018
25.007	186.872
25.424	201.761
25.840	222.798
26.257	239.275
26.674	243.734
27.091	243.055
27.507	223.826
27.924	198.202
28.341	183.495
28.758	180.734
29.175	189.578
29.591	199.605
30.008	203.725
30.425	186.633
30.842	170.706
31.258	162.853
31.675	161.055
32.092	164.257
32.509	163.000
32.926	159.349
33.342	161.101
33.759	169.376
34.176	186.101
34.593	229.431
35.010	297.376
35.426	335.339
35.843	333.028
36.260	293.422
36.677	255.202
37.093	238.798
37.510	221.752
37.927	194.761
38.344	166.679
38.761	155.982
39.177	158.991
39.594	157.780
40.011	158.046
40.428	161.028
40.844	164.110
41.261	166.321
41.678	162.440
42.095	157.807
42.512	157.413
42.928	168.294
43.345	193.514
43.762	196.028
44.179	187.110
44.595	182.982
45.012	177.073
45.429	172.055
45.846	165.752
46.263	160.917
46.679	168.248
47.096	184.229
47.513	194.936
47.930	194.275
48.346	206.605
48.763	223.716
49.180	224.505
49.597	218.202
50.014	218.211
50.430	216.872
50.847	206.404
51.264	195.697
51.681	192.486
52.097	178.771
52.514	169.055
52.931	163.110
53.348	163.541
53.765	172.092
54.181	173.917
54.598	176.862
55.015	187.972
55.432	199.349
55.849	199.881
56.265	194.459
56.682	193.266
57.099	195.596
57.516	192.982
57.932	203.780
58.349	219.183
58.766	235.862
59.183	252.642
59.600	275.798
60.016	306.982
60.433	383.092
60.850	497.147
61.267	641.725
61.683	808.734
62.100	992.963
62.517	1272.826
62.934	1616.064
63.351	2028.505
63.767	2483.193
64.184	2819.707
64.601	3083.110
65.018	3421.431
65.434	3846.385
65.851	4388.486
66.268	4979.991
66.685	5520.293
67.102	6069.743
67.518	6711.789
67.935	7394.532
68.352	8283.403
68.769	9033.871
69.185	9453.514
69.602	9733.248
70.019	10056.844
70.436	10135.110
70.853	10085.459
71.269	10050.734
71.686	9989.202
72.103	9526.110
72.520	8985.403
72.936	8446.156
73.353	7897.138
73.770	7263.450
74.187	6603.743
74.604	6151.514
75.020	5788.312
75.437	5415.523
75.854	4908.128
76.271	4389.019
76.688	3942.679
77.104	3596.220
77.521	3242.826
77.938	2866.404
78.355	2514.431
78.771	2244.725
79.188	2051.881
79.605	1857.826
80.022	1643.670
80.439	1473.844
80.855	1385.945
81.272	1381.294
81.689	1373.092
82.106	1334.183
82.522	1297.633
82.939	1298.917
83.356	1281.927
83.773	1300.413
84.190	1352.330
84.606	1419.156
85.023	1439.128
85.440	1385.991
85.857	1315.789
86.273	1272.073
86.690	1288.027
87.107	1305.358
87.524	1267.330
87.941	1203.890
88.357	1115.633
88.774	1050.688
89.191	996.431
89.608	970.431
90.024	909.477
90.441	847.119
90.858	809.670
91.275	765.725
91.692	755.899
92.108	761.000
92.525	731.431
92.942	712.156
93.359	667.578
93.775	561.037
94.192	450.349
94.609	363.890
95.026	323.092
95.443	319.413
95.859	316.872
96.276	303.752
96.693	305.459
97.110	299.339
97.526	275.339
97.943	245.092
98.360	221.569
98.777	213.422
99.194	214.330
99.610	216.807
100.027	212.661
100.444	210.853
100.861	211.376
101.278	216.495
101.694	231.138
102.111	275.541
102.528	352.284
102.945	419.523
103.361	430.257
103.778	429.275
104.195	442.541
104.612	567.394
105.029	832.101
105.445	1234.358
105.862	1776.312
106.279	2325.908
106.696	2850.505
107.112	3469.532
107.529	3955.009
107.946	4350.376
108.363	4838.771
108.780	5347.789
109.196	5898.257
109.613	6557.945
110.030	7355.807
110.447	8173.596
110.863	8710.000
111.280	8925.816
111.697	9183.019
112.114	9389.395
112.531	9430.156
112.947	9472.275
113.364	9654.367
113.781	9740.532
114.198	9709.275
114.614	9495.248
115.031	9337.963
115.448	9046.440
115.865	8908.945
116.282	8699.973
116.698	8428.284
117.115	8150.257
117.532	7780.917
117.949	7554.358
118.365	7267.404
118.782	6855.908
119.199	6503.688
119.616	6233.046
120.033	5883.991
120.449	5421.954
120.866	4890.156
121.283	4367.945
121.700	3986.963
122.117	3750.266
122.533	3596.780
122.950	3408.046
123.367	3211.780
123.784	3035.596
124.200	2840.963
124.617	2572.560
125.034	2282.284
125.451	1936.000
125.868	1664.183
126.284	1433.835
126.701	1302.083
127.118	1194.982
127.535	1097.826
127.951	999.807
128.368	884.037
128.785	790.514
129.202	782.239
129.619	769.101
130.035	764.330
130.452	787.688
130.869	807.156
131.286	884.633
131.702	1002.119
132.119	1117.413
132.536	1226.183
132.953	1225.339
133.370	1242.422
133.786	1242.615
134.203	1216.092
134.620	1194.239
135.037	1194.330
135.453	1213.073
135.870	1211.624
136.287	1187.450
136.704	1185.661
137.121	1162.055
137.537	1123.027
137.954	1073.174
138.371	1020.899
138.788	976.917
139.204	957.587
139.621	942.633
140.038	898.147
140.455	873.642
140.872	783.817
141.288	672.541
141.705	593.450
142.122	524.037
142.539	502.119
142.956	559.156
143.372	604.899
143.789	568.550
