X	Y
0.000	1544.367
0.417	1617.826
0.834	1666.550
1.250	1682.000
1.667	1719.890
2.084	1714.303
2.501	1712.193
2.917	1726.642
3.334	1768.092
3.751	1883.073
4.168	2032.486
4.585	2203.697
5.001	2331.661
5.418	2338.174
5.835	2370.642
6.252	2395.000
6.668	2398.083
7.085	2354.789
7.502	2394.844
7.919	2414.945
8.336	2415.541
8.752	2436.239
9.169	2463.954
9.586	2498.385
10.003	2456.229
10.419	2381.468
10.836	2374.523
11.253	2445.761
11.670	2606.495
12.087	2725.156
12.503	2784.688
12.920	2799.376
13.337	2677.523
13.754	2571.807
14.171	2496.165
14.587	2477.165
15.004	2505.761
15.421	2525.018
15.838	2539.569
16.254	2514.339
16.671	2598.651
17.088	2693.101
17.505	2747.009
17.922	2681.551
18.338	2699.184
18.755	2790.257
19.172	2870.018
19.589	2855.761
20.005	2801.220
20.422	2818.073
20.839	2848.477
21.256	2925.661
21.673	2971.771
22.089	2968.752
22.506	2994.596
22.923	3005.018
23.340	3026.587
23.756	3083.899
24.173	3192.395
24.590	3304.000
25.007	3398.651
25.424	3420.505
25.840	3546.477
26.257	3633.064
26.674	3599.651
27.091	3553.642
27.507	3473.651
27.924	3420.156
28.341	3455.541
28.758	3627.284
29.175	3841.128
29.591	3936.330
30.008	3929.862
30.425	3874.330
30.842	3894.532
31.258	3908.862
31.675	3977.853
32.092	4020.541
32.509	4091.927
32.926	4178.275
33.342	4143.973
33.759	4072.349
34.176	4111.881
34.593	4085.266
35.010	4021.578
35.426	4042.743
35.843	4115.000
36.260	4223.138
36.677	4237.367
37.093	4253.496
37.510	4192.670
37.927	4090.688
38.344	4041.174
38.761	3978.128
39.177	3885.972
39.594	3735.716
40.011	3620.945
40.428	3583.083
40.844	3587.881
41.261	3518.844
41.678	3405.514
42.095	3379.945
42.512	3391.477
42.928	3332.908
43.345	3215.972
43.762	3046.972
44.179	2832.147
44.595	2718.954
45.012	2614.312
45.429	2550.037
45.846	2475.449
46.263	2352.275
46.679	2257.037
47.096	2132.293
47.513	2018.651
47.930	1900.587
48.346	1855.523
48.763	1753.303
49.180	1659.312
49.597	1533.312
50.014	1391.716
50.430	1307.101
50.847	1263.963
51.264	1211.624
51.681	1162.413
52.097	1164.789
52.514	1145.009
52.931	1102.339
53.348	1031.982
53.765	992.055
54.181	964.486
54.598	965.780
55.015	1031.083
55.432	1059.844
55.849	1096.138
56.265	1147.220
56.682	1259.404
57.099	1449.881
57.516	1660.138
57.932	1906.945
58.349	2174.358
58.766	2398.046
59.183	2536.872
59.600	2632.826
60.016	2669.422
60.433	2759.413
60.850	2872.615
61.267	2947.193
61.683	2980.716
62.100	3168.743
62.517	3394.284
62.934	3648.560
63.351	3780.202
63.767	3956.587
64.184	4145.835
64.601	4208.128
65.018	4138.138
65.434	3959.211
65.851	3728.009
66.268	3635.202
66.685	3732.055
67.102	3898.339
67.518	4036.936
67.935	4021.101
68.352	4004.642
68.769	3959.899
69.185	3614.587
69.602	3195.991
70.019	2756.339
70.436	2379.064
70.853	2085.899
71.269	1818.211
71.686	1536.064
72.103	1292.064
72.520	1068.349
72.936	937.936
73.353	895.587
73.770	878.697
74.187	895.624
74.604	956.183
