X	Y
0.000	461.290
0.447	505.120
0.893	542.470
1.340	614.600
1.786	587.370
2.233	674.610
2.679	849.040
3.126	844.370
3.572	673.960
4.019	496.600
4.465	417.080
4.912	414.320
5.359	416.220
5.805	414.690
6.252	404.480
6.698	414.410
7.145	486.930
7.591	528.200
8.038	588.260
8.484	572.140
8.931	490.830
9.378	446.430
9.824	519.240
10.271	623.330
10.717	688.820
11.164	753.080
11.610	749.330
12.057	664.370
12.503	627.440
12.950	626.130
13.396	617.020
13.843	681.480
14.290	791.710
14.736	840.880
15.183	901.370
15.629	977.990
16.076	1059.710
16.522	1136.610
16.969	1120.670
17.415	1116.970
17.862	1099.540
18.309	1096.490
18.755	1261.150
19.202	1478.380
19.648	1697.740
20.095	1805.300
20.541	1886.690
20.988	2114.280
21.434	2228.410
21.881	2354.510
22.327	2372.960
22.774	2666.180
23.221	2657.580
23.667	2565.530
24.114	2637.550
24.560	2825.600
25.007	2991.290
25.453	3253.780
25.900	3682.440
26.346	4097.580
26.793	4210.080
27.240	3934.540
27.686	3768.200
28.133	3765.210
28.579	3905.390
29.026	4360.420
29.472	4757.490
29.919	5070.870
30.365	5452.540
30.812	5724.440
31.258	5767.010
31.705	5880.270
32.152	5842.590
32.598	5957.990
33.045	6349.190
33.491	6598.920
33.938	6516.040
34.384	6636.170
34.831	6895.040
35.277	7071.650
35.724	7145.370
36.171	7041.810
36.617	6968.060
37.064	7191.340
37.510	7609.690
37.957	8177.030
38.403	8380.520
38.850	8599.300
39.296	8694.910
39.743	8778.720
40.189	8728.180
40.636	8756.910
41.083	8765.560
41.529	8787.970
41.976	9111.240
42.422	9385.690
42.869	9596.350
43.315	9659.350
43.762	9648.790
44.208	9466.500
44.655	9714.840
45.102	9840.110
45.548	9829.490
45.995	9981.350
46.441	9866.400
46.888	9700.520
47.334	9717.020
47.781	9746.810
48.227	9730.290
48.674	9328.370
49.120	8968.600
49.567	9092.380
50.014	9528.470
50.460	9642.900
50.907	9757.740
51.353	10217.130
51.800	10583.130
52.246	10245.510
52.693	9897.790
53.139	9817.370
53.586	9921.930
54.033	9720.160
54.479	9332.740
54.926	9096.500
55.372	9228.950
55.819	9275.580
56.265	9248.130
56.712	9233.070
57.158	9368.470
57.605	9417.320
58.051	9284.880
58.498	9148.520
58.945	9205.890
59.391	9176.160
59.838	9074.460
60.284	8551.270
60.731	8160.050
61.177	7994.220
61.624	7988.260
62.070	7772.310
62.517	7264.360
62.964	6928.680
63.410	6730.510
63.857	6742.140
64.303	6827.270
64.750	6749.190
65.196	6631.930
65.643	6282.080
66.089	5730.790
66.536	5427.800
66.982	5181.610
67.429	4837.710
67.876	4752.720
68.322	4812.580
68.769	4587.650
69.215	4448.730
69.662	4317.390
70.108	4042.480
70.555	3993.010
71.001	3905.450
71.448	4050.280
71.895	3934.520
72.341	3625.690
72.788	3489.660
73.234	3300.720
73.681	3025.840
74.127	2910.140
74.574	2902.730
75.020	2790.660
75.467	2715.190
75.913	2605.810
76.360	2465.440
76.807	2285.260
77.253	2078.760
77.700	1909.390
78.146	1897.910
78.593	1915.300
79.039	1873.900
79.486	1926.180
79.932	1802.900
80.379	1587.370
80.826	1422.770
81.272	1384.170
81.719	1382.640
82.165	1288.000
82.612	1112.060
83.058	1026.600
83.505	994.630
83.951	927.200
84.398	938.290
84.844	938.010
85.291	899.910
85.738	909.730
86.184	871.560
86.631	828.100
87.077	757.300
87.524	657.780
87.970	583.430
88.417	566.100
88.863	607.210
89.310	605.780
89.757	553.640
90.203	541.600
90.650	611.510
91.096	645.560
91.543	576.100
91.989	527.800
92.436	526.360
92.882	604.990
93.329	668.110
93.775	640.410
94.222	617.450
94.669	591.860
95.115	612.880
95.562	561.760
96.008	525.860
96.455	556.240
96.901	593.120
97.348	530.400
97.794	537.850
98.241	694.420
98.688	920.520
99.134	959.160
99.581	846.510
100.027	785.300
100.474	810.670
100.920	841.680
101.367	816.000
101.813	839.750
102.260	861.040
102.706	807.230
103.153	731.290
103.600	677.470
104.046	682.450
104.493	781.550
104.939	898.670
105.386	907.410
105.832	816.650
106.279	661.000
106.725	634.240
107.172	678.710
107.619	718.250
108.065	706.350
108.512	652.080
108.958	559.920
109.405	544.640
109.851	556.190
110.298	543.140
110.744	497.140
111.191	475.690
111.637	445.870
112.084	410.420
112.531	413.960
112.977	430.380
113.424	464.150
113.870	509.430
114.317	522.290
114.763	561.160
115.210	600.560
115.656	697.020
116.103	728.980
116.550	718.140
116.996	704.430
117.443	713.310
117.889	698.310
118.336	597.110
118.782	521.320
119.229	492.480
119.675	479.270
120.122	485.020
120.568	528.090
121.015	573.990
121.462	588.140
121.908	587.760
122.355	562.080
122.801	502.530
123.248	450.640
123.694	433.210
124.141	425.740
124.587	411.510
125.034	411.550
125.481	424.980
125.927	453.100
126.374	494.180
126.820	532.590
127.267	484.740
127.713	425.660
128.160	412.520
128.606	462.740
129.053	519.560
129.499	480.350
129.946	407.830
130.393	333.490
130.839	286.290
131.286	259.810
131.732	263.410
132.179	302.460
132.625	356.640
133.072	385.110
133.518	354.740
133.965	311.170
134.412	315.570
134.858	370.150
135.305	454.640
135.751	497.040
136.198	434.250
136.644	368.120
137.091	355.100
137.537	392.440
137.984	418.700
138.430	434.120
