X	Y
0.000	199.830
0.447	187.090
0.893	182.340
1.340	183.420
1.786	187.290
2.233	198.550
2.679	219.500
3.126	246.950
3.572	250.960
4.019	247.300
4.465	241.200
4.912	231.520
5.359	216.060
5.805	205.800
6.252	203.830
6.698	200.900
7.145	196.670
7.591	195.000
8.038	200.800
8.484	219.910
8.931	235.870
9.378	232.910
9.824	212.480
10.271	194.280
10.717	187.480
11.164	187.220
11.610	189.410
12.057	188.850
12.503	180.210
12.950	181.860
13.396	186.860
13.843	194.540
14.290	201.630
14.736	207.530
15.183	210.140
15.629	205.410
16.076	206.270
16.522	218.320
16.969	255.370
17.415	274.380
17.862	271.850
18.309	242.940
18.755	207.560
19.202	195.530
19.648	194.870
20.095	189.070
20.541	186.700
20.988	191.140
21.434	200.540
21.881	208.100
22.327	217.630
22.774	209.530
23.221	197.730
23.667	196.420
24.114	210.610
24.560	223.900
25.007	220.570
25.453	218.140
25.900	207.550
26.346	195.420
26.793	199.820
27.240	199.200
27.686	191.150
28.133	185.150
28.579	186.980
29.026	189.700
29.472	191.660
29.919	190.490
30.365	200.740
30.812	212.880
31.258	225.390
31.705	226.320
32.152	216.260
32.598	211.100
33.045	222.130
33.491	226.570
33.938	226.460
34.384	209.030
34.831	204.860
35.277	205.660
35.724	208.750
36.171	224.880
36.617	231.390
37.064	219.320
37.510	207.610
37.957	200.950
38.403	197.820
38.850	207.650
39.296	225.680
39.743	224.560
40.189	217.070
40.636	214.750
41.083	229.370
41.529	235.250
41.976	240.270
42.422	237.370
42.869	232.320
43.315	236.290
43.762	259.720
44.208	285.010
44.655	300.280
45.102	295.280
45.548	282.850
45.995	280.690
46.441	307.780
46.888	331.810
47.334	349.030
47.781	364.000
48.227	356.300
48.674	374.230
49.120	394.640
49.567	426.010
50.014	479.380
50.460	542.080
50.907	640.390
51.353	754.310
51.800	839.180
52.246	938.530
52.693	1030.950
53.139	1109.000
53.586	1209.770
54.033	1340.670
54.479	1469.620
54.926	1606.660
55.372	1854.070
55.819	2133.230
56.265	2334.510
56.712	2530.630
57.158	2799.820
57.605	3090.160
58.051	3310.200
58.498	3600.120
58.945	4028.990
59.391	4497.720
59.838	4935.750
60.284	5356.680
60.731	5767.480
61.177	6029.790
61.624	6235.970
62.070	6372.660
62.517	6342.780
62.964	6436.490
63.410	6495.430
63.857	6374.690
64.303	6300.450
64.750	6332.090
65.196	6415.110
65.643	6531.380
66.089	6606.910
66.536	6529.470
66.982	6482.470
67.429	6463.410
67.876	6574.400
68.322	6514.470
68.769	6263.380
69.215	6055.720
69.662	5805.790
70.108	5670.230
70.555	5788.380
71.001	5946.680
71.448	5962.770
71.895	5772.700
72.341	5384.820
72.788	4931.340
73.234	4513.060
73.681	4167.110
74.127	3979.820
74.574	3915.690
75.020	3803.990
75.467	3598.980
75.913	3375.870
76.360	3158.990
76.807	2931.470
77.253	2754.650
77.700	2603.100
78.146	2394.310
78.593	2256.590
79.039	2171.000
79.486	2026.550
79.932	1793.450
80.379	1553.460
80.826	1383.120
81.272	1208.930
81.719	1072.000
82.165	958.340
82.612	869.470
83.058	778.170
83.505	691.550
83.951	636.570
84.398	614.580
84.844	586.880
85.291	563.030
85.738	559.730
86.184	544.760
86.631	499.910
87.077	459.190
87.524	455.010
87.970	465.750
88.417	463.900
88.863	433.350
89.310	390.600
89.757	367.200
90.203	368.850
90.650	366.370
91.096	355.400
91.543	336.720
91.989	329.020
92.436	325.230
92.882	363.380
93.329	392.570
93.775	400.530
94.222	411.570
94.669	413.010
95.115	400.330
95.562	392.570
96.008	396.990
96.455	420.280
96.901	470.260
97.348	505.660
97.794	526.160
98.241	539.610
98.688	609.510
99.134	679.960
99.581	768.890
100.027	871.130
100.474	965.290
100.920	1037.740
101.367	1095.150
101.813	1176.410
102.260	1223.040
102.706	1257.960
103.153	1297.340
103.600	1408.180
104.046	1581.270
104.493	1790.270
104.939	2034.100
105.386	2332.350
105.832	2715.070
106.279	3046.670
106.725	3394.100
107.172	3718.230
107.619	3929.050
108.065	4081.880
108.512	4295.220
108.958	4493.060
109.405	4533.750
109.851	4630.650
110.298	4755.270
110.744	4835.070
111.191	5031.650
111.637	5279.560
112.084	5499.960
112.531	5587.590
112.977	5654.890
113.424	5751.110
113.870	5892.280
114.317	6157.690
114.763	6319.410
115.210	6334.090
115.656	6332.000
116.103	6243.320
116.550	6130.380
116.996	6180.310
117.443	6405.850
117.889	6392.950
118.336	6143.240
118.782	5797.760
119.229	5496.350
119.675	5393.140
120.122	5287.380
120.568	5117.790
121.015	4980.810
121.462	4969.660
121.908	4930.310
122.355	4817.280
122.801	4574.420
123.248	4264.210
123.694	4164.290
124.141	4163.120
124.587	4112.810
125.034	3974.740
125.481	3687.280
125.927	3387.950
126.374	3059.970
126.820	2826.620
127.267	2737.510
127.713	2738.180
128.160	2621.550
128.606	2397.720
129.053	2205.160
129.499	1982.420
129.946	1876.730
130.393	1735.640
130.839	1551.330
131.286	1411.220
131.732	1327.880
132.179	1273.230
132.625	1197.020
133.072	1114.400
133.518	1048.890
133.965	960.860
134.412	873.300
134.858	795.160
135.305	716.310
135.751	654.550
136.198	597.130
136.644	557.440
137.091	528.750
137.537	518.920
137.984	513.400
138.430	521.850
138.877	521.420
139.324	527.220
139.770	533.510
140.217	496.670
140.663	477.500
141.110	463.490
141.556	470.340
142.003	487.460
142.449	497.500
142.896	493.220
143.343	497.140
143.789	541.770
144.236	588.660
144.682	592.580
145.129	588.540
145.575	597.540
146.022	664.770
146.468	730.070
146.915	767.930
147.361	772.120
147.808	805.220
148.255	853.620
148.701	924.790
149.148	1017.860
149.594	1154.200
150.041	1305.960
150.487	1435.150
150.934	1559.140
151.380	1719.440
151.827	1864.010
152.274	2056.400
152.720	2259.840
