X	Y
0.000	5524.250
0.447	5618.670
0.893	5707.090
1.340	5862.580
1.786	5938.530
2.233	6078.250
2.679	6195.310
3.126	6259.340
3.572	6183.660
4.019	6160.320
4.465	6142.620
4.912	6104.980
5.359	6040.830
5.805	5840.810
6.252	5757.330
6.698	5761.220
7.145	5887.530
7.591	5910.380
8.038	6157.750
8.484	6252.960
8.931	6203.540
9.378	6081.630
9.824	6027.770
10.271	6062.940
10.717	5969.860
11.164	6117.380
11.610	6218.530
12.057	6195.730
12.503	6245.630
12.950	6171.760
13.396	6197.350
13.843	6117.610
14.290	6069.680
14.736	6133.560
15.183	6157.430
15.629	6256.290
16.076	6108.700
16.522	6041.620
16.969	6096.100
17.415	6140.200
17.862	6035.080
18.309	5971.600
18.755	6028.020
19.202	6205.990
19.648	6347.240
20.095	6396.590
20.541	6279.370
20.988	6040.230
21.434	5893.100
21.881	5618.870
22.327	5403.020
22.774	5377.790
23.221	5321.180
23.667	5202.940
24.114	5202.300
24.560	5170.540
25.007	5266.380
25.453	5286.380
25.900	5219.910
26.346	4949.080
26.793	4885.600
27.240	4830.110
27.686	4771.020
28.133	4586.290
28.579	4532.500
29.026	4397.740
29.472	4181.570
29.919	3995.770
30.365	3847.280
30.812	3859.290
31.258	3974.520
31.705	4015.300
32.152	3947.750
32.598	3666.940
33.045	3501.230
33.491	3455.180
33.938	3385.430
34.384	3266.420
34.831	3122.470
35.277	3094.110
35.724	3033.130
36.171	2973.260
36.617	3028.540
37.064	3220.010
37.510	3334.630
37.957	3174.970
38.403	3114.400
38.850	3040.790
39.296	2995.050
39.743	2972.930
40.189	2825.000
40.636	2711.520
41.083	2682.210
41.529	2707.700
41.976	2628.860
42.422	2598.560
42.869	2698.440
43.315	2913.770
43.762	3089.720
44.208	3031.970
44.655	3133.100
45.102	3296.850
45.548	3380.200
45.995	3448.980
46.441	3438.420
46.888	3393.980
47.334	3448.250
47.781	3429.010
48.227	3377.110
48.674	3479.900
49.120	3505.050
49.567	3580.540
50.014	3705.890
50.460	3832.780
50.907	3886.440
51.353	3936.970
51.800	3957.480
52.246	4009.100
52.693	4087.600
53.139	4003.930
53.586	3927.010
54.033	3771.420
54.479	3531.740
54.926	3341.570
55.372	3347.070
55.819	3472.740
56.265	3589.650
56.712	3583.580
57.158	3457.650
57.605	3355.780
58.051	3196.930
58.498	3069.800
58.945	2960.060
59.391	2841.370
59.838	2782.310
60.284	2758.330
60.731	2602.470
61.177	2494.100
61.624	2399.050
62.070	2274.720
62.517	2201.210
62.964	2212.910
63.410	2321.350
63.857	2316.270
64.303	2250.710
64.750	2148.550
65.196	2067.010
65.643	1993.780
66.089	1937.710
66.536	1913.210
66.982	1837.380
67.429	1805.760
67.876	1714.300
68.322	1707.480
68.769	1668.260
69.215	1618.650
69.662	1506.480
70.108	1430.850
70.555	1399.530
71.001	1403.690
71.448	1368.000
71.895	1355.170
72.341	1291.210
72.788	1229.020
73.234	1166.410
73.681	1130.430
74.127	1079.790
74.574	985.680
75.020	927.320
75.467	941.550
75.913	944.190
76.360	911.630
76.807	880.980
77.253	841.200
77.700	805.840
78.146	832.760
78.593	794.780
79.039	729.660
79.486	709.610
79.932	691.570
80.379	645.610
80.826	588.210
81.272	581.090
81.719	586.430
82.165	561.040
82.612	548.470
83.058	508.860
83.505	478.780
83.951	469.860
84.398	475.600
84.844	478.110
85.291	488.720
85.738	490.570
86.184	484.150
86.631	459.610
87.077	454.430
87.524	436.270
87.970	439.680
88.417	429.390
88.863	424.560
89.310	421.140
89.757	422.950
90.203	416.980
90.650	418.510
91.096	424.940
91.543	425.450
91.989	415.450
92.436	421.030
92.882	432.580
93.329	443.050
93.775	437.730
94.222	429.050
94.669	432.350
95.115	437.810
95.562	434.570
96.008	433.050
96.455	432.130
96.901	428.240
97.348	434.630
97.794	427.880
98.241	431.690
98.688	429.710
99.134	437.100
99.581	433.700
100.027	437.320
100.474	434.970
100.920	441.790
101.367	424.030
101.813	417.530
102.260	410.590
102.706	412.180
103.153	413.250
103.600	422.450
104.046	435.990
104.493	422.080
104.939	415.160
105.386	429.590
105.832	432.000
106.279	432.200
106.725	423.390
107.172	421.900
107.619	420.330
108.065	417.350
108.512	412.390
