"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Comment","right","left","avg","Length","E"
"","rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","right",TRUE,"ant","EF","",NA,NA,NA,NA,13
"","rgap_dorsal_1_z3_t60s_E15","wt","wildtype","dorsal","left",TRUE,"ant","EF","",NA,NA,NA,NA,15
"","rgap_dorsal_1_z3_t60s_E4","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,4
"","rgap_dorsal_1_z3_t60s_E4","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,4
"","rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,5
"","rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,5
"","rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,6
"","rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,6
"","rgap_dorsal_1_z3_t60s_E7","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,7
"","rgap_dorsal_1_z3_t60s_E7","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,7
"","rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,8
"","rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,8
"","rgap_dorsal_1_z3_t60s_E9","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,9
"","rgap_dorsal_1_z3_t60s_E9","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,9
"","rgap_dorsal_1_z3_t60s_E10","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,10
"","rgap_dorsal_1_z3_t60s_E10","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,10
"","rgap_dorsal_1_z3_t60s_E11","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,11
"","rgap_dorsal_1_z3_t60s_E11","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,11
"","rgap_dorsal_1_z3_t60s_E12","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,12
"","rgap_dorsal_1_z3_t60s_E12","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,12
"","rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,13
"","rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,13
"","rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,14
"","rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,NA,14
"","rgap_dorsal_1_z3_t60s_E15","wt","wildtype","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,NA,15
