"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Comment","right","left","avg","Length","E"
"btd-gap_dorsal_1_z1.5_t51s_E1_L_1","btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,75.8,1
"btd-gap_dorsal_1_z1.5_t51s_E1_R_1","btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,74.5,1
"btd-gap_dorsal_1_z3_t45s_E1_L_1","btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,82.5,1
"btd-gap_dorsal_1_z3_t45s_E1_R_1","btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,72.3,1
"btd-gap_dorsal1_z3_t51s_E1_L_1","btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,60.3,1
"btd-gap_dorsal1_z3_t51s_E1_R_1","btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,70.4,1
"btd-gap_dorsal_1_z3_t45s_E2_L_1","btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,70.4,2
"btd-gap_dorsal_1_z3_t45s_E2_R_1","btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,73.6,2
"btd-gap_dorsal_1_z3_t45s_E3_L_1","btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,69,3
"btd-gap_dorsal_1_z3_t45s_E3_R_1","btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,65.1,3
"btd-gap_dorsal1_z3_t51s_E3_L_1","btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","dorsal","left",TRUE,"mid","CF","",NA,NA,NA,68.5,3
"btd-gap_dorsal1_z3_t51s_E3_R_1","btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","dorsal","right",TRUE,"mid","CF","",NA,NA,NA,71.7,3
