"Embryo","Stock","Genotype","Type","Length.count","Length.sum","Length.mean","Length.sd"
"btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","CF",2,150.3,75.15,0.91923881554251
"btd-gap_dorsal_1_z1.5_t51s_E11","btd","heterozygote","CF",2,139.2,69.6,1.69705627484771
"btd-gap_dorsal_1_z1.5_t51s_E13","btd","heterozygote","CF",2,143.6,71.8,1.27279220613578
"btd-gap_dorsal_1_z1.5_t51s_E14","btd","heterozygote","CF",2,118,59,12.5865007051205
"btd-gap_dorsal_1_z1.5_t51s_E15","btd","heterozygote","CF",2,135.3,67.65,3.04055915910215
"btd-gap_dorsal_1_z1.5_t51s_E4","btd","heterozygote","CF",2,145.2,72.6,0.141421356237312
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","CF",2,154.1,77.05,8.69741340859453
"btd-gap_dorsal_1_z1.5_t51s_E8","btd","heterozygote","CF",2,139.9,69.95,8.1317279836453
"btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","CF",2,154.8,77.4,7.21248916810279
"btd-gap_dorsal_1_z3_t45s_E10","btd","heterozygote","CF",2,155.7,77.85,3.88908729652601
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","CF",2,140.1,70.05,2.3334523779156
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","CF",2,153,76.5,6.78822509939085
"btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","CF",2,144,72,2.26274169979694
"btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","CF",2,134.1,67.05,2.75771644662754
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","CF",2,168.5,84.25,5.30330085889911
"btd-gap_dorsal_1_z3_t45s_E7","btd","heterozygote","CF",2,148.8,74.4,4.24264068711928
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","CF",2,168.2,84.1,0.848528137423859
"btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","CF",2,130.7,65.35,7.14177848998414
"btd-gap_dorsal1_z3_t51s_E10","btd","heterozygote","CF",2,133.1,66.55,6.85893577750951
"btd-gap_dorsal1_z3_t51s_E11","btd","heterozygote","CF",2,144.5,72.25,0.91923881554252
"btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","CF",2,140.2,70.1,2.26274169979695
"btd-gap_dorsal1_z3_t51s_E4","btd","heterozygote","CF",2,149.6,74.8,9.75807358037435
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","CF",2,104.8,52.4,2.82842712474619
"btd-gap_dorsal1_z3_t51s_E6","btd","heterozygote","CF",2,144.3,72.15,1.06066017177982
"btd-gap_dorsal1_z3_t51s_E8","btd","heterozygote","CF",2,139.4,69.7,17.2534054609518
"btd-gap_dorsal1_z3_t51s_E9","btd","heterozygote","CF",2,146.5,73.25,1.62634559672907
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","EF",1,30.6,30.6,NA
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","EF",1,30.1,30.1,NA
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","EF",1,38.2,38.2,NA
