 	Label	Angle	Length
1	btd-gap_dorsal1_z3_t51s_E1:R_1:c:2/2 z:5/26 t:20/183 - btd-gap_dorsal1_z3_t51s #01	-73.0	70.4
2	btd-gap_dorsal1_z3_t51s_E1:L_1:c:2/2 z:3/26 t:31/183 - btd-gap_dorsal1_z3_t51s #01	107.6	60.3
3	btd-gap_dorsal1_z3_t51s_E10:R_1:c:2/2 z:8/26 t:33/183 - btd-gap_dorsal1_z3_t51s #10	-67.4	71.4
4	btd-gap_dorsal1_z3_t51s_E10:L_1:c:2/2 z:8/26 t:36/183 - btd-gap_dorsal1_z3_t51s #10	94.9	61.7
5	btd-gap_dorsal1_z3_t51s_E11:R_1:c:2/2 z:9/26 t:64/183 - btd-gap_dorsal1_z3_t51s #11	-65.4	71.6
6	btd-gap_dorsal1_z3_t51s_E11:L_1:c:2/2 z:9/26 t:63/183 - btd-gap_dorsal1_z3_t51s #11	84.9	72.9
7	btd-gap_dorsal1_z3_t51s_E12:R_1:c:2/2 z:9/26 t:30/183 - btd-gap_dorsal1_z3_t51s #12	-66.2	43.8
8	btd-gap_dorsal1_z3_t51s_E12:R_2:c:2/2 z:3/26 t:26/183 - btd-gap_dorsal1_z3_t51s #12	-95.8	47.8
9	btd-gap_dorsal1_z3_t51s_E12:L_1:c:2/2 z:3/26 t:33/183 - btd-gap_dorsal1_z3_t51s #12	83.8	38.6
10	btd-gap_dorsal1_z3_t51s_E12:L_2:c:2/2 z:1/26 t:27/183 - btd-gap_dorsal1_z3_t51s #12	118.7	52.2
11	btd-gap_dorsal1_z3_t51s_E3:R_1:c:2/2 z:6/26 t:73/183 - btd-gap_dorsal1_z3_t51s #03	-77.8	71.7
12	btd-gap_dorsal1_z3_t51s_E3:L_1:c:2/2 z:6/26 t:73/183 - btd-gap_dorsal1_z3_t51s #03	89.9	68.5
13	btd-gap_dorsal1_z3_t51s_E4:R_1:c:2/2 z:6/26 t:37/183 - btd-gap_dorsal1_z3_t51s #04	-71.9	81.7
14	btd-gap_dorsal1_z3_t51s_E4:L_1:c:2/2 z:4/26 t:41/183 - btd-gap_dorsal1_z3_t51s #04	104.8	67.9
15	btd-gap_dorsal1_z3_t51s_E5:R_1:c:2/2 z:6/26 t:11/183 - btd-gap_dorsal1_z3_t51s #05	-85.4	50.4
