Embryo,Label,Stock,Genotype,View,Side,Fold,Position,Type,Comment
btd-gap_dorsal1_z3_t51s_E1,btd-gap_dorsal1_z3_t51s_E1_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E1,btd-gap_dorsal1_z3_t51s_E1_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E3,btd-gap_dorsal1_z3_t51s_E3_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E3,btd-gap_dorsal1_z3_t51s_E3_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E4,btd-gap_dorsal1_z3_t51s_E4_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E4,btd-gap_dorsal1_z3_t51s_E4_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E5,btd-gap_dorsal1_z3_t51s_E5_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E5,btd-gap_dorsal1_z3_t51s_E5_R_2,btd,heterozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal1_z3_t51s_E5,btd-gap_dorsal1_z3_t51s_E5_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E6,btd-gap_dorsal1_z3_t51s_E6_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E6,btd-gap_dorsal1_z3_t51s_E6_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E8,btd-gap_dorsal1_z3_t51s_E8_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E8,btd-gap_dorsal1_z3_t51s_E8_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E9,btd-gap_dorsal1_z3_t51s_E9_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E9,btd-gap_dorsal1_z3_t51s_E9_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E10,btd-gap_dorsal1_z3_t51s_E10_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E10,btd-gap_dorsal1_z3_t51s_E10_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E11,btd-gap_dorsal1_z3_t51s_E11_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E11,btd-gap_dorsal1_z3_t51s_E11_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal1_z3_t51s_E12,btd-gap_dorsal1_z3_t51s_E12_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal1_z3_t51s_E12,btd-gap_dorsal1_z3_t51s_E12_R_2,btd,homozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal1_z3_t51s_E12,btd-gap_dorsal1_z3_t51s_E12_L_1,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal1_z3_t51s_E12,btd-gap_dorsal1_z3_t51s_E12_L_2,btd,homozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E1,btd-gap_dorsal_1_z1.5_t51s_E1_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E1,btd-gap_dorsal_1_z1.5_t51s_E1_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E2,btd-gap_dorsal_1_z1.5_t51s_E2_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E2,btd-gap_dorsal_1_z1.5_t51s_E2_R_2,btd,homozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E2,btd-gap_dorsal_1_z1.5_t51s_E2_L_1,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E2,btd-gap_dorsal_1_z1.5_t51s_E2_L_2,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E2,btd-gap_dorsal_1_z1.5_t51s_E2_L_3,btd,homozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E4,btd-gap_dorsal_1_z1.5_t51s_E4_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E4,btd-gap_dorsal_1_z1.5_t51s_E4_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E5,btd-gap_dorsal_1_z1.5_t51s_E5_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E5,btd-gap_dorsal_1_z1.5_t51s_E5_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E5,btd-gap_dorsal_1_z1.5_t51s_E5_L_2,btd,heterozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E6,btd-gap_dorsal_1_z1.5_t51s_E6_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E6,btd-gap_dorsal_1_z1.5_t51s_E6_R_2,btd,homozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E6,btd-gap_dorsal_1_z1.5_t51s_E6_L_1,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E6,btd-gap_dorsal_1_z1.5_t51s_E6_L_2,btd,homozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E8,btd-gap_dorsal_1_z1.5_t51s_E8_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E8,btd-gap_dorsal_1_z1.5_t51s_E8_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E10,btd-gap_dorsal_1_z1.5_t51s_E10_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E10,btd-gap_dorsal_1_z1.5_t51s_E10_R_2,btd,homozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E10,btd-gap_dorsal_1_z1.5_t51s_E10_L_1,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z1.5_t51s_E10,btd-gap_dorsal_1_z1.5_t51s_E10_L_2,btd,homozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z1.5_t51s_E11,btd-gap_dorsal_1_z1.5_t51s_E11_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E11,btd-gap_dorsal_1_z1.5_t51s_E11_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E13,btd-gap_dorsal_1_z1.5_t51s_E13_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E13,btd-gap_dorsal_1_z1.5_t51s_E13_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E14,btd-gap_dorsal_1_z1.5_t51s_E14_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E14,btd-gap_dorsal_1_z1.5_t51s_E14_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
