"Embryo","Stock","Genotype","View","Side","Fold","Position","Type"
"rgap_1b_z3_t60s_E1","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E3","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E4","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E6","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E7","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E14","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E15","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E17","wt","wildtype","lateral","left",TRUE,"ant","EF"
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","right",TRUE,"ant","EF"
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","dorsal","left",TRUE,"ant","EF"
"rgap_1b_z3_t60s_E1","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E2","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E3","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E4","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E5","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E6","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E7","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E8","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E9","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E12","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E13","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E14","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E15","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E17","wt","wildtype","lateral","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E9","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E9","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E20","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E20","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E23","wt","wildtype","dorsal","right",TRUE,"mid","CF"
"rgap_dorsal_1_z3_t60s_E23","wt","wildtype","dorsal","left",TRUE,"mid","CF"
"rgap_1b_z3_t60s_E3","wt","wildtype","lateral","left",TRUE,"post","EF"
"rgap_1b_z3_t60s_E5","wt","wildtype","lateral","left",TRUE,"post","EF"
"rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"post","EF"
"rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","dorsal","right",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","dorsal","left",TRUE,"post","EF"
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","dorsal","right",TRUE,"post","EF"
"btd-gap_z3_t55s_E3","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-hisgap1_E7","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-gap2_z3_t55s_E8","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-gap_z3_t55s_E10","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-gap_z3_t55s_E12","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-gap2_z3_t55s_E12","btd","heterozygote","lateral","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E4","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E4","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E4","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E4","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E6","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E6","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E7","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E7","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E8","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E8","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E8","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E8","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E9","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E9","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E10","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E10","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E10","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E10","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E11","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E11","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E11","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal1_z3_t51s_E11","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E13","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E13","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E14","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E14","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E15","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z3_t45s_E15","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E15","btd","heterozygote","dorsal","left",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E15","btd","heterozygote","dorsal","right",TRUE,"mid","CF"
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","dorsal","right",TRUE,"post","EF"
