"Embryo","Stock","Genotype","Type","Fold.mean","Fold.sd"
"rgap_1b_z3_t60s_E1","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E11","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E12","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E13","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E14","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E15","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E16","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E17","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E2","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E3","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E4","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E5","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E6","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E7","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E8","wt","wildtype","CF",1,NA
"rgap_1b_z3_t60s_E9","wt","wildtype","CF",1,NA
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E20","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E23","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","CF",1,0
"rgap_dorsal_1_z3_t60s_E9","wt","wildtype","CF",1,0
"rgap_1b_z3_t60s_E1","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E11","wt","wildtype","EF",2,NA
"rgap_1b_z3_t60s_E14","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E15","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E16","wt","wildtype","EF",2,NA
"rgap_1b_z3_t60s_E17","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E3","wt","wildtype","EF",2,NA
"rgap_1b_z3_t60s_E4","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E5","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E6","wt","wildtype","EF",1,NA
"rgap_1b_z3_t60s_E7","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","EF",1,0
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","EF",1,0
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","EF",1,NA
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","EF",1,0
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","EF",1,0
