"Embryo","Stock","Genotype","Side","Type","Fold"
"rgap_1b_z3_t60s_E1","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E11","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E12","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E13","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E14","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E15","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E16","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E17","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E2","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E3","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E4","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E5","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E6","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E7","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E8","wt","wildtype","left","CF",1
"rgap_1b_z3_t60s_E9","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E20","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E23","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E9","wt","wildtype","left","CF",1
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E20","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E23","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","right","CF",1
"rgap_dorsal_1_z3_t60s_E9","wt","wildtype","right","CF",1
"rgap_1b_z3_t60s_E1","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E11","wt","wildtype","left","EF",2
"rgap_1b_z3_t60s_E14","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E15","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E16","wt","wildtype","left","EF",2
"rgap_1b_z3_t60s_E17","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E3","wt","wildtype","left","EF",2
