"stock","n_stock","genotype","n_genotype","pct_genotype","n_with_fold","pct_with_fold","foldtype","n_foldtype","pct_foldtype","position","n_position","pct_position"
"wt","36","wildtype","36","100","36","100","CF","36","100","mid","36","100"
"wt","36","wildtype","36","100","36","100","EF","28","77.8","ant","12","42.9"
"wt","36","wildtype","36","100","36","100","EF","28","77.8","post","20","71.4"
"btd","46","heterozygote","33","71.7","33","100","CF","33","100","mid","33","100"
"btd","46","heterozygote","33","71.7","33","100","EF","6","18.2","post","6","100"
"btd","46","homozygote","13","28.3","12","92.3","EF","12","92.3","ant","6","50"
"btd","46","homozygote","13","28.3","12","92.3","EF","12","92.3","mid","12","100"
"btd","46","homozygote","13","28.3","12","92.3","EF","12","92.3","post","9","75"
"eve","36","heterozygote","26","72.2","26","100","CF","26","100","mid","26","100"
"eve","36","heterozygote","26","72.2","26","100","EF","7","26.9","ant","1","14.3"
"eve","36","heterozygote","26","72.2","26","100","EF","7","26.9","post","6","85.7"
"eve","36","homozygote","10","27.8","10","100","EF","10","100","ant","4","40"
"eve","36","homozygote","10","27.8","10","100","EF","10","100","mid","7","70"
"eve","36","homozygote","10","27.8","10","100","EF","10","100","post","9","90"
"prd","40","heterozygote","26","65","26","100","CF","26","100","mid","26","100"
"prd","40","heterozygote","26","65","26","100","EF","7","26.9","ant","5","71.4"
"prd","40","heterozygote","26","65","26","100","EF","7","26.9","post","4","57.1"
"prd","40","homozygote","14","35","14","100","CF","7","50","mid","7","100"
"prd","40","homozygote","14","35","14","100","EF","10","71.4","ant","5","50"
"prd","40","homozygote","14","35","14","100","EF","10","71.4","mid","8","80"
"prd","40","homozygote","14","35","14","100","EF","10","71.4","post","7","70"
"stg","46","heterozygote","33","71.7","33","100","CF","33","100","mid","33","100"
"stg","46","heterozygote","33","71.7","33","100","EF","12","36.4","ant","1","8.3"
"stg","46","heterozygote","33","71.7","33","100","EF","12","36.4","post","11","91.7"
"stg","46","homozygote","13","28.3","13","100","CF","13","100","mid","13","100"
"stg","46","homozygote","13","28.3","13","100","EF","3","23.1","post","3","100"
"btd-stg","35","double heterozygote","17","48.6","17","100","CF","17","100","mid","17","100"
"btd-stg","35","double heterozygote","17","48.6","17","100","EF","4","23.5","post","4","100"
"btd-stg","35","btd homozygote","12","34.3","9","75","EF","9","75","ant","5","55.6"
"btd-stg","35","btd homozygote","12","34.3","9","75","EF","9","75","mid","3","33.3"
"btd-stg","35","btd homozygote","12","34.3","9","75","EF","9","75","post","6","66.7"
"btd-stg","35","stg homozygote","1","2.9","1","100","CF","1","100","mid","1","100"
