"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Area","StdDev","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","RawIntDen","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","AreaCorr","E"
"rgap_1b_z3_t60s_E1_s24_0x0_w1782_h920_fliph_f49-118.1.roi","rgap_1b_z3_t60s_E1","wt","wildtype","lateral","left",TRUE,"ant","EF",5390,810.703,263.391,502.275,263.282,502.917,492.174,244,391,40,232,247.435,27.736,85.711,0.28,232.697,13411276,2348,0.672,-0.438,13411276,256,623,85.564,33.894,8.921,0.112,0.803,317.100207,1
"rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.1.roi","rgap_1b_z3_t60s_E3","wt","wildtype","lateral","left",TRUE,"ant","EF",5677,559.049,257.128,665.027,256.881,663.343,410.617,228,578,58,166,162.209,44.561,92.345,0.423,167.2,16266778,2741,0.816,0.247,16266778,257,578,96.87,51.779,3.64,0.275,0.793,363.097692,3
"rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.1.roi","rgap_1b_z3_t60s_E4","wt","wildtype","lateral","left",TRUE,"ant","EF",15543,774.733,231.152,552.068,231.171,556.121,704.406,180,438,106,279,250.73,78.929,84.614,0.394,279.873,45472394,2813,0.525,-0.441,45472394,218,717,81.783,99.844,3.177,0.315,0.791,951.938128,4
"rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.1.roi","rgap_1b_z3_t60s_E6","wt","wildtype","lateral","left",TRUE,"ant","EF",1821,352.832,229.899,680.613,229.905,679.585,202.894,212,636,35,85,89.001,26.051,81.328,0.556,85.586,4436162,2365,1.007,0.721,4436162,224,721,83.29,29.24,3.416,0.293,0.866,119.906076,6
"rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.1.roi","rgap_1b_z3_t60s_E7","wt","wildtype","lateral","left",TRUE,"ant","EF",4528,752.476,258.377,443.543,258.379,442.338,436.316,228,354,55,189,196.576,29.328,79.232,0.299,192.982,11752513,2406,0.837,0.048,11752513,235,543,78.341,39.111,6.703,0.149,0.764,273.78337,7
"rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.1.roi","rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"ant","EF",11702,907.584,267.634,551.036,267.793,550.007,618.382,227,437,93,241,229.266,64.988,76.742,0.385,252.4,33056290,2636,0.841,0.142,33056290,238,678,72.714,80.679,3.528,0.283,0.791,748.676587,11
"rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.1.roi","rgap_1b_z3_t60s_E14","wt","wildtype","lateral","left",TRUE,"ant","EF",4024,616.19,278.645,654.029,278.764,653.317,325.404,249,603,66,121,117.691,43.534,73.221,0.478,123.859,10054379,2403,0.916,0.635,10054379,260,724,68.199,57.038,2.703,0.37,0.808,296.147737,14
"rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.1.roi","rgap_1b_z3_t60s_E15","wt","wildtype","lateral","left",TRUE,"ant","EF",3265,316.345,284.553,719.538,285.311,717.619,316.877,252,662,61,114,116.55,35.668,65.92,0.409,121.149,7084051,2117,0.76,0.201,7084051,259,776,70.219,46.063,3.268,0.306,0.762,261.57976,15
"rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.1.roi","rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"ant","EF",25534,701.831,230.488,568.847,231.406,568.095,810.732,164,419,139,320,312.586,104.006,76.023,0.488,329.134,59802629,2186,0.989,0.765,59802629,199,739,76.47,115.802,3.005,0.333,0.891,1707.14437,16
"rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.1.roi","rgap_1b_z3_t60s_E17","wt","wildtype","lateral","left",TRUE,"ant","EF",9650,595.41,266.065,639.095,266.871,636.812,516.056,224,558,96,184,181.149,67.827,75.228,0.455,188.68,23487624,2338,1.037,1.049,23487624,245,742,68.875,83.632,2.671,0.374,0.811,694.063011,17
