"Embryo","Stock","Genotype","Folds.count","AreaCorr.sum"
"rgap_1b_z3_t60s_E1","wt","wildtype",2,11443.409636
"rgap_1b_z3_t60s_E11","wt","wildtype",3,14203.425852
"rgap_1b_z3_t60s_E12","wt","wildtype",1,10068.930873
"rgap_1b_z3_t60s_E13","wt","wildtype",1,11076.731705
"rgap_1b_z3_t60s_E14","wt","wildtype",2,11774.180972
"rgap_1b_z3_t60s_E15","wt","wildtype",2,10513.576866
"rgap_1b_z3_t60s_E16","wt","wildtype",3,13999.834253
"rgap_1b_z3_t60s_E17","wt","wildtype",2,12472.234274
"rgap_1b_z3_t60s_E2","wt","wildtype",1,11283.846714
"rgap_1b_z3_t60s_E3","wt","wildtype",3,12159.892488
"rgap_1b_z3_t60s_E4","wt","wildtype",2,14357.943349
"rgap_1b_z3_t60s_E5","wt","wildtype",2,10352.229743
"rgap_1b_z3_t60s_E6","wt","wildtype",2,10338.564347
"rgap_1b_z3_t60s_E7","wt","wildtype",2,11838.818513
"rgap_1b_z3_t60s_E8","wt","wildtype",1,11654.812907
"rgap_1b_z3_t60s_E9","wt","wildtype",1,14021.809492
"btd-gap_z3_t55s_E10","btd","heterozygote",1,12018.3092
"btd-gap_z3_t55s_E12","btd","heterozygote",1,11212.727287
"btd-gap_z3_t55s_E3","btd","heterozygote",1,11615.054661
"btd-gap2_z3_t55s_E12","btd","heterozygote",1,6964.344915
"btd-gap2_z3_t55s_E8","btd","heterozygote",1,9138.097239
"btd-hisgap1_E7","btd","heterozygote",1,11080.868393
"eve-Gap_1_t45s_z3_E1","eve","heterozygote",1,8008.264972
"eve-Gap_1_t45s_z3_E4","eve","heterozygote",1,8739.769727
"eve-Gap1_t60s_z3_E11","eve","heterozygote",1,11056.939762
"eve-Gap1_t60s_z3_E16","eve","heterozygote",1,11013.667918
"eve-Gap1_t60s_z3_E4","eve","heterozygote",1,9309.78971799999
"eve-Gap1_t60s_z3_E5","eve","heterozygote",1,9870.175003
"eve-Gap1_t60s_z3_E9","eve","heterozygote",1,9978.63003000001
"prd-Gap_1_t60s_E1","prd","heterozygote",1,11177.641336
"prd-Gap_1_t60s_E11","prd","heterozygote",3,6081.187251
"prd-Gap_1_t60s_E15","prd","heterozygote",1,6203.382821
"prd-Gap_1_t60s_E2","prd","heterozygote",3,5379.428751
"prd-Gap_1_t60s_E3","prd","heterozygote",2,6763.085279
"prd-Gap_1_t60s_E5","prd","heterozygote",2,10988.437208
"prd-Gap_1_t60s_E6","prd","heterozygote",1,9290.721462
"prd-Gap_1_t60s_E7","prd","heterozygote",1,9125.699846
"prd-Gap_1_t60s_E8","prd","heterozygote",2,9183.849491
"btd-gap_z3_t55s_E14","btd","homozygote",2,6035.432312
"btd-gap_z3_t55s_E6","btd","homozygote",3,2841.412069
"btd-gap_z3_t55s_E8","btd","homozygote",2,6959.110519
"btd-gap2_z3_t55s_E7","btd","homozygote",2,7047.534162
"btd-hisgap1_E8","btd","homozygote",3,4879.056817
"eve-Gap_1_E13","eve","homozygote",1,3881.417347
"eve-Gap_1_t45s_z3_E11","eve","homozygote",2,8521.531211
"eve-Gap1_t60s_z3_E12","eve","homozygote",2,7861.325774
"eve-Gap1_t60s_z3_E2","eve","homozygote",2,2156.065272
"prd-Gap_1_t60s_E10","prd","homozygote",2,7435.233623
"prd-Gap_1_t60s_E12","prd","homozygote",2,1885.204269
"prd-Gap_1_t60s_E16","prd","homozygote",1,1744.223193
"prd-Gap_1_t60s_E4","prd","homozygote",2,4133.873586
"prd-Gap_1_t60s_E9","prd","homozygote",3,3648.19381
