 	Label	Area	StdDev	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.1.roi:1	7095.000	103.782	253.389	841.867	252.628	839.782	459.002	213.000	746.000	85.000	171.000	170.569	52.962	110.872	0.423	177.775	7733816.000	1071	1.160	1.531	7733816.000	221	746	107.008	68.088	3.221	0.311	0.787
2	btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.2.roi:1	83592.000	194.380	495.213	465.859	495.588	466.317	1792.217	401.000	172.000	206.000	658.000	650.435	163.633	86.018	0.327	659.822	102289134.000	1204	0.414	0.115	102289134.000	453	830	85.741	196.735	3.975	0.252	0.858
3	btd-gap2_z3_t55s_E8_CARE_s23_0x0_w1643_h1016_flipn_f41-110.1.roi:1	121100.000	186.617	480.694	360.929	479.521	368.777	2063.555	367.000	14.000	257.000	811.000	810.560	190.226	80.316	0.357	822.613	140261196.000	1107	0.913	0.897	140261196.000	399	823	77.788	216.441	4.261	0.235	0.905
4	btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn_f1-70.1.roi:1	153887.000	181.802	506.234	444.381	507.534	444.212	2541.669	367.000	61.000	311.000	871.000	891.049	219.893	79.122	0.299	892.774	186200678.000	1175	0.915	1.270	186200678.000	446	932	75.933	257.953	4.052	0.247	0.843
5	btd-gap_z3_t55s_E12_CARE_s20_0x0_w1676_h1028_fliph_f1-70.1.roi:1	143002.000	212.233	519.780	517.811	520.833	512.117	2250.030	372.000	91.000	291.000	882.000	891.060	204.336	80.323	0.355	900.067	172086318.000	1158	0.901	0.976	172086318.000	388	973	77.879	220.821	4.361	0.229	0.905
6	btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.1.roi:1	25053.000	186.430	314.018	482.248	314.039	481.822	921.401	237.000	305.000	143.000	338.000	342.915	93.022	79.063	0.371	339.848	26147304.000	1022	0.390	-0.641	26147304.000	303	641	81.369	114.919	3.686	0.271	0.774
7	btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.2.roi:1	54000.000	209.564	545.174	399.242	546.056	396.831	1363.918	455.000	188.000	190.000	487.000	456.475	150.622	84.134	0.365	489.663	59526434.000	1082	0.483	-0.074	59526434.000	541	675	84.022	176.841	3.031	0.330	0.844
8	btd-gap_z3_t55s_E3_CARE_s20_0x0_w1606_h999_flipn_f38-107.1.roi:1	11280.522	188.340	135.115	117.627	134.915	119.722	596.675	96.768	14.845	82.198	228.999	232.286	61.832	79.496	0.398	233.517	13734562.695	1175	0.814	0.564	181734673.000	381	887	78.042	69.392	3.757	0.266	0.919
9	btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.1.roi:1	7840.000	190.411	282.539	410.525	282.948	410.782	406.375	243.000	354.000	92.000	128.000	131.206	76.080	80.255	0.597	135.418	7924008.000	976	0.551	-0.591	7924008.000	262	482	69.692	89.720	1.725	0.580	0.854
10	btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.2.roi:1	23015.000	219.328	531.084	516.470	531.487	517.042	870.975	474.000	369.000	124.000	322.000	329.653	88.892	79.756	0.381	328.221	27168066.000	1147	0.589	-0.141	27168066.000	492	691	77.149	107.573	3.708	0.270	0.830
11	btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.3.roi:1	18248.000	177.797	604.002	258.644	603.909	258.439	787.619	555.000	138.000	107.000	277.000	276.284	84.095	87.510	0.370	278.498	21915623.000	1178	0.648	0.696	21915623.000	581	140	99.090	100.557	3.285	0.304	0.801
12	btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.4.roi:1	7789.000	196.918	735.023	286.099	735.055	285.507	515.085	698.000	197.000	77.000	188.000	177.243	55.953	93.645	0.369	188.680	9357386.000	1178	0.597	0.030	9357386.000	731	197	94.865	67.974	3.168	0.316	0.767
13	btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.1.roi:1	38869.000	225.621	535.360	399.907	535.886	401.807	1245.876	461.000	199.000	153.000	446.000	425.811	116.224	85.805	0.315	446.700	43649529.000	1085	0.772	0.514	43649529.000	498	645	86.792	152.095	3.664	0.273	0.785
14	btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.2.roi:1	46850.000	217.972	767.886	338.085	767.813	341.383	1359.859	690.000	96.000	158.000	514.000	479.617	124.373	84.942	0.318	514.608	57133388.000	1176	0.758	0.332	57133388.000	743	610	87.215	147.276	3.856	0.259	0.839
15	btd-hisgap1_E7_CARE_s27_0x0_w1698_h918_fliph_f34-103.1.roi:1	139702.000	126.004	517.330	404.896	518.452	404.161	2138.567	371.000	51.000	295.000	811.000	740.572	240.185	81.520	0.384	819.684	119109462.000	845	0.540	0.509	119109462.000	447	862	81.652	268.800	3.083	0.324	0.888
16	btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.1.roi:1	43076.000	109.758	519.508	365.953	520.293	364.354	1556.369	430.000	87.000	199.000	597.000	576.208	95.184	74.895	0.223	608.403	34340137.000	790	0.355	-0.224	34340137.000	457	684	77.951	128.032	6.054	0.165	0.695
17	btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.2.roi:1	22664.000	85.170	695.822	224.257	695.692	225.225	856.146	629.000	104.000	144.000	282.000	284.350	101.483	77.362	0.389	290.558	19171416.000	832	0.769	0.897	19171416.000	676	386	76.059	123.869	2.802	0.357	0.825
18	eve-Gap1_t60s_z3_E11_CARE_s18_0x0_w1824_h1040_fliph_f26-95.1.roi:1	150887.000	182.232	618.653	401.467	617.347	417.519	2298.071	485.000	11.000	278.000	839.000	883.114	217.543	83.035	0.359	844.683	141588694.000	905	0.878	0.629	141588694.000	563	850	80.460	244.238	4.059	0.246	0.883
