Embryo,Label,Stock,Genotype,View,Side,Fold,Position,Type,Comment
btd-gap_z3_t55s_E3,btd-gap_z3_t55s_E3_CARE_s20_0x0_w1606_h999_flipn_f38-107.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,
btd-gap_z3_t55s_E6,btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.1.roi,btd,homozygote,lateral,left,TRUE,ant,EF,
btd-gap_z3_t55s_E6,btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.2.roi,btd,homozygote,lateral,left,FALSE,mid,EF,Bends from reminiscent IC
btd-gap_z3_t55s_E6,btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.3.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-gap_z3_t55s_E6,btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.4.roi,btd,homozygote,lateral,left,TRUE,post,EF,
btd-gap_z3_t55s_E8,btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.1.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-gap_z3_t55s_E8,btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.2.roi,btd,homozygote,lateral,left,TRUE,post,EF,
btd-gap_z3_t55s_E10,btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn_f1-70.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,
btd-gap_z3_t55s_E12,btd-gap_z3_t55s_E12_CARE_s20_0x0_w1676_h1028_fliph_f1-70.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,
btd-gap_z3_t55s_E14,btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.1.roi,btd,homozygote,lateral,left,TRUE,ant,EF,
btd-gap_z3_t55s_E14,btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.2.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-gap2_z3_t55s_E7,btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.1.roi,btd,homozygote,lateral,left,TRUE,ant,EF,
btd-gap2_z3_t55s_E7,btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.2.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-gap2_z3_t55s_E8,btd-gap2_z3_t55s_E8_CARE_s23_0x0_w1643_h1016_flipn_f41-110.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,"Checked potential anterior EF, but it wasn’t one"
btd-gap2_z3_t55s_E12,btd-gap2_z3_t55s_E12_CARE_s24_0x0_w1724_h1106_fliph_f48-117.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,
btd-gap2_z3_t55s_E14,,btd,homozygote,lateral,left,FALSE,,,No EFs in this embryo
btd-hisgap1_E7,btd-hisgap1_E7_CARE_s27_0x0_w1698_h918_fliph_f34-103.1.roi,btd,heterozygote,lateral,left,TRUE,mid,CF,
btd-hisgap1_E8,btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.1.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-hisgap1_E8,btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.2.roi,btd,homozygote,lateral,left,TRUE,mid,EF,
btd-hisgap1_E8,btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.3.roi,btd,homozygote,lateral,left,TRUE,post,EF,
eve-Gap_1_E13,eve-Gap_1_E13_CARE_s14_0x0_w1867_h1068_fliph_f11-80.1.roi,eve,homozygote,lateral,left,TRUE,post,EF,
eve-Gap_1_t45s_z3_E1,eve-Gap_1_t45s_z3_E1_CARE_s21_0x0_w1845_h974_flipn_f51-120.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,
eve-Gap_1_t45s_z3_E4,eve-Gap_1_t45s_z3_E4_CARE_s15_0x398_w1798_h960_fliph_f76-145.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,
eve-Gap_1_t45s_z3_E11,eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.1.roi,eve,homozygote,lateral,left,TRUE,ant,EF,
eve-Gap_1_t45s_z3_E11,eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.2.roi,eve,homozygote,lateral,left,TRUE,post,EF,
eve-Gap1_t60s_z3_E2,eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.1.roi,eve,homozygote,lateral,left,TRUE,mid,EF,
eve-Gap1_t60s_z3_E3,,eve,homozygote,lateral,left,TRUE,mid,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
eve-Gap1_t60s_z3_E3,,eve,homozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
eve-Gap1_t60s_z3_E2,eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.2.roi,eve,homozygote,lateral,left,TRUE,post,EF,
eve-Gap1_t60s_z3_E4,eve-Gap1_t60s_z3_E4_CARE_s20_0x334_w1850_h1040_fliph_f15-84.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,
eve-Gap1_t60s_z3_E4,,eve,heterozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
eve-Gap1_t60s_z3_E5,eve-Gap1_t60s_z3_E5_CARE_s24_0x172_w1794_h1070_fliph_f60-129.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,
eve-Gap1_t60s_z3_E5,,eve,heterozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
eve-Gap1_t60s_z3_E9,eve-Gap1_t60s_z3_E9_CARE_s18_0x96_w1801_h942_flipn_f16-85.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,
eve-Gap1_t60s_z3_E9,,eve,heterozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
eve-Gap1_t60s_z3_E11,eve-Gap1_t60s_z3_E11_CARE_s18_0x0_w1824_h1040_fliph_f26-95.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,"Checked potential anterior EF, but it wasn’t one"
eve-Gap1_t60s_z3_E12,eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.1.roi,eve,homozygote,lateral,left,TRUE,mid,EF,
eve-Gap1_t60s_z3_E12,eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.2.roi,eve,homozygote,lateral,left,TRUE,post,EF,
eve-Gap1_t60s_z3_E16,eve-Gap1_t60s_z3_E16_CARE_s15_0x0_w1799_h1052_flipn_f41-110.1.roi,eve,heterozygote,lateral,left,TRUE,mid,CF,"Checked potential anterior EF, but it wasn’t one"
eve-Gap1_t60s_z3_E16,,eve,heterozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
prd-Gap_1_t60s_E1,prd-Gap_1_t60s_E1_CARE_s20_0x0_w1795_h1026_flipn_f54-123.1.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,"Checked potential anterior EF, but it wasn’t one"
prd-Gap_1_t60s_E2,prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.1.roi,prd,heterozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E2,prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.2.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E2,prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.3.roi,prd,heterozygote,lateral,left,TRUE,post,EF,Checked. This is an EF next to MD6.
prd-Gap_1_t60s_E3,prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.1.roi,prd,heterozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E3,prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.2.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E4,prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.1.roi,prd,homozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E4,prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.2.roi,prd,homozygote,lateral,left,TRUE,mid,EF,At CF position but no IC
prd-Gap_1_t60s_E4,,prd,homozygote,lateral,left,TRUE,post,EF,EF present next to MD6 but can’t measure due to embryo orientation (too ventral)
prd-Gap_1_t60s_E5,prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.1.roi,prd,heterozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E5,prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.2.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,Maybe posterior EF
prd-Gap_1_t60s_E6,prd-Gap_1_t60s_E6_CARE_s21_0x0_w1720_h988_fliph_f41-110.1.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E7,prd-Gap_1_t60s_E7_CARE_s21_0x0_w1653_h1016_fliph_f17-86.1.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E8,prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.1.roi,prd,heterozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E8,prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.2.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E9,prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.1.roi,prd,homozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E9,prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.2.roi,prd,homozygote,lateral,left,TRUE,mid,EF,At CF position but no IC
prd-Gap_1_t60s_E9,prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.3.roi,prd,homozygote,lateral,left,TRUE,post,EF,
prd-Gap_1_t60s_E10,prd-Gap_1_t60s_E10_CARE_s24_0x224_w1706_h998_flipv_f43-112.1.roi,prd,homozygote,lateral,left,TRUE,ant,EF,"Checked. There’s a small EF, included new ROI"
