 	Label	Area	Perim.	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
1	DUP_wt_dorsal_control_2021-03-10_E1_equator.tif:0019-0402-0992:z:2/2 t:19/37 - controls #1	17.363	83.442	180	0.031	83.442	790.500	401.500	0	0	0.000	0.000	NaN	83.442
2	DUP_wt_dorsal_control_2021-03-10_E1_equator.tif:0018-0626-0994:z:2/2 t:18/37 - controls #1	20.551	98.698	180	0.027	98.698	756.000	626.000	0	0	0.000	0.000	NaN	98.698
3	DUP_wt_dorsal_control_2021-03-10_E2_equator.tif:0017-0397-0968:z:2/2 t:17/37 - controls #2	17.320	83.234	0	0.031	83.234	767.500	396.500	0	0	0.000	0.000	NaN	83.234
4	DUP_wt_dorsal_control_2021-03-10_E2_equator.tif:0017-0764-0972:z:2/2 t:17/37 - controls #2	16.544	79.498	180	0.033	79.498	780.500	763.500	0	0	0.000	0.000	NaN	79.498
5	DUP_wt_dorsal_control_2021-03-25_E5_equator.tif:0020-0352-0733:z:2/2 t:20/36 - Image 10 #5	9.048	43.419	180	0.060	43.419	629.000	352.000	0	0	0.000	0.000	NaN	43.419
6	DUP_wt_dorsal_control_2021-03-25_E5_equator.tif:0019-0711-0701:z:2/2 t:19/36 - Image 10 #5	9.522	45.637	180	0.057	45.637	590.500	710.500	0	0	0.000	0.000	NaN	45.637
7	DUP_eve_dorsal_control_heterozygous_2021-02-25_E4_equator.tif:0013-0365-0904:z:2/2 t:13/53 - Image 1 #4	23.427	89.931	180	0.036	89.931	731.000	365.000	0	0	0.000	0.000	NaN	89.931
8	DUP_eve_dorsal_control_heterozygous_2021-02-25_E4_equator.tif:0015-0698-0847:z:2/2 t:15/53 - Image 1 #4	10.906	41.753	180	0.079	41.753	766.500	697.500	0	0	0.000	0.000	NaN	41.753
9	DUP_btd_dorsal_cauterized_heterozygous_2021-03-03_E5_equator.tif:0027-0399-1198:z:2/2 t:27/50 - Image 15 #5	40.542	195.009	180	0.013	195.009	728.000	399.000	0	0	0.000	0.000	NaN	195.009
10	DUP_btd_dorsal_cauterized_heterozygous_2021-03-03_E5_equator.tif:0029-0731-1145:z:2/2 t:29/50 - Image 15 #5	39.422	189.612	180	0.014	189.612	688.000	731.000	0	0	0.000	0.000	NaN	189.612
11	DUP_wt_dorsal_cauterized_2021-03-27_E3_equator.tif:0006-0389-1138:z:2/2 t:6/25 - Image 44 #3	43.299	208.293	180	0.013	208.293	636.000	389.000	0	0	0.000	0.000	NaN	208.293
12	DUP_wt_dorsal_cauterized_2021-03-27_E3_equator.tif:0006-0694-1153:z:2/2 t:6/25 - Image 44 #3	41.705	200.613	180	0.013	200.613	670.000	694.000	0	0	0.000	0.000	NaN	200.613
13	DUP_wt_dorsal_cauterized_2021-03-25_E1_equator.tif:0018-0372-1251:z:2/2 t:18/36 - Image 10 #1	49.374	237.560	180	0.011	237.560	679.000	372.000	0	0	0.000	0.000	NaN	237.560
14	DUP_wt_dorsal_cauterized_2021-03-25_E1_equator.tif:0024-0718-1187:z:2/2 t:24/36 - Image 10 #1	42.265	203.311	180	0.013	203.311	697.000	718.000	0	0	0.000	0.000	NaN	203.311
15	DUP_wt_dorsal_cauterized_2021-03-24_E5_equator.tif:0012-0367-0979:z:2/2 t:12/37 - Image 22 #5	25.161	120.907	180	0.022	120.907	688.000	367.000	0	0	0.000	0.000	NaN	120.907
16	DUP_wt_dorsal_cauterized_2021-03-24_E5_equator.tif:0012-0672-1022:z:2/2 t:12/37 - Image 22 #5	21.240	102.019	180	0.026	102.019	776.000	672.000	0	0	0.000	0.000	NaN	102.019
