 	Label	Area	Perim.	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
1	DUP_wt_dorsal_control_2021-03-10_E1_equator.tif:0019-0255-0777:z:2/2 t:19/37 - controls #1	12.710	61.075	-84.735	0.043	61.075	763.500	108.500	95.265	0.000	0.000	0.000	NaN	61.075
2	DUP_wt_dorsal_control_2021-03-10_E1_equator.tif:0018-0781-0747:z:2/2 t:18/37 - controls #1	13.485	64.661	86.688	0.041	64.661	738.000	937.000	86.688	0.000	0.000	0.000	NaN	64.661
3	DUP_wt_dorsal_control_2021-03-10_E2_equator.tif:0017-0279-0745:z:2/2 t:17/37 - controls #2	10.383	49.747	100.700	0.053	49.747	723.000	161.000	100.700	0.000	0.000	0.000	NaN	49.747
4	DUP_wt_dorsal_control_2021-03-10_E2_equator.tif:0017-0885-0762:z:2/2 t:17/37 - controls #2	10.599	50.902	81.440	0.051	50.902	744.000	1006.000	81.440	8.882E-16	0.000	0.000	NaN	50.902
5	DUP_wt_dorsal_control_2021-03-25_E5_equator.tif:0020-0234-0630:z:2/2 t:20/36 - Image 10 #5	10.211	48.987	-90.486	0.053	48.987	629.000	352.000	89.514	5.551E-17	0.000	0.000	NaN	48.987
6	DUP_wt_dorsal_control_2021-03-25_E5_equator.tif:0019-0819-0587:z:2/2 t:19/36 - Image 10 #5	9.349	44.758	88.007	0.059	44.758	583.000	926.000	88.007	0.000	0.000	0.000	NaN	44.758
7	DUP_eve_dorsal_control_heterozygous_2021-02-25_E4_equator.tif:0013-0257-0724:z:2/2 t:13/53 - Image 1 #4	14.541	55.885	-86.540	0.059	55.885	718.000	150.000	93.460	4.441E-16	0.000	0.000	NaN	55.885
8	DUP_eve_dorsal_control_heterozygous_2021-02-25_E4_equator.tif:0015-0808-0758:z:2/2 t:15/53 - Image 1 #4	14.877	57.132	85.442	0.057	57.132	749.000	917.000	85.442	0.000	0.000	0.000	NaN	57.132
9	DUP_btd_dorsal_cauterized_heterozygous_2021-03-03_E5_equator.tif:0027-0283-0712:z:2/2 t:27/50 - Image 15 #5	10.082	48.378	-82.357	0.054	48.378	697.000	168.000	97.643	8.882E-16	0.000	0.000	NaN	48.378
10	DUP_btd_dorsal_cauterized_heterozygous_2021-03-03_E5_equator.tif:0029-0855-0660:z:2/2 t:29/50 - Image 15 #5	11.029	52.930	77.544	0.049	52.930	633.000	980.000	77.544	0.000	0.000	0.000	NaN	52.930
11	DUP_wt_dorsal_cauterized_2021-03-27_E3_equator.tif:0006-0273-0614:z:2/2 t:6/25 - Image 44 #3	10.168	48.810	-79.216	0.054	48.810	592.000	158.000	100.784	0.000	0.000	0.000	NaN	48.810
12	DUP_wt_dorsal_cauterized_2021-03-27_E3_equator.tif:0006-0811-0671:z:2/2 t:6/25 - Image 44 #3	10.125	48.572	90.490	0.054	48.572	670.000	694.000	90.490	5.551E-17	0.000	0.000	NaN	48.572
13	DUP_wt_dorsal_cauterized_2021-03-25_E1_equator.tif:0018-0260-0670:z:2/2 t:18/36 - Image 10 #1	9.694	46.422	-85.641	0.057	46.422	662.000	149.000	94.359	0.000	0.000	0.000	NaN	46.422
14	DUP_wt_dorsal_cauterized_2021-03-25_E1_equator.tif:0024-0828-0675:z:2/2 t:24/36 - Image 10 #1	9.694	46.569	78.690	0.056	46.569	653.000	938.000	78.690	1.776E-15	0.000	0.000	NaN	46.569
15	DUP_wt_dorsal_cauterized_2021-03-24_E5_equator.tif:0012-0229-0672:z:2/2 t:12/37 - Image 22 #5	11.977	57.466	-83.363	0.046	57.466	656.000	92.000	96.637	0.000	0.000	0.000	NaN	57.466
16	DUP_wt_dorsal_cauterized_2021-03-24_E5_equator.tif:0012-0768-0766:z:2/2 t:12/37 - Image 22 #5	8.401	40.254	84.378	0.065	40.254	757.000	865.000	84.378	0.000	0.000	0.000	NaN	40.254
17	DUP_btd_dorsal_control_heterozygous_2021-04-22_E3_equator.tif:0030-0230-0750:z:2/2 t:30/39 - Image 1 #3	13.313	63.951	-93.567	0.041	63.951	740.833	383.500	86.433	0	0.000	0.000	NaN	63.951
18	DUP_btd_dorsal_control_heterozygous_2021-04-22_E3_equator.tif:0030-0765-0643:z:2/2 t:30/39 - Image 1 #3	14.304	68.727	80.964	0.038	68.727	617.000	929.000	80.964	3.553E-15	0.000	0.000	NaN	68.727
19	DUP_eve_dorsal_control_heterozygous_2021-04-23_E3_equator.tif:0014-0232-0669:z:2/2 t:14/32 - Image 7 #3	11.633	55.903	-95.682	0.047	55.903	655.500	366.167	84.318	0	0.000	0.000	NaN	55.903
20	DUP_eve_dorsal_control_heterozygous_2021-04-23_E3_equator.tif:0015-0765-0647:z:2/2 t:15/32 - Image 7 #3	12.580	60.316	97.647	0.043	60.316	627.500	620.833	97.647	8.882E-16	0.000	0.000	NaN	60.316
21	DUP_eve_dorsal_control_heterozygous_2021-04-23_E4_equator.tif:0025-0301-0677:z:2/2 t:25/32 - Image 7 #4	11.331	54.383	-89.781	0.048	54.383	677.000	170.000	90.219	0.000	0.000	0.000	NaN	54.383
22	DUP_eve_dorsal_control_heterozygous_2021-04-23_E4_equator.tif:0025-0821-0687:z:2/2 t:25/32 - Image 7 #4	11.719	56.343	95.921	0.046	56.343	673.000	686.000	95.921	8.882E-16	0.000	0.000	NaN	56.343

