Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	209.422	0	9.756	0	207.359	8.925	0	207.361	207.852	255	255
2	209.938	0	34.664	0	207.359	33.418	0	207.363	207.975	255	255
3	210.196	0	59.572	0	207.359	58.119	0	207.364	208.037	255	255
4	209.852	0	84.480	0	207.359	83.442	0	207.361	207.955	255	255
5	209.852	0	109.803	0	207.359	108.765	0	207.361	207.955	255	255
6	209.508	0	134.296	0	207.359	133.258	0	207.361	207.873	255	255
7	210.368	0	159.203	0	207.359	157.751	0	207.364	208.070	255	255
8	209.766	0	184.111	0	207.359	182.866	0	207.363	207.910	255	255
9	209.852	0	208.812	0	207.359	208.189	0	207.360	207.955	255	255
10	209.852	0	234.135	0	207.359	232.682	0	207.364	207.955	255	255
11	209.938	0	258.420	0	207.359	257.590	0	207.361	207.975	255	255
12	210.024	0	283.951	0	207.359	282.083	0	207.367	207.984	255	255
13	209.766	0	308.859	0	207.359	307.198	0	207.366	207.934	255	255
14	210.110	0	333.767	0	207.359	332.106	0	207.366	208.017	255	255
15	209.594	0	358.675	0	207.359	357.014	0	207.366	207.893	255	255
16	209.852	0	384.413	0	207.359	381.715	0	207.376	207.955	255	255
17	210.196	0	408.906	0	207.359	406.623	0	207.371	208.021	255	255
18	210.454	0	433.399	0	207.359	431.323	0	207.369	208.049	255	255
19	210.540	0	458.307	0	207.359	456.854	0	207.364	208.119	255	255
20	210.454	0	483.422	0	207.359	481.347	0	207.369	208.099	255	255
