Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	211.228	0	12.039	0	207.359	11.001	0	207.361	208.307	255	255
2	210.884	0	36.947	0	207.359	36.324	0	207.360	208.223	255	255
3	212.002	0	61.647	0	207.359	60.402	0	207.363	208.587	255	255
4	211.314	0	86.555	0	207.359	85.725	0	207.361	208.328	255	255
5	212.518	0	110.840	0	207.359	110.425	0	207.359	208.672	255	255
6	213.463	0	135.748	0	207.359	135.541	0	207.359	208.979	255	255
7	214.667	0	160.656	0	207.359	159.203	0	207.364	209.365	255	255
8	217.160	0	185.149	0	207.359	185.149	0	207.359	210.635	255	255
9	218.364	0	210.265	0	207.359	209.850	0	207.359	211.127	255	255
10	219.568	0	234.965	0	207.359	234.550	0	207.359	212.060	255	255
11	222.319	0	259.251	0	207.359	258.835	0	207.359	215.307	255	255
12	217.676	0	283.536	0	207.359	283.951	0	207.359	211.722	255	255
13	214.667	0	308.651	0	207.359	309.689	0	207.361	209.523	255	255
14	213.377	0	333.352	0	207.359	333.352	0	207.359	209.084	255	255
15	212.861	0	357.845	0	207.359	358.260	0	207.359	208.868	255	255
16	212.861	0	382.753	0	207.359	383.583	0	207.361	208.712	255	255
17	212.947	0	407.453	0	207.359	408.491	0	207.361	208.717	255	255
18	211.228	0	432.361	0	207.359	432.984	0	207.360	208.292	255	255
19	213.033	0	457.061	0	207.359	456.646	0	207.359	208.800	255	255
20	212.432	0	481.762	0	207.359	481.969	0	207.359	208.610	255	255
