Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.368	0	9.756	0	207.359	8.718	0	207.361	208.081	255	255
2	210.540	0	34.456	0	207.359	33.833	0	207.360	208.107	255	255
3	210.454	0	59.572	0	207.359	57.911	0	207.366	208.099	255	255
4	210.626	0	84.064	0	207.359	82.404	0	207.366	208.132	255	255
5	210.626	0	109.388	0	207.359	107.727	0	207.366	208.140	255	255
6	211.056	0	134.296	0	207.359	132.427	0	207.367	208.218	255	255
7	212.432	0	158.581	0	207.359	157.128	0	207.364	208.539	255	255
8	212.346	0	183.281	0	207.359	182.036	0	207.363	208.551	255	255
9	212.432	0	207.774	0	207.359	206.736	0	207.361	208.589	255	255
10	213.205	0	233.512	0	207.359	231.852	0	207.366	208.890	255	255
11	214.753	0	257.590	0	207.359	256.345	0	207.363	210.076	255	255
12	213.205	0	282.290	0	207.359	281.460	0	207.361	209.058	255	255
13	213.033	0	306.991	0	207.359	306.161	0	207.361	209.008	255	255
14	213.635	0	332.314	0	207.359	331.691	0	207.360	209.369	255	255
15	213.377	0	356.807	0	207.359	356.807	0	207.359	209.286	255	255
16	212.947	0	381.715	0	207.359	381.507	0	207.359	209.338	255	255
17	212.947	0	406.415	0	207.359	405.377	0	207.361	209.347	255	255
18	214.151	0	431.738	0	207.359	429.870	0	207.367	210.183	255	255
19	215.097	0	455.608	0	207.359	455.193	0	207.359	210.552	255	255
20	215.871	0	480.516	0	207.359	479.894	0	207.360	210.563	255	255
