Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	265.754	0	7.784	0	259.199	7.524	0	259.199	260.756	255	255
2	267.689	0	39.438	0	259.199	39.178	0	259.199	261.391	255	255
3	266.722	0	70.573	0	259.199	70.573	0	259.199	261.142	255	255
4	266.399	0	102.226	0	259.199	101.967	0	259.199	260.929	255	255
5	267.044	0	133.880	0	259.199	132.583	0	259.202	261.175	255	255
6	266.937	0	166.053	0	259.199	163.978	0	259.207	261.174	255	255
7	267.151	0	196.410	0	259.199	195.372	0	259.201	261.118	255	255
8	266.614	0	227.026	0	259.199	226.247	0	259.200	261.107	255	255
9	270.483	0	257.123	0	259.199	257.382	0	259.199	262.265	255	255
10	268.334	0	289.036	0	259.199	288.777	0	259.199	261.718	255	255
11	274.245	0	320.690	0	259.199	321.209	0	259.199	264.131	255	255
12	277.146	0	350.787	0	259.199	353.122	0	259.209	266.339	255	255
13	272.203	0	382.182	0	259.199	383.479	0	259.202	263.118	255	255
14	273.062	0	413.317	0	259.199	415.133	0	259.205	263.676	255	255
15	276.287	0	446.008	0	259.199	446.787	0	259.200	265.023	255	255
16	270.698	0	476.365	0	259.199	477.143	0	259.200	262.590	255	255
17	270.483	0	508.019	0	259.199	509.316	0	259.202	262.590	255	255
18	268.011	0	539.932	0	259.199	540.970	0	259.201	261.493	255	255
19	268.871	0	572.105	0	259.199	574.700	0	259.212	261.734	255	255
20	271.558	0	603.500	0	259.199	604.797	0	259.202	263.122	255	255
