Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	213.463	0	9.963	0	207.359	8.095	0	207.367	208.856	255	255
2	215.183	0	37.362	0	207.359	33.418	0	207.396	209.629	255	255
3	214.495	0	60.609	0	207.359	57.911	0	207.376	209.327	255	255
4	214.925	0	85.102	0	207.359	84.687	0	207.359	209.278	255	255
5	214.925	0	108.972	0	207.359	107.312	0	207.366	209.338	255	255
6	213.549	0	134.088	0	207.359	131.597	0	207.374	208.979	255	255
7	215.011	0	159.411	0	207.359	155.882	0	207.389	209.421	255	255
8	214.839	0	185.772	0	207.359	180.998	0	207.414	209.452	255	255
9	213.721	0	209.019	0	207.359	206.113	0	207.379	208.917	255	255
10	214.925	0	233.720	0	207.359	231.229	0	207.374	209.338	255	255
11	215.441	0	259.043	0	207.359	257.798	0	207.363	209.448	255	255
12	216.472	0	283.328	0	207.359	282.498	0	207.361	210.133	255	255
13	219.482	0	307.821	0	207.359	304.708	0	207.382	211.198	255	255
14	216.730	0	334.182	0	207.359	330.238	0	207.396	209.976	255	255
15	216.730	0	358.260	0	207.359	355.561	0	207.376	209.980	255	255
16	219.654	0	383.583	0	207.359	380.884	0	207.376	211.604	255	255
17	217.762	0	407.661	0	207.359	405.792	0	207.367	210.634	255	255
18	218.278	0	433.606	0	207.359	430.908	0	207.376	210.880	255	255
19	216.644	0	458.929	0	207.359	455.608	0	207.385	209.928	255	255
20	215.355	0	483.837	0	207.359	478.648	0	207.424	209.388	255	255
21	216.730	0	506.670	0	207.359	503.971	0	207.376	210.070	255	255
22	216.215	0	533.031	0	207.359	528.672	0	207.405	209.795	255	255
23	217.418	0	557.524	0	207.359	553.580	0	207.396	210.109	255	255
24	216.043	0	582.639	0	207.359	578.280	0	207.405	209.598	255	255
25	215.097	0	606.509	0	207.359	602.773	0	207.393	209.297	255	255
26	214.667	0	632.663	0	207.359	627.889	0	207.414	209.445	255	255
27	215.527	0	656.533	0	207.359	653.419	0	207.382	209.661	255	255
28	215.097	0	681.026	0	207.359	678.535	0	207.374	209.548	255	255
29	214.667	0	706.349	0	207.359	702.405	0	207.396	209.222	255	255
30	215.613	0	731.049	0	207.359	727.313	0	207.393	209.494	255	255
