Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	209.422	0	9.756	0	207.359	10.171	0	207.359	207.852	255	255
2	209.680	0	34.664	0	207.359	34.871	0	207.359	207.944	255	255
3	209.422	0	59.156	0	207.359	59.572	0	207.359	207.828	255	255
4	209.594	0	84.272	0	207.359	84.272	0	207.359	207.893	255	255
5	209.164	0	108.972	0	207.359	109.180	0	207.359	207.791	255	255
6	209.594	0	134.088	0	207.359	133.673	0	207.359	207.896	255	255
7	210.712	0	157.958	0	207.359	158.166	0	207.359	208.156	255	255
8	211.314	0	182.866	0	207.359	182.866	0	207.359	208.320	255	255
9	212.088	0	207.151	0	207.359	208.189	0	207.361	208.738	255	255
10	213.549	0	232.474	0	207.359	233.305	0	207.361	209.304	255	255
11	214.151	0	256.760	0	207.359	257.798	0	207.361	209.378	255	255
12	213.807	0	281.875	0	207.359	282.913	0	207.361	208.989	255	255
13	214.065	0	307.613	0	207.359	308.029	0	207.359	209.147	255	255
14	215.011	0	333.144	0	207.359	332.937	0	207.359	209.491	255	255
15	217.160	0	358.052	0	207.359	358.467	0	207.359	211.366	255	255
16	219.224	0	382.130	0	207.359	382.960	0	207.361	212.053	255	255
17	223.371	0	406.830	0	207.359	408.076	0	207.363	215.604	255	255
18	219.568	0	431.946	0	207.359	432.776	0	207.361	212.238	255	255
19	219.912	0	456.439	0	207.359	456.854	0	207.359	212.128	255	255
20	218.622	0	481.139	0	207.359	482.177	0	207.361	211.329	255	255
21	217.246	0	506.047	0	207.359	506.670	0	207.360	210.778	255	255
22	218.794	0	530.332	0	207.359	531.785	0	207.364	211.168	255	255
23	216.988	0	555.863	0	207.359	555.863	0	207.359	210.073	255	255
24	218.450	0	580.979	0	207.359	581.186	0	207.359	211.085	255	255
25	220.771	0	606.509	0	207.359	606.509	0	207.359	213.030	255	255
26	219.310	0	631.002	0	207.359	630.794	0	207.359	211.747	255	255
27	218.880	0	656.325	0	207.359	656.325	0	207.359	211.384	255	255
28	215.699	0	681.441	0	207.359	681.648	0	207.359	210.032	255	255
29	214.323	0	706.556	0	207.359	705.934	0	207.360	209.226	255	255
30	213.463	0	730.634	0	207.359	730.426	0	207.359	208.926	255	255
