"Embryo","Stock","Sample","Mean","SD"
"2021-02-25_E4","eve","control",56.5085,0.881762156139625
"2021-03-03_E5","btd","cauterized",50.654,3.21875006796116
"2021-03-10_E1","wt","control",62.868,2.53568491733496
"2021-03-10_E2","wt","control",50.3245,0.816708332270463
"2021-03-25_E1","wt","cauterized",46.4955,0.103944696834426
"2021-03-25_E5","wt","control",46.8725,2.99035457763791
"2021-03-27_E3","wt","cauterized",48.691,0.168291413922398
"2021-04-22_E3","btd","control",66.339,3.37714198694695
"2021-04-23_E3","eve","control",58.1095,3.12046222537624
"2021-04-23_E4","eve","control",55.363,1.38592929112563
