"timepoint","minute","length","tortuosity","delta_length","stock","sample","embryo","side"
"TP01",0,213.549,1.02977711767145,0,"btd","cauterized","2021-02-16_E2","right"
"TP02",2.63,215.011,1.03675219032832,1.46199999999999,"btd","cauterized","2021-02-16_E2","right"
"TP03",5.26,214.839,1.03579796927883,1.28999999999999,"btd","cauterized","2021-02-16_E2","right"
"TP04",7.89,213.721,1.03058168859914,0.171999999999997,"btd","cauterized","2021-02-16_E2","right"
"TP05",10.52,214.925,1.03641247215176,1.376,"btd","cauterized","2021-02-16_E2","right"
"TP06",13.15,215.441,1.03895584072375,1.892,"btd","cauterized","2021-02-16_E2","right"
"TP07",15.78,216.472,1.04393786681198,2.923,"btd","cauterized","2021-02-16_E2","right"
"TP08",18.41,219.482,1.05834643315235,5.93299999999999,"btd","cauterized","2021-02-16_E2","right"
"TP09",21.04,216.73,1.04500568959864,3.18099999999998,"btd","cauterized","2021-02-16_E2","right"
"TP10",23.67,216.73,1.04510647326595,3.18099999999998,"btd","cauterized","2021-02-16_E2","right"
"TP11",26.3,219.654,1.0592064655505,6.10499999999999,"btd","cauterized","2021-02-16_E2","right"
"TP12",28.93,217.762,1.05012851610912,4.21299999999999,"btd","cauterized","2021-02-16_E2","right"
"TP13",31.56,218.278,1.05257117506365,4.72899999999998,"btd","cauterized","2021-02-16_E2","right"
"TP14",34.19,216.644,1.04464643055187,3.095,"btd","cauterized","2021-02-16_E2","right"
"TP15",36.82,215.355,1.03823569114471,1.80599999999998,"btd","cauterized","2021-02-16_E2","right"
"TP16",39.45,216.73,1.04510647326595,3.18099999999998,"btd","cauterized","2021-02-16_E2","right"
"TP17",42.08,216.215,1.04247727875413,2.666,"btd","cauterized","2021-02-16_E2","right"
"TP18",44.71,217.418,1.04832301490868,3.869,"btd","cauterized","2021-02-16_E2","right"
"TP19",47.34,216.043,1.04164798341409,2.494,"btd","cauterized","2021-02-16_E2","right"
"TP20",49.97,215.097,1.03714686609481,1.548,"btd","cauterized","2021-02-16_E2","right"
"TP01",0,213.119,1.02773826115052,0,"btd","cauterized","2021-02-16_E2","left"
"TP02",2.63,212.689,1.02550144648023,-0.430000000000007,"btd","cauterized","2021-02-16_E2","left"
"TP03",5.26,212.861,1.02643469203728,-0.25800000000001,"btd","cauterized","2021-02-16_E2","left"
"TP04",7.89,211.916,1.02186303536469,-1.203,"btd","cauterized","2021-02-16_E2","left"
"TP05",10.52,212.689,1.02570421346554,-0.430000000000007,"btd","cauterized","2021-02-16_E2","left"
"TP06",13.15,213.033,1.02734335440749,-0.0860000000000127,"btd","cauterized","2021-02-16_E2","left"
"TP07",15.78,212.518,1.02471153799791,-0.600999999999999,"btd","cauterized","2021-02-16_E2","left"
"TP08",18.41,213.549,1.02980194725345,0.430000000000007,"btd","cauterized","2021-02-16_E2","left"
"TP09",21.04,213.463,1.02939715576731,0.343999999999994,"btd","cauterized","2021-02-16_E2","left"
"TP10",23.67,213.549,1.02964802314368,0.430000000000007,"btd","cauterized","2021-02-16_E2","left"
"TP11",26.3,214.581,1.03475363353169,1.46199999999999,"btd","cauterized","2021-02-16_E2","left"
"TP12",28.93,211.658,1.02065832746632,-1.46100000000001,"btd","cauterized","2021-02-16_E2","left"
"TP13",31.56,213.893,1.03138124743834,0.774000000000001,"btd","cauterized","2021-02-16_E2","left"
