"label_tf","embryo","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep"
"3D_btd-gap_z3_t55s_E10.tif:0027-0212-0952:27","btd-gap_z3_t55s_E10","454","45","499","453","315","408","270","10.1321585903084","40.5286343612335","6","12","27"
"3D_btd-gap_z3_t55s_E12.tif:0031-0220-0970:31","btd-gap_z3_t55s_E12","482","36","518","475","311","439","275","8.92116182572614","42.9460580912863","5","14","31"
"3D_btd-gap_z3_t55s_E14.tif:0048-0189-0949:48","btd-gap_z3_t55s_E14","476","33","509","342","291","309","258","35.0840336134454","45.7983193277311","20","40","48"
"3D_btd-gap_z3_t55s_E3.tif:0070-0220-0967:70","btd-gap_z3_t55s_E3","462","45","507","459","303","414","258","10.3896103896104","44.1558441558442","43","54","70"
"3D_btd-gap_z3_t55s_E6.tif:0046-0219-0964:46","btd-gap_z3_t55s_E6","464","43","507","338","300","295","257","36.4224137931034","44.6120689655172","22","40","46"
"3D_btd-gap_z3_t55s_E8.tif:0063-0247-0948:63","btd-gap_z3_t55s_E8","507","17","524","334","318","317","301","37.4753451676529","40.6311637080868","29","57","63"
"3D_btd-gap2_z3_t55s_E12.tif:0072-0219-0979:71","btd-gap2_z3_t55s_E12","511","24","535","470","328","446","304","12.720156555773","40.5088062622309","47","56","72"
"3D_btd-gap2_z3_t55s_E7.tif:0056-0237-0946:55","btd-gap2_z3_t55s_E7","499","21","520","354","300","333","279","33.2665330661323","44.0881763527054","26","47","56"
"3D_btd-gap2_z3_t55s_E8.tif:0066-0212-0967:65","btd-gap2_z3_t55s_E8","478","37","515","468","325","431","288","9.8326359832636","39.7489539748954","43","51","66"
"3D_btd-hisgap1_E7.tif:0066-0221-0988:66","btd-hisgap1_E7","486","39","525","492","311","453","272","6.79012345679013","44.0329218106996","30","40","66"
"3D_btd-hisgap1_E8.tif:0115-0209-0952:115","btd-hisgap1_E8","474","35","509","321","289","286","254","39.662447257384","46.4135021097046","80","107","115"
"3D_eve-Gap_1_E13.tif:0042-0206-0963:41","eve-Gap_1_E13","521","4","525","351","313","347","309","33.3973128598848","40.6909788867562","13","35","42"
"3D_eve-Gap_1_t45s_z3_E1.tif:0086-0209-0971:85","eve-Gap_1_t45s_z3_E1","514","11","525","488","365","477","354","7.19844357976653","31.1284046692607","50","68","86"
"3D_eve-Gap_1_t45s_z3_E11.tif:0096-0203-0962:95","eve-Gap_1_t45s_z3_E11","515","8","523","378","309","370","301","28.1553398058252","41.5533980582524","49","81","96"
"3D_eve-Gap_1_t45s_z3_E4.tif:0112-0193-0965:111","eve-Gap_1_t45s_z3_E4","511","11","522","472","339","461","328","9.78473581213308","35.8121330724071","76","93","112"
"3D_eve-Gap1_t60s_z3_E11.tif:0051-0229-0963:50","eve-Gap1_t60s_z3_E11","504","14","518","495","356","481","342","4.56349206349206","32.1428571428571","26","36","51"
"3D_eve-Gap1_t60s_z3_E12.tif:0039-0223-0960:38","eve-Gap1_t60s_z3_E12","527","1","528","402","318","401","317","23.9089184060721","39.8481973434535","7","26","39"
"3D_eve-Gap1_t60s_z3_E16.tif:0070-0204-0986:69","eve-Gap1_t60s_z3_E16","504","20","524","478","302","458","282","9.12698412698413","44.047619047619","41","53","70"
"3D_eve-Gap1_t60s_z3_E2.tif:0038-0197-0974:37","eve-Gap1_t60s_z3_E2","512","13","525","394","366","381","353","25.5859375","31.0546875","6","28","38"
"3D_eve-Gap1_t60s_z3_E3.tif:0087-0205-0978:86","eve-Gap1_t60s_z3_E3","517","11","528","366","341","355","330","31.3346228239845","36.1702127659574","53","79","87"
"3D_eve-Gap1_t60s_z3_E4.tif:0046-0226-0976:45","eve-Gap1_t60s_z3_E4","518","10","528","475","318","465","308","10.2316602316602","40.5405405405405","16","31","46"
"3D_eve-Gap1_t60s_z3_E5.tif:0082-0202-0977:81","eve-Gap1_t60s_z3_E5","486","26","512","457","329","431","303","11.3168724279835","37.6543209876543","60","71","82"
"3D_eve-Gap1_t60s_z3_E9.tif:0041-0195-0967:40","eve-Gap1_t60s_z3_E9","499","17","516","468","326","451","309","9.61923847695391","38.0761523046092","14","25","41"
"3D_prd-Gap_1_t60s_E1.tif:0080-0266-0984:79","prd-Gap_1_t60s_E1","504","29","533","500","362","471","333","6.54761904761905","33.9285714285714","60","66","80"
"3D_prd-Gap_1_t60s_E10.tif:0067-0287-0998:66","prd-Gap_1_t60s_E10","482","44","526","439","316","395","272","18.0497925311203","43.5684647302905","46","55","67"
"3D_prd-Gap_1_t60s_E11.tif:0054-0285-1000:53","prd-Gap_1_t60s_E11","493","39","532","373","324","334","285","32.2515212981745","42.1906693711968","26","44","54"
"3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75","prd-Gap_1_t60s_E12","482","35","517","341","320","306","285","36.5145228215768","40.8713692946058","48","69","76"
"3D_prd-Gap_1_t60s_E13.tif:0071-0277-0990:70","prd-Gap_1_t60s_E13","523","21","544","336","303","315","282","39.7705544933078","46.0803059273423","40","61","71"
"3D_prd-Gap_1_t60s_E15.tif:0072-0296-0992:71","prd-Gap_1_t60s_E15","462","52","514","459","311","407","259","11.9047619047619","43.9393939393939","49","57","72"
"3D_prd-Gap_1_t60s_E16.tif:0073-0272-0994:72","prd-Gap_1_t60s_E16","485","41","526","313","303","272","262","43.9175257731959","45.979381443299","46","64","73"
"3D_prd-Gap_1_t60s_E2.tif:0078-0233-0990:77","prd-Gap_1_t60s_E2","489","38","527","391","339","353","301","27.8118609406953","38.4458077709611","53","72","78"
"3D_prd-Gap_1_t60s_E3.tif:0073-0240-0968:72","prd-Gap_1_t60s_E3","464","44","508","473","341","429","297","7.54310344827587","35.9913793103448","52","59","73"
"3D_prd-Gap_1_t60s_E4.tif:0079-0236-0978:78","prd-Gap_1_t60s_E4","500","29","529","369","332","340","303","32","39.4","52","72","79"
"3D_prd-Gap_1_t60s_E5.tif:0078-0247-0999:77","prd-Gap_1_t60s_E5","506","32","538","492","354","460","322","9.09090909090909","36.3636363636364","58","63","78"
"3D_prd-Gap_1_t60s_E6.tif:0070-0274-0974:69","prd-Gap_1_t60s_E6","492","32","524","479","359","447","327","9.14634146341463","33.5365853658537","49","56","70"
"3D_prd-Gap_1_t60s_E7.tif:0045-0254-0992:44","prd-Gap_1_t60s_E7","480","43","523","475","373","432","330","10","31.25","28","35","45"
"3D_prd-Gap_1_t60s_E8.tif:0084-0246-0962:83","prd-Gap_1_t60s_E8","485","32","517","390","319","358","287","26.1855670103093","40.8247422680412","59","74","84"
"3D_prd-Gap_1_t60s_E9.tif:0088-0273-0981:87","prd-Gap_1_t60s_E9","502","29","531","356","337","327","308","34.8605577689243","38.6454183266932","54","77","88"
"3D_rgap_1b_z3_t60s_E1.tif:0075-0215-0999:74","rgap_1b_z3_t60s_E1","502","35","537","496","316","461","281","8.16733067729083","44.0239043824701","45","55","75"
