"embryo","stock","zygosity","size","status","gb_pct","time"
"rgap_1b_z3_t60s_E1","wt","wildtype",502,"tf_buck",8.16733067729083,10
"rgap_1b_z3_t60s_E11","wt","wildtype",493,"tf_buck",10.5476673427992,5
"rgap_1b_z3_t60s_E12","wt","wildtype",515,"tf_buck",6.99029126213591,7
"rgap_1b_z3_t60s_E13","wt","wildtype",497,"tf_buck",9.45674044265593,8
"rgap_1b_z3_t60s_E14","wt","wildtype",493,"tf_buck",7.50507099391481,9
"rgap_1b_z3_t60s_E15","wt","wildtype",508,"tf_buck",8.85826771653542,10
"rgap_1b_z3_t60s_E16","wt","wildtype",502,"tf_buck",9.9601593625498,9
"rgap_1b_z3_t60s_E17","wt","wildtype",508,"tf_buck",8.66141732283464,11
"rgap_1b_z3_t60s_E2","wt","wildtype",483,"tf_buck",9.3167701863354,8
"rgap_1b_z3_t60s_E3","wt","wildtype",487,"tf_buck",6.16016427104724,7
"rgap_1b_z3_t60s_E4","wt","wildtype",492,"tf_buck",7.11382113821138,4
"rgap_1b_z3_t60s_E5","wt","wildtype",491,"tf_buck",10.183299389002,6
"rgap_1b_z3_t60s_E6","wt","wildtype",491,"tf_buck",12.4236252545825,7
"rgap_1b_z3_t60s_E7","wt","wildtype",491,"tf_buck",9.36863543788188,6
"rgap_1b_z3_t60s_E8","wt","wildtype",503,"tf_buck",5.36779324055667,3
"rgap_1b_z3_t60s_E9","wt","wildtype",503,"tf_buck",8.74751491053678,6
"rgap_1b_z3_t60s_E1","wt","wildtype",502,"tf_deep",44.0239043824701,30
"rgap_1b_z3_t60s_E11","wt","wildtype",493,"tf_deep",42.1906693711968,27
"rgap_1b_z3_t60s_E12","wt","wildtype",515,"tf_deep",42.5242718446602,28
"rgap_1b_z3_t60s_E13","wt","wildtype",497,"tf_deep",45.4728370221328,28
"rgap_1b_z3_t60s_E14","wt","wildtype",493,"tf_deep",42.393509127789,31
"rgap_1b_z3_t60s_E15","wt","wildtype",508,"tf_deep",41.5354330708661,33
"rgap_1b_z3_t60s_E16","wt","wildtype",502,"tf_deep",43.4262948207171,29
"rgap_1b_z3_t60s_E17","wt","wildtype",508,"tf_deep",42.9133858267717,34
"rgap_1b_z3_t60s_E2","wt","wildtype",483,"tf_deep",44.3064182194617,27
"rgap_1b_z3_t60s_E3","wt","wildtype",487,"tf_deep",39.0143737166324,23
"rgap_1b_z3_t60s_E4","wt","wildtype",492,"tf_deep",42.2764227642276,24
"rgap_1b_z3_t60s_E5","wt","wildtype",491,"tf_deep",38.0855397148676,20
"rgap_1b_z3_t60s_E6","wt","wildtype",491,"tf_deep",41.1405295315682,24
