"","embryo","label","x_ant","x_post","x_buck","x_deep","size","gb_pos_buck","gb_pos_deep","gb_pct_buck","gb_pct_deep","frame_gastr","frame_buck","frame_deep","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","time_buck","time_deep"
"1","btd-gap_z3_t55s_E10","3D_btd-gap_z3_t55s_E10.tif:0027-0212-0952:27",157,1747.5,1588.833,1103.5,1590.5,1431.833,946.5,9.97591952216284,40.4904118201823,6,12,27,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,5.5,19.25
"2","btd-gap_z3_t55s_E12","3D_btd-gap_z3_t55s_E12.tif:0031-0220-0970:31",127,1814,1664,1090,1687,1537,963,8.89152341434499,42.9164196799052,5,14,31,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,8.25,23.8333333333333
"3","btd-gap_z3_t55s_E14","3D_btd-gap_z3_t55s_E14.tif:0048-0189-0949:48",116,1782.167,1196.833,1018.167,1666.167,1080.833,902.167,35.1305721455292,45.8537469533366,20,40,48,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,18.3333333333333,25.6666666666667
"4","btd-gap_z3_t55s_E3","3D_btd-gap_z3_t55s_E3.tif:0070-0220-0967:70",158,1775.5,1610.167,1063.5,1617.5,1452.167,905.5,10.221514683153,44.0185471406491,43,54,70,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,10.0833333333333,24.75
"5","btd-gap_z3_t55s_E6","3D_btd-gap_z3_t55s_E6.tif:0046-0219-0964:46",150,1778.167,1186.167,1051.5,1628.167,1036.167,901.5,36.3599065697806,44.6309868705114,22,40,46,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,4,NA,4,TRUE,16.5,22
"6","btd-gap_z3_t55s_E8","3D_btd-gap_z3_t55s_E8.tif:0063-0247-0948:63",60,1836.833,1170.167,1114.167,1776.833,1110.167,1054.167,37.5199019829101,40.6715769011494,29,57,63,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,25.6666666666667,31.1666666666667
"7","btd-gap2_z3_t55s_E12","3D_btd-gap2_z3_t55s_E12.tif:0072-0219-0979:71",84,1875,1646,1151,1791,1562,1067,12.786152987158,40.4243439419319,47,56,72,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,8.25,22.9166666666667
"8","btd-gap2_z3_t55s_E7","3D_btd-gap2_z3_t55s_E7.tif:0056-0237-0946:55",72,1820.833,1240.833,1050.167,1748.833,1168.833,978.167,33.1649734422898,44.0674438325443,26,47,56,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,TRUE,19.25,27.5
"9","btd-gap2_z3_t55s_E8","3D_btd-gap2_z3_t55s_E8.tif:0066-0212-0967:65",130,1805,1639,1139,1675,1509,1009,9.91044776119404,39.7611940298507,43,51,66,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,7.33333333333333,21.0833333333333
"10","btd-hisgap1_E7","3D_btd-hisgap1_E7.tif:0066-0221-0988:66",136,1839.5,1723.5,1088.833,1703.5,1587.5,952.833,6.80950983269739,44.0661579101849,30,40,66,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,300,1,NA,1,FALSE,10,36
