"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_btd-gap_z3_t55s_E10.tif:0027-0102-1300:27","3D_btd-gap_z3_t55s_E10.tif","btd-gap_z3_t55s_E10","424","318","17","27","106","10","10.6"
"3D_btd-gap_z3_t55s_E12.tif:0026-0118-1382:26","3D_btd-gap_z3_t55s_E12.tif","btd-gap_z3_t55s_E12","441","348","16","26","93","10","9.3"
"3D_btd-gap_z3_t55s_E14.tif:0041-0072-1328:41","3D_btd-gap_z3_t55s_E14.tif","btd-gap_z3_t55s_E14","429","328","31","41","101","10","10.1"
"3D_btd-gap_z3_t55s_E3.tif:0067-0122-1338:67","3D_btd-gap_z3_t55s_E3.tif","btd-gap_z3_t55s_E3","441","323","57","67","118","10","11.8"
"3D_btd-gap_z3_t55s_E6.tif:0042-0125-1322:42","3D_btd-gap_z3_t55s_E6.tif","btd-gap_z3_t55s_E6","427","327","32","42","100","10","10"
"3D_btd-gap_z3_t55s_E8.tif:0056-0122-1386:56","3D_btd-gap_z3_t55s_E8.tif","btd-gap_z3_t55s_E8","446","345","46","56","101","10","10.1"
"3D_btd-gap-stg_1_z3_t45s_E12.tif:0073-0137-1349:72","3D_btd-gap-stg_1_z3_t45s_E12.tif","btd-gap-stg_1_z3_t45s_E12","423","347","63","73","76","10","7.6"
"3D_btd-gap-stg_1_z3_t45s_E3.tif:0073-0105-1298:72","3D_btd-gap-stg_1_z3_t45s_E3.tif","btd-gap-stg_1_z3_t45s_E3","415","326","63","73","89","10","8.9"
"3D_btd-gap-stg_1_z3_t45s_E8.tif:0050-0089-1367:49","3D_btd-gap-stg_1_z3_t45s_E8.tif","btd-gap-stg_1_z3_t45s_E8","434","346","40","50","88","10","8.8"
"3D_btd-gap-stg_1_z3_t45s_E9.tif:0096-0088-1493:95","3D_btd-gap-stg_1_z3_t45s_E9.tif","btd-gap-stg_1_z3_t45s_E9","448","404","86","96","44","10","4.4"
"3D_btd-gap-stg_3_z3_t53s_E11.tif:0081-0113-1362:80","3D_btd-gap-stg_3_z3_t53s_E11.tif","btd-gap-stg_3_z3_t53s_E11","425","353","71","81","72","10","7.2"
"3D_btd-gap-stg_3_z3_t53s_E12.tif:0034-0144-1266:33","3D_btd-gap-stg_3_z3_t53s_E12.tif","btd-gap-stg_3_z3_t53s_E12","418","304","24","34","114","10","11.4"
"3D_btd-gap-stg_3_z3_t53s_E13.tif:0070-0077-1292:69","3D_btd-gap-stg_3_z3_t53s_E13.tif","btd-gap-stg_3_z3_t53s_E13","425","313","60","70","112","10","11.2"
"3D_btd-gap-stg_3_z3_t53s_E14.tif:0083-0085-1271:82","3D_btd-gap-stg_3_z3_t53s_E14.tif","btd-gap-stg_3_z3_t53s_E14","414","311","73","83","103","10","10.3"
"3D_btd-gap-stg_3_z3_t53s_E2.tif:0089-0074-1477:88","3D_btd-gap-stg_3_z3_t53s_E2.tif","btd-gap-stg_3_z3_t53s_E2","446","397","79","89","49","10","4.9"
"3D_btd-gap-stg_3_z3_t53s_E3.tif:0050-0099-1347:49","3D_btd-gap-stg_3_z3_t53s_E3.tif","btd-gap-stg_3_z3_t53s_E3","437","331","40","50","106","10","10.6"
"3D_btd-gap-stg_4_z3_t59s_E1.tif:0011-0091-1222:10","3D_btd-gap-stg_4_z3_t59s_E1.tif","btd-gap-stg_4_z3_t59s_E1","405","292","1","11","113","10","11.3"
"3D_btd-gap-stg_4_z3_t59s_E10.tif:0035-0118-1251:34","3D_btd-gap-stg_4_z3_t59s_E10.tif","btd-gap-stg_4_z3_t59s_E10","404","310","25","35","94","10","9.4"
"3D_btd-gap-stg_4_z3_t59s_E11.tif:0079-0085-1239:78","3D_btd-gap-stg_4_z3_t59s_E11.tif","btd-gap-stg_4_z3_t59s_E11","402","304","69","79","98","10","9.8"
