"embryo","microns_per_frame","microns_per_second","microns_per_minute","stock","zygosity"
"rgap_1b_z3_t60s_E1",11.1,0.185,11.1,"wt","wildtype"
"rgap_1b_z3_t60s_E11",10.1,0.168333333333333,10.1,"wt","wildtype"
"rgap_1b_z3_t60s_E12",10.4,0.173333333333333,10.4,"wt","wildtype"
"rgap_1b_z3_t60s_E13",9.5,0.158333333333333,9.5,"wt","wildtype"
"rgap_1b_z3_t60s_E14",10.4,0.173333333333333,10.4,"wt","wildtype"
"rgap_1b_z3_t60s_E15",9.5,0.158333333333333,9.5,"wt","wildtype"
"rgap_1b_z3_t60s_E16",9.7,0.161666666666667,9.7,"wt","wildtype"
"rgap_1b_z3_t60s_E17",10.2,0.17,10.2,"wt","wildtype"
"rgap_1b_z3_t60s_E2",10.3,0.171666666666667,10.3,"wt","wildtype"
"rgap_1b_z3_t60s_E3",10.6,0.176666666666667,10.6,"wt","wildtype"
"rgap_1b_z3_t60s_E4",9.7,0.161666666666667,9.7,"wt","wildtype"
"rgap_1b_z3_t60s_E5",10.7,0.178333333333333,10.7,"wt","wildtype"
"rgap_1b_z3_t60s_E6",9.4,0.156666666666667,9.4,"wt","wildtype"
"rgap_1b_z3_t60s_E7",10.1,0.168333333333333,10.1,"wt","wildtype"
"rgap_1b_z3_t60s_E8",10.9,0.181666666666667,10.9,"wt","wildtype"
"rgap_1b_z3_t60s_E9",10.1,0.168333333333333,10.1,"wt","wildtype"
"btd-gap_z3_t55s_E10",10.6,0.192727272727273,11.5636363636364,"btd","heterozygote"
"btd-gap_z3_t55s_E12",9.3,0.169090909090909,10.1454545454545,"btd","heterozygote"
"btd-gap_z3_t55s_E14",10.1,0.183636363636364,11.0181818181818,"btd","homozygote"
"btd-gap_z3_t55s_E3",11.8,0.214545454545455,12.8727272727273,"btd","heterozygote"
"btd-gap_z3_t55s_E6",10,0.181818181818182,10.9090909090909,"btd","homozygote"
"btd-gap_z3_t55s_E8",10.1,0.183636363636364,11.0181818181818,"btd","homozygote"
"btd-gap2_z3_t55s_E12",8.4,0.152727272727273,9.16363636363636,"btd","heterozygote"
