"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap_z3_t55s_E10","3D_btd-gap_z3_t55s_E10.tif:0027-0102-1300:27","3D_btd-gap_z3_t55s_E10.tif",424,318,17,27,106,10,10.6,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.192727272727273,11.5636363636364
"btd-gap_z3_t55s_E12","3D_btd-gap_z3_t55s_E12.tif:0026-0118-1382:26","3D_btd-gap_z3_t55s_E12.tif",441,348,16,26,93,10,9.3,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.169090909090909,10.1454545454545
"btd-gap_z3_t55s_E14","3D_btd-gap_z3_t55s_E14.tif:0041-0072-1328:41","3D_btd-gap_z3_t55s_E14.tif",429,328,31,41,101,10,10.1,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,0.183636363636364,11.0181818181818
"btd-gap_z3_t55s_E3","3D_btd-gap_z3_t55s_E3.tif:0067-0122-1338:67","3D_btd-gap_z3_t55s_E3.tif",441,323,57,67,118,10,11.8,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.214545454545455,12.8727272727273
"btd-gap_z3_t55s_E6","3D_btd-gap_z3_t55s_E6.tif:0042-0125-1322:42","3D_btd-gap_z3_t55s_E6.tif",427,327,32,42,100,10,10,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,4,NA,4,TRUE,0.181818181818182,10.9090909090909
"btd-gap_z3_t55s_E8","3D_btd-gap_z3_t55s_E8.tif:0056-0122-1386:56","3D_btd-gap_z3_t55s_E8.tif",446,345,46,56,101,10,10.1,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,0.183636363636364,11.0181818181818
"btd-gap-stg_1_z3_t45s_E12","3D_btd-gap-stg_1_z3_t45s_E12.tif:0073-0137-1349:72","3D_btd-gap-stg_1_z3_t45s_E12.tif",423,347,63,73,76,10,7.6,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,1,NA,1,TRUE,0.168888888888889,10.1333333333333
"btd-gap-stg_1_z3_t45s_E3","3D_btd-gap-stg_1_z3_t45s_E3.tif:0073-0105-1298:72","3D_btd-gap-stg_1_z3_t45s_E3.tif",415,326,63,73,89,10,8.9,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,3,NA,3,TRUE,0.197777777777778,11.8666666666667
"btd-gap-stg_1_z3_t45s_E8","3D_btd-gap-stg_1_z3_t45s_E8.tif:0050-0089-1367:49","3D_btd-gap-stg_1_z3_t45s_E8.tif",434,346,40,50,88,10,8.8,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,45,260,1,NA,1,FALSE,0.195555555555556,11.7333333333333
"btd-gap-stg_1_z3_t45s_E9","3D_btd-gap-stg_1_z3_t45s_E9.tif:0096-0088-1493:95","3D_btd-gap-stg_1_z3_t45s_E9.tif",448,404,86,96,44,10,4.4,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,0,NA,0,FALSE,0.0977777777777778,5.86666666666667
"btd-gap-stg_3_z3_t53s_E11","3D_btd-gap-stg_3_z3_t53s_E11.tif:0081-0113-1362:80","3D_btd-gap-stg_3_z3_t53s_E11.tif",425,353,71,81,72,10,7.2,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,53,203,2,NA,2,TRUE,0.135849056603774,8.15094339622642
"btd-gap-stg_3_z3_t53s_E12","3D_btd-gap-stg_3_z3_t53s_E12.tif:0034-0144-1266:33","3D_btd-gap-stg_3_z3_t53s_E12.tif",418,304,24,34,114,10,11.4,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.215094339622642,12.9056603773585
"btd-gap-stg_3_z3_t53s_E13","3D_btd-gap-stg_3_z3_t53s_E13.tif:0070-0077-1292:69","3D_btd-gap-stg_3_z3_t53s_E13.tif",425,313,60,70,112,10,11.2,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.211320754716981,12.6792452830189
"btd-gap-stg_3_z3_t53s_E14","3D_btd-gap-stg_3_z3_t53s_E14.tif:0083-0085-1271:82","3D_btd-gap-stg_3_z3_t53s_E14.tif",414,311,73,83,103,10,10.3,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.194339622641509,11.6603773584906
"btd-gap-stg_3_z3_t53s_E2","3D_btd-gap-stg_3_z3_t53s_E2.tif:0089-0074-1477:88","3D_btd-gap-stg_3_z3_t53s_E2.tif",446,397,79,89,49,10,4.9,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,TRUE,0.0924528301886792,5.54716981132075
"btd-gap-stg_3_z3_t53s_E3","3D_btd-gap-stg_3_z3_t53s_E3.tif:0050-0099-1347:49","3D_btd-gap-stg_3_z3_t53s_E3.tif",437,331,40,50,106,10,10.6,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.2,12
"btd-gap-stg_4_z3_t59s_E1","3D_btd-gap-stg_4_z3_t59s_E1.tif:0011-0091-1222:10","3D_btd-gap-stg_4_z3_t59s_E1.tif",405,292,1,11,113,10,11.3,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.191525423728814,11.4915254237288
"btd-gap-stg_4_z3_t59s_E10","3D_btd-gap-stg_4_z3_t59s_E10.tif:0035-0118-1251:34","3D_btd-gap-stg_4_z3_t59s_E10.tif",404,310,25,35,94,10,9.4,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,59,172,2,NA,2,TRUE,0.159322033898305,9.5593220338983
"btd-gap-stg_4_z3_t59s_E11","3D_btd-gap-stg_4_z3_t59s_E11.tif:0079-0085-1239:78","3D_btd-gap-stg_4_z3_t59s_E11.tif",402,304,69,79,98,10,9.8,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.166101694915254,9.96610169491525
"btd-gap-stg_4_z3_t59s_E13","3D_btd-gap-stg_4_z3_t59s_E13.tif:0066-0188-1407:65","3D_btd-gap-stg_4_z3_t59s_E13.tif",437,366,56,66,71,10,7.1,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.120338983050847,7.22033898305085
