"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","time_md_start","gb_pct_md_start","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap_z3_t55s_E10","3D_btd-gap_z3_t55s_E10.tif:0027-0102-1300:27","3D_btd-gap_z3_t55s_E10.tif",424,318,17,27,106,10,10.6,"3D_btd-gap_z3_t55s_E10.tif:0027-0212-0952:27",454,45,499,453,315,408,270,10.1321585903084,40.5286343612335,6,12,27,5.5,19.25,"3D_btd-gap_z3_t55s_E10.tif:0023-0094-1337:23",406,357,19,23,11.9166666666667,20.4845814977974,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.192727272727273,11.5636363636364
"btd-gap_z3_t55s_E12","3D_btd-gap_z3_t55s_E12.tif:0026-0118-1382:26","3D_btd-gap_z3_t55s_E12.tif",441,348,16,26,93,10,9.3,"3D_btd-gap_z3_t55s_E12.tif:0031-0220-0970:31",482,36,518,475,311,439,275,8.92116182572614,42.9460580912863,5,14,31,8.25,23.8333333333333,"3D_btd-gap_z3_t55s_E12.tif:0023-0105-1379:23",418,369,19,23,12.8333333333333,20.746887966805,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.169090909090909,10.1454545454545
"btd-gap_z3_t55s_E14","3D_btd-gap_z3_t55s_E14.tif:0041-0072-1328:41","3D_btd-gap_z3_t55s_E14.tif",429,328,31,41,101,10,10.1,"3D_btd-gap_z3_t55s_E14.tif:0048-0189-0949:48",476,33,509,342,291,309,258,35.0840336134454,45.7983193277311,20,40,48,18.3333333333333,25.6666666666667,"3D_btd-gap_z3_t55s_E14.tif:0040-0062-1258:40",376,342,36,40,14.6666666666667,27.9411764705882,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,0.183636363636364,11.0181818181818
"btd-gap_z3_t55s_E3","3D_btd-gap_z3_t55s_E3.tif:0067-0122-1338:67","3D_btd-gap_z3_t55s_E3.tif",441,323,57,67,118,10,11.8,"3D_btd-gap_z3_t55s_E3.tif:0070-0220-0967:70",462,45,507,459,303,414,258,10.3896103896104,44.1558441558442,43,54,70,10.0833333333333,24.75,"3D_btd-gap_z3_t55s_E3.tif:0065-0104-1248:65",369,343,62,65,17.4166666666667,29.8701298701299,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,0.214545454545455,12.8727272727273
"btd-gap_z3_t55s_E6","3D_btd-gap_z3_t55s_E6.tif:0042-0125-1322:42","3D_btd-gap_z3_t55s_E6.tif",427,327,32,42,100,10,10,"3D_btd-gap_z3_t55s_E6.tif:0046-0219-0964:46",464,43,507,338,300,295,257,36.4224137931034,44.6120689655172,22,40,46,16.5,22,"3D_btd-gap_z3_t55s_E6.tif:0041-0098-1228:41",368,333,37,41,13.75,29.9568965517241,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,4,NA,4,TRUE,0.181818181818182,10.9090909090909
"btd-gap_z3_t55s_E8","3D_btd-gap_z3_t55s_E8.tif:0056-0122-1386:56","3D_btd-gap_z3_t55s_E8.tif",446,345,46,56,101,10,10.1,"3D_btd-gap_z3_t55s_E8.tif:0063-0247-0948:63",507,17,524,334,318,317,301,37.4753451676529,40.6311637080868,29,57,63,25.6666666666667,31.1666666666667,"3D_btd-gap_z3_t55s_E8.tif:0057-0104-1230:57",370,331,53,57,22,30.3747534516765,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,0.183636363636364,11.0181818181818
"btd-gap-stg_1_z3_t45s_E12","3D_btd-gap-stg_1_z3_t45s_E12.tif:0073-0137-1349:72","3D_btd-gap-stg_1_z3_t45s_E12.tif",423,347,63,73,76,10,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,1,NA,1,TRUE,0.168888888888889,10.1333333333333
"btd-gap-stg_1_z3_t45s_E3","3D_btd-gap-stg_1_z3_t45s_E3.tif:0073-0105-1298:72","3D_btd-gap-stg_1_z3_t45s_E3.tif",415,326,63,73,89,10,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,3,NA,3,TRUE,0.197777777777778,11.8666666666667
"btd-gap-stg_1_z3_t45s_E8","3D_btd-gap-stg_1_z3_t45s_E8.tif:0050-0089-1367:49","3D_btd-gap-stg_1_z3_t45s_E8.tif",434,346,40,50,88,10,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,45,260,1,NA,1,FALSE,0.195555555555556,11.7333333333333
"btd-gap-stg_1_z3_t45s_E9","3D_btd-gap-stg_1_z3_t45s_E9.tif:0096-0088-1493:95","3D_btd-gap-stg_1_z3_t45s_E9.tif",448,404,86,96,44,10,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-29_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double homozygote","lateral",0.2853696,0.2853696,3,NA,45,260,0,NA,0,FALSE,0.0977777777777778,5.86666666666667
