"embryo","stock","zygosity","microns_per_minute","gb_pct_tf_buck","gb_pct_md_start","time_tf_buck","time_md_start"
"rgap_1b_z3_t60s_E1","wt","wildtype",11.1,8.16733067729083,22.3107569721116,10,18
"rgap_1b_z3_t60s_E11","wt","wildtype",10.1,10.5476673427992,22.920892494929,5,13
"rgap_1b_z3_t60s_E12","wt","wildtype",10.4,6.99029126213591,20.3883495145631,7,14
"rgap_1b_z3_t60s_E13","wt","wildtype",9.5,9.45674044265593,22.5352112676056,8,14
"rgap_1b_z3_t60s_E14","wt","wildtype",10.4,7.50507099391481,20.8924949290061,9,17
"rgap_1b_z3_t60s_E15","wt","wildtype",9.5,8.85826771653542,20.6692913385827,10,18
"rgap_1b_z3_t60s_E16","wt","wildtype",9.7,9.9601593625498,24.1035856573705,9,17
"rgap_1b_z3_t60s_E17","wt","wildtype",10.2,8.66141732283464,19.8818897637795,11,18
"rgap_1b_z3_t60s_E2","wt","wildtype",10.3,9.3167701863354,23.3954451345756,8,14
"rgap_1b_z3_t60s_E3","wt","wildtype",10.6,6.16016427104724,20.1232032854209,7,15
"rgap_1b_z3_t60s_E4","wt","wildtype",9.7,7.11382113821138,19.7154471544715,4,11
"rgap_1b_z3_t60s_E5","wt","wildtype",10.7,10.183299389002,21.1812627291242,6,13
"rgap_1b_z3_t60s_E6","wt","wildtype",9.4,12.4236252545825,23.0142566191446,7,13
"rgap_1b_z3_t60s_E7","wt","wildtype",10.1,9.36863543788188,24.847250509165,6,15
"rgap_1b_z3_t60s_E8","wt","wildtype",10.9,5.36779324055667,18.6878727634195,3,12
"rgap_1b_z3_t60s_E9","wt","wildtype",10.1,8.74751491053678,18.8866799204771,6,11
"btd-gap_z3_t55s_E10","btd","heterozygote",11.5636363636364,10.1321585903084,20.4845814977974,5.5,11.9166666666667
"btd-gap_z3_t55s_E12","btd","heterozygote",10.1454545454545,8.92116182572614,20.746887966805,8.25,12.8333333333333
"btd-gap_z3_t55s_E14","btd","homozygote",11.0181818181818,35.0840336134454,27.9411764705882,18.3333333333333,14.6666666666667
"btd-gap_z3_t55s_E3","btd","heterozygote",12.8727272727273,10.3896103896104,29.8701298701299,10.0833333333333,17.4166666666667
"btd-gap_z3_t55s_E6","btd","homozygote",10.9090909090909,36.4224137931034,29.9568965517241,16.5,13.75
"btd-gap_z3_t55s_E8","btd","homozygote",11.0181818181818,37.4753451676529,30.3747534516765,25.6666666666667,22
"btd-gap2_z3_t55s_E12","btd","heterozygote",9.16363636363636,12.720156555773,17.8082191780822,8.25,11.9166666666667
"btd-gap2_z3_t55s_E14","btd","homozygote",8.18181818181818,NA,NA,NA,NA
"btd-gap2_z3_t55s_E7","btd","homozygote",8.50909090909091,33.2665330661323,24.4488977955912,19.25,14.6666666666667
"btd-gap2_z3_t55s_E8","btd","heterozygote",11.7818181818182,9.8326359832636,20.5020920502092,7.33333333333333,12.8333333333333
"btd-HisGap_z3_t51s_E11","btd","homozygote",6.70588235294118,NA,NA,NA,NA
"btd-HisGap_z3_t51s_E14","btd","heterozygote",9.76470588235294,NA,NA,NA,NA
"btd-HisGap_z3_t51s_E4","btd","heterozygote",11.7647058823529,NA,NA,NA,NA
"btd-HisGap_z3_t51s_E7","btd","heterozygote",8.11764705882353,NA,NA,NA,NA
"btd-hisgap1_E7","btd","heterozygote",8.5,6.79012345679013,23.2510288065844,10,21
"btd-hisgap1_E8","btd","homozygote",9.4,39.662447257384,27.6371308016878,27,20
"eve-Gap_1_E13","eve","homozygote",9.6,33.3973128598848,22.4568138195777,22,16
"eve-Gap_1_t45s_z3_E1","eve","heterozygote",9.86666666666667,7.19844357976653,16.3424124513619,13.5,18.75
"eve-Gap_1_t45s_z3_E11","eve","homozygote",9.6,28.1553398058252,18.252427184466,24,18.75
"eve-Gap_1_t45s_z3_E4","eve","heterozygote",10,9.78473581213308,19.5694716242661,12.75,18.75
