"label_md","embryo","x_md_start","x_md_split","frame_md_start","frame_md_split"
"3D_btd-gap_z3_t55s_E10.tif:0023-0094-1337:23","btd-gap_z3_t55s_E10","406","357","19","23"
"3D_btd-gap_z3_t55s_E12.tif:0023-0105-1379:23","btd-gap_z3_t55s_E12","418","369","19","23"
"3D_btd-gap_z3_t55s_E14.tif:0040-0062-1258:40","btd-gap_z3_t55s_E14","376","342","36","40"
"3D_btd-gap_z3_t55s_E3.tif:0065-0104-1248:65","btd-gap_z3_t55s_E3","369","343","62","65"
"3D_btd-gap_z3_t55s_E6.tif:0041-0098-1228:41","btd-gap_z3_t55s_E6","368","333","37","41"
"3D_btd-gap_z3_t55s_E8.tif:0057-0104-1230:57","btd-gap_z3_t55s_E8","370","331","53","57"
"3D_btd-gap2_z3_t55s_E12.tif:0065-0093-1460:64","btd-gap2_z3_t55s_E12","444","389","60","65"
"3D_btd-gap2_z3_t55s_E14.tif:0055-0065-1361:54","btd-gap2_z3_t55s_E14","416","361","49","55"
"3D_btd-gap2_z3_t55s_E7.tif:0046-0106-1336:45","btd-gap2_z3_t55s_E7","398","365","42","46"
"3D_btd-gap2_z3_t55s_E8.tif:0061-0098-1377:60","btd-gap2_z3_t55s_E8","417","369","57","61"
"3D_btd-hisgap1_E7.tif:0056-0107-1369:56","btd-hisgap1_E7","412","369","51","56"
"3D_btd-hisgap1_E8.tif:0105-0107-1256:105","btd-hisgap1_E8","378","339","100","105"
"3D_eve-Gap_1_E13.tif:0033-0069-1408:32","eve-Gap_1_E13","408","366","29","33"
"3D_eve-Gap_1_t45s_z3_E1.tif:0082-0094-1506:81","eve-Gap_1_t45s_z3_E1","441","389","75","82"
"3D_eve-Gap_1_t45s_z3_E11.tif:0079-0084-1478:78","eve-Gap_1_t45s_z3_E11","429","387","74","79"
"3D_eve-Gap_1_t45s_z3_E4.tif:0107-0086-1452:106","eve-Gap_1_t45s_z3_E4","422","379","101","107"
"3D_eve-Gap1_t60s_z3_E11.tif:0048-0105-1526:47","eve-Gap1_t60s_z3_E11","447","394","43","48"
"3D_eve-Gap1_t60s_z3_E12.tif:0029-0092-1441:28","eve-Gap1_t60s_z3_E12","418","377","24","29"
"3D_eve-Gap1_t60s_z3_E16.tif:0063-0077-1449:62","eve-Gap1_t60s_z3_E16","430","369","58","63"
"3D_eve-Gap1_t60s_z3_E2.tif:0027-0073-1498:26","eve-Gap1_t60s_z3_E2","431","396","23","27"
"3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73","eve-Gap1_t60s_z3_E3","449","400","69","74"
"3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39","eve-Gap1_t60s_z3_E4","418","380","36","40"
"3D_eve-Gap1_t60s_z3_E5.tif:0081-0076-1346:80","eve-Gap1_t60s_z3_E5","400","342","76","81"
"3D_eve-Gap1_t60s_z3_E9.tif:0038-0073-1334:37","eve-Gap1_t60s_z3_E9","385","351","34","38"
"3D_prd-Gap_1_t60s_E1.tif:0076-0105-1480:75","prd-Gap_1_t60s_E1","446","399","72","76"
"3D_prd-Gap_1_t60s_E10.tif:0062-0187-1318:61","prd-Gap_1_t60s_E10","398","354","58","62"
"3D_prd-Gap_1_t60s_E11.tif:0043-0160-1467:42","prd-Gap_1_t60s_E11","453","383","37","43"
"3D_prd-Gap_1_t60s_E12.tif:0068-0112-1328:67","prd-Gap_1_t60s_E12","408","350","62","68"
"3D_prd-Gap_1_t60s_E13.tif:0058-0150-1380:57","prd-Gap_1_t60s_E13","425","362","53","58"
"3D_prd-Gap_1_t60s_E15.tif:0068-0194-1268:67","prd-Gap_1_t60s_E15","385","338","63","68"
"3D_prd-Gap_1_t60s_E16.tif:0060-0148-1315:59","prd-Gap_1_t60s_E16","397","354","56","60"
"3D_prd-Gap_1_t60s_E2.tif:0072-0133-1463:71","prd-Gap_1_t60s_E2","444","391","67","72"
"3D_prd-Gap_1_t60s_E3.tif:0069-0118-1382:68","prd-Gap_1_t60s_E3","409","380","65","69"
"3D_prd-Gap_1_t60s_E4.tif:0073-0120-1374:72","prd-Gap_1_t60s_E4","423","361","67","73"
"3D_prd-Gap_1_t60s_E5.tif:0075-0118-1427:74","prd-Gap_1_t60s_E5","435","379","69","75"
"3D_prd-Gap_1_t60s_E6.tif:0068-0133-1445:67","prd-Gap_1_t60s_E6","444","380","62","68"
"3D_prd-Gap_1_t60s_E7.tif:0047-0120-1329:46","prd-Gap_1_t60s_E7","409","349","42","47"
"3D_prd-Gap_1_t60s_E8.tif:0077-0116-1351:76","prd-Gap_1_t60s_E8","413","358","72","77"
"3D_prd-Gap_1_t60s_E9.tif:0073-0127-1421:72","prd-Gap_1_t60s_E9","430","380","68","73"
"3D_rgap_1b_z3_t60s_E1.tif:0069-0097-1355:68","rgap_1b_z3_t60s_E1","425","350","63","69"
"3D_rgap_1b_z3_t60s_E11.tif:0063-0099-1386:62","rgap_1b_z3_t60s_E11","417","375","60","63"
"3D_rgap_1b_z3_t60s_E12.tif:0065-0147-1413:64","rgap_1b_z3_t60s_E12","435","373","60","65"
"3D_rgap_1b_z3_t60s_E13.tif:0054-0113-1362:53","rgap_1b_z3_t60s_E13","416","362","49","54"
"3D_rgap_1b_z3_t60s_E14.tif:0052-0129-1385:51","rgap_1b_z3_t60s_E14","425","366","47","52"
"3D_rgap_1b_z3_t60s_E15.tif:0071-0179-1415:70","rgap_1b_z3_t60s_E15","434","375","66","71"
"3D_rgap_1b_z3_t60s_E16.tif:0047-0130-1326:46","rgap_1b_z3_t60s_E16","409","349","41","47"
"3D_rgap_1b_z3_t60s_E17.tif:0068-0160-1397:67","rgap_1b_z3_t60s_E17","434","365","62","68"
"3D_rgap_1b_z3_t60s_E2.tif:0080-0170-1333:79","rgap_1b_z3_t60s_E2","409","352","75","80"
"3D_rgap_1b_z3_t60s_E3.tif:0046-0164-1385:45","rgap_1b_z3_t60s_E3","422","370","42","46"
"3D_rgap_1b_z3_t60s_E4.tif:0065-0091-1404:64","rgap_1b_z3_t60s_E4","426","376","61","65"
"3D_rgap_1b_z3_t60s_E5.tif:0072-0093-1371:71","rgap_1b_z3_t60s_E5","420","364","67","72"
"3D_rgap_1b_z3_t60s_E6.tif:0071-0144-1365:70","rgap_1b_z3_t60s_E6","415","365","66","71"
"3D_rgap_1b_z3_t60s_E7.tif:0064-0088-1330:63","rgap_1b_z3_t60s_E7","407","354","59","64"
"3D_rgap_1b_z3_t60s_E8.tif:0054-0106-1412:53","rgap_1b_z3_t60s_E8","435","372","49","54"
"3D_rgap_1b_z3_t60s_E9.tif:0073-0080-1400:72","rgap_1b_z3_t60s_E9","435","365","67","73"
