"embryo","stock","zygosity","size","status","gb_pct","time"
"rgap_1b_z3_t60s_E1","wt","wildtype",502,"tf_buck",8.16733067729083,10
"rgap_1b_z3_t60s_E11","wt","wildtype",493,"tf_buck",10.5476673427992,5
"rgap_1b_z3_t60s_E12","wt","wildtype",515,"tf_buck",6.99029126213591,7
"rgap_1b_z3_t60s_E13","wt","wildtype",497,"tf_buck",9.45674044265593,8
"rgap_1b_z3_t60s_E14","wt","wildtype",493,"tf_buck",7.50507099391481,9
"rgap_1b_z3_t60s_E15","wt","wildtype",508,"tf_buck",8.85826771653542,10
"rgap_1b_z3_t60s_E16","wt","wildtype",502,"tf_buck",9.9601593625498,9
"rgap_1b_z3_t60s_E17","wt","wildtype",508,"tf_buck",8.66141732283464,11
"rgap_1b_z3_t60s_E2","wt","wildtype",483,"tf_buck",9.3167701863354,8
"rgap_1b_z3_t60s_E3","wt","wildtype",487,"tf_buck",6.16016427104724,7
"rgap_1b_z3_t60s_E4","wt","wildtype",492,"tf_buck",7.11382113821138,4
"rgap_1b_z3_t60s_E5","wt","wildtype",491,"tf_buck",10.183299389002,6
"rgap_1b_z3_t60s_E6","wt","wildtype",491,"tf_buck",12.4236252545825,7
"rgap_1b_z3_t60s_E7","wt","wildtype",491,"tf_buck",9.36863543788188,6
"rgap_1b_z3_t60s_E8","wt","wildtype",503,"tf_buck",5.36779324055667,3
"rgap_1b_z3_t60s_E9","wt","wildtype",503,"tf_buck",8.74751491053678,6
"rgap_1b_z3_t60s_E1","wt","wildtype",502,"md_start",22.3107569721116,18
"rgap_1b_z3_t60s_E11","wt","wildtype",493,"md_start",22.920892494929,13
"rgap_1b_z3_t60s_E12","wt","wildtype",515,"md_start",20.3883495145631,14
"rgap_1b_z3_t60s_E13","wt","wildtype",497,"md_start",22.5352112676056,14
"rgap_1b_z3_t60s_E14","wt","wildtype",493,"md_start",20.8924949290061,17
"rgap_1b_z3_t60s_E15","wt","wildtype",508,"md_start",20.6692913385827,18
"rgap_1b_z3_t60s_E16","wt","wildtype",502,"md_start",24.1035856573705,17
"rgap_1b_z3_t60s_E17","wt","wildtype",508,"md_start",19.8818897637795,18
"rgap_1b_z3_t60s_E2","wt","wildtype",483,"md_start",23.3954451345756,14
"rgap_1b_z3_t60s_E3","wt","wildtype",487,"md_start",20.1232032854209,15
"rgap_1b_z3_t60s_E4","wt","wildtype",492,"md_start",19.7154471544715,11
"rgap_1b_z3_t60s_E5","wt","wildtype",491,"md_start",21.1812627291242,13
"rgap_1b_z3_t60s_E6","wt","wildtype",491,"md_start",23.0142566191446,13
